Date,Open,High,Low,Close,Volume
12/29/2023,"78.00","78.00","76.00","77.00","22,350"
12/28/2023,"78.00","78.00","78.00","78.00","3,640"
12/20/2023,"78.00","78.00","78.00","78.00","1,000"
12/18/2023,"78.00","78.00","78.00","78.00","280"
12/14/2023,"78.75","78.90","78.75","78.90","12,550"
12/11/2023,"78.80","78.80","78.80","78.80","10"
12/07/2023,"77.95","78.80","77.95","78.80","12,570"
12/06/2023,"77.00","77.00","77.00","77.00","70"
12/05/2023,"77.00","77.00","75.50","75.50","1,690"
12/01/2023,"78.95","78.95","78.95","78.95","100"
