Date,Open,High,Low,Close,Volume
12/27/2024,"82.30","82.30","82.30","82.30","3,000"
12/23/2024,"81.00","81.00","81.00","81.00","10"
12/19/2024,"82.45","82.45","82.40","82.40","21,790"
12/18/2024,"82.45","82.45","82.20","82.45","7,130"
12/17/2024,"82.40","82.45","82.40","82.40","1,970"
12/16/2024,"82.15","82.40","82.00","82.40","3,080"
12/13/2024,"82.10","82.40","82.10","82.15","3,750"
12/12/2024,"82.45","82.45","82.00","82.40","2,080"
12/11/2024,"82.45","82.45","82.00","82.00","110"
12/10/2024,"81.60","82.00","81.60","82.00","28,140"
12/09/2024,"81.90","81.95","81.85","81.95","5,180"
12/06/2024,"81.75","81.90","81.75","81.90","1,860"
12/05/2024,"81.75","81.75","81.60","81.60","27,120"
12/03/2024,"81.60","81.75","81.60","81.75","8,630"
12/02/2024,"81.55","81.55","81.55","81.55","1,510"
11/29/2024,"81.55","81.55","81.50","81.50","18,020"
11/28/2024,"81.50","81.60","81.50","81.60","14,270"
11/27/2024,"81.50","81.55","81.50","81.50","26,500"
11/26/2024,"81.50","81.50","80.60","80.60","2,500"
11/25/2024,"81.45","81.50","80.50","81.50","6,020"
11/22/2024,"81.50","81.50","80.50","80.50","53,140"
11/21/2024,"80.60","80.60","80.60","80.60","970"
11/20/2024,"81.40","81.40","80.60","80.60","90"
11/19/2024,"81.45","81.45","81.45","81.45","40"
11/18/2024,"80.50","80.75","80.50","80.60","10,800"
11/15/2024,"81.45","81.45","80.50","80.50","62,300"
11/13/2024,"81.50","81.50","81.50","81.50","140"
11/12/2024,"81.35","81.50","81.35","81.50","8,290"
11/11/2024,"81.35","81.35","80.60","80.60","1,510"
11/08/2024,"81.35","81.35","81.35","81.35","20"
11/07/2024,"81.40","81.40","80.50","80.50","1,260"
11/06/2024,"80.50","80.50","80.50","80.50","10"
11/05/2024,"81.40","81.40","80.50","80.50","2,960"
11/04/2024,"81.00","81.40","81.00","81.40","410"
10/31/2024,"81.35","81.35","81.00","81.00","5,170"
10/30/2024,"81.00","81.10","81.00","81.10","8,500"
10/29/2024,"81.40","81.40","81.00","81.00","2,720"
