Date,Open,High,Low,Close,Volume
12/29/2021,"0.660","0.660","0.660","0.660","21,000"
12/28/2021,"0.610","0.610","0.610","0.610","50,000"
12/22/2021,"0.610","0.610","0.610","0.610","181,000"
12/21/2021,"0.620","0.620","0.610","0.610","120,000"
12/15/2021,"0.630","0.630","0.630","0.630","12,000"
12/14/2021,"0.620","0.620","0.620","0.620","10,000"
12/01/2021,"0.670","0.670","0.670","0.670","30,000"
11/29/2021,"0.650","0.650","0.620","0.620","100,000"
11/24/2021,"0.660","0.660","0.650","0.650","100,000"
11/19/2021,"0.650","0.650","0.650","0.650","6,000"
11/16/2021,"0.650","0.650","0.650","0.650","12,000"
11/15/2021,"0.660","0.660","0.660","0.660","38,000"
11/11/2021,"0.660","0.660","0.660","0.660","20,000"
11/09/2021,"0.650","0.650","0.650","0.650","10,000"
11/03/2021,"0.650","0.650","0.650","0.650","1,000"
10/29/2021,"0.650","0.650","0.650","0.650","11,000"
10/28/2021,"0.690","0.690","0.690","0.690","7,000"
10/27/2021,"0.710","0.720","0.660","0.660","56,000"
10/26/2021,"0.660","0.660","0.660","0.660","100,000"
10/25/2021,"0.660","0.660","0.660","0.660","10,000"
10/22/2021,"0.660","0.660","0.660","0.660","15,000"
10/20/2021,"0.670","0.670","0.670","0.670","3,000"
10/19/2021,"0.670","0.670","0.670","0.670","6,000"
10/18/2021,"0.670","0.670","0.670","0.670","68,000"
10/14/2021,"0.670","0.670","0.670","0.670","11,000"
10/11/2021,"0.690","0.690","0.690","0.690","2,000"
10/07/2021,"0.690","0.690","0.690","0.690","103,000"
10/05/2021,"0.670","0.670","0.670","0.670","1,000"
10/04/2021,"0.700","0.700","0.670","0.670","13,000"
10/01/2021,"0.690","0.700","0.660","0.700","158,000"
09/30/2021,"0.740","0.740","0.740","0.740","3,000"
09/29/2021,"0.660","0.660","0.660","0.660","9,000"
09/28/2021,"0.750","0.750","0.670","0.680","15,000"
09/27/2021,"0.670","0.750","0.650","0.750","571,000"
09/22/2021,"0.660","0.660","0.660","0.660","20,000"
09/17/2021,"0.670","0.700","0.650","0.650","218,000"
09/09/2021,"0.730","0.730","0.700","0.700","12,000"
09/08/2021,"0.700","0.700","0.680","0.700","48,000"
09/06/2021,"0.690","0.690","0.690","0.690","22,000"
09/02/2021,"0.680","0.700","0.660","0.700","252,000"
09/01/2021,"0.700","0.700","0.700","0.700","11,000"
08/31/2021,"0.700","0.700","0.700","0.700","121,000"
08/27/2021,"0.680","0.680","0.680","0.680","40,000"
08/24/2021,"0.700","0.760","0.670","0.670","32,000"
08/18/2021,"0.670","0.680","0.670","0.680","85,000"
08/17/2021,"0.670","0.690","0.670","0.690","55,000"
08/13/2021,"0.680","0.680","0.680","0.680","38,000"
08/12/2021,"0.680","0.680","0.680","0.680","30,000"
08/11/2021,"0.660","0.700","0.660","0.700","17,000"
08/09/2021,"0.690","0.690","0.670","0.680","124,000"
08/06/2021,"0.680","0.680","0.680","0.680","70,000"
08/04/2021,"0.730","0.730","0.730","0.730","1,000"
08/03/2021,"0.710","0.720","0.710","0.720","10,000"
08/02/2021,"0.700","0.730","0.700","0.730","2,000"
07/30/2021,"0.690","0.710","0.690","0.700","36,000"
07/28/2021,"0.690","0.690","0.680","0.680","12,000"
07/26/2021,"0.700","0.750","0.700","0.750","225,000"
07/23/2021,"0.730","0.740","0.700","0.740","601,000"
07/22/2021,"0.730","0.730","0.730","0.730","1,000"
07/21/2021,"0.770","0.770","0.750","0.770","4,000"
07/19/2021,"0.730","0.730","0.730","0.730","60,000"
07/16/2021,"0.780","0.780","0.780","0.780","1,000"
07/15/2021,"0.730","0.770","0.730","0.770","22,000"
07/14/2021,"0.740","0.740","0.730","0.730","44,000"
07/12/2021,"0.740","0.740","0.740","0.740","80,000"
07/09/2021,"0.750","0.770","0.740","0.770","313,000"
07/08/2021,"0.760","0.760","0.760","0.760","44,000"
07/07/2021,"0.750","0.760","0.750","0.760","33,000"
07/06/2021,"0.760","0.760","0.760","0.760","176,000"
07/05/2021,"0.770","0.780","0.770","0.780","47,000"
07/02/2021,"0.770","0.800","0.770","0.770","214,000"
07/01/2021,"0.770","0.780","0.770","0.770","82,000"
06/30/2021,"0.790","0.790","0.750","0.760","89,000"
06/29/2021,"0.780","0.780","0.760","0.760","62,000"
