Date,Open,High,Low,Close,Volume
12/29/2023,"1.390","1.400","1.290","1.320","50,484,000"
12/28/2023,"1.300","1.390","1.300","1.350","39,474,000"
12/27/2023,"1.120","1.250","1.120","1.250","34,370,000"
12/22/2023,"1.100","1.140","1.080","1.120","19,584,000"
12/21/2023,"1.100","1.110","1.040","1.100","52,996,000"
12/20/2023,"1.150","1.160","1.100","1.110","41,780,000"
12/19/2023,"1.140","1.190","1.130","1.160","51,965,000"
12/12/2023,"1.120","1.140","1.120","1.140","5,165,000"
12/11/2023,"1.140","1.140","1.100","1.130","15,776,000"
12/07/2023,"1.120","1.150","1.100","1.140","25,363,000"
12/06/2023,"1.170","1.170","1.110","1.140","21,398,000"
12/05/2023,"1.220","1.230","1.160","1.170","36,378,000"
12/04/2023,"1.180","1.260","1.180","1.210","92,201,000"
12/01/2023,"1.280","1.350","1.090","1.170","1,412,196,000"
06/02/2023,"1.460","1.460","1.460","1.460","4,000"
06/01/2023,"1.460","1.470","1.440","1.460","13,170,000"
05/31/2023,"1.470","1.470","1.440","1.460","10,811,000"
05/30/2023,"1.480","1.480","1.460","1.470","7,013,000"
05/29/2023,"1.470","1.480","1.460","1.470","7,106,000"
05/26/2023,"1.490","1.500","1.460","1.470","6,589,000"
05/25/2023,"1.480","1.500","1.460","1.490","12,475,000"
05/24/2023,"1.480","1.490","1.460","1.480","7,350,000"
05/23/2023,"1.470","1.500","1.470","1.480","8,111,000"
05/22/2023,"1.500","1.500","1.460","1.470","6,286,000"
05/19/2023,"1.500","1.520","1.480","1.500","10,007,000"
05/18/2023,"1.490","1.540","1.490","1.500","17,116,000"
05/17/2023,"1.460","1.490","1.460","1.480","55,944,000"
05/16/2023,"1.410","1.460","1.380","1.460","30,958,000"
05/15/2023,"1.400","1.400","1.380","1.400","22,241,000"
05/12/2023,"1.390","1.400","1.380","1.400","17,758,000"
05/11/2023,"1.390","1.420","1.370","1.380","12,846,000"
05/10/2023,"1.460","1.480","1.360","1.390","44,690,000"
05/09/2023,"1.500","1.510","1.450","1.460","13,277,000"
05/08/2023,"1.490","1.530","1.480","1.490","21,027,000"
05/05/2023,"1.430","1.480","1.430","1.480","8,793,000"
05/04/2023,"1.440","1.450","1.420","1.430","8,108,000"
05/03/2023,"1.480","1.480","1.450","1.450","4,935,000"
05/02/2023,"1.470","1.510","1.470","1.480","78,778,000"
04/28/2023,"1.440","1.470","1.410","1.460","17,729,000"
04/27/2023,"1.460","1.500","1.390","1.450","41,203,000"
04/26/2023,"1.580","1.580","1.470","1.470","54,153,000"
04/25/2023,"1.630","1.640","1.580","1.580","21,478,000"
04/24/2023,"1.640","1.650","1.620","1.630","9,730,000"
04/20/2023,"1.610","1.640","1.600","1.640","8,365,000"
04/19/2023,"1.640","1.640","1.610","1.610","11,225,000"
04/18/2023,"1.680","1.680","1.620","1.640","73,431,000"
04/17/2023,"1.700","1.710","1.670","1.680","20,591,000"
04/14/2023,"1.690","1.720","1.680","1.700","25,836,000"
04/13/2023,"1.680","1.700","1.650","1.690","22,569,000"
04/12/2023,"1.750","1.750","1.670","1.680","36,999,000"
04/11/2023,"1.750","1.760","1.740","1.740","33,549,000"
04/05/2023,"1.750","1.750","1.740","1.750","9,591,000"
04/04/2023,"1.750","1.760","1.740","1.750","14,078,000"
04/03/2023,"1.760","1.760","1.730","1.750","20,549,000"
03/31/2023,"1.760","1.780","1.730","1.760","46,034,000"
03/30/2023,"1.770","1.790","1.710","1.770","181,699,016"
03/29/2023,"1.740","1.780","1.720","1.770","70,314,000"
03/28/2023,"1.680","1.740","1.590","1.740","300,936,000"
03/27/2023,"1.700","1.710","1.670","1.680","25,152,000"
03/24/2023,"1.680","1.720","1.680","1.700","71,321,000"
03/23/2023,"1.670","1.690","1.670","1.680","20,691,000"
03/22/2023,"1.680","1.690","1.660","1.680","37,649,000"
03/21/2023,"1.670","1.700","1.670","1.680","76,241,000"
03/20/2023,"1.610","1.670","1.600","1.670","177,700,000"
03/17/2023,"1.550","1.600","1.540","1.600","49,602,000"
03/16/2023,"1.560","1.580","1.510","1.550","21,999,000"
03/15/2023,"1.530","1.580","1.530","1.550","65,599,000"
03/14/2023,"1.530","1.550","1.500","1.530","17,691,000"
03/13/2023,"1.500","1.530","1.500","1.530","54,437,000"
03/10/2023,"1.500","1.520","1.460","1.490","29,186,000"
03/09/2023,"1.550","1.560","1.510","1.510","14,847,000"
03/08/2023,"1.540","1.580","1.530","1.550","40,451,000"
03/07/2023,"1.540","1.570","1.540","1.560","48,108,000"
03/06/2023,"1.530","1.540","1.520","1.540","18,756,000"
03/03/2023,"1.530","1.540","1.510","1.530","25,644,000"
03/02/2023,"1.500","1.550","1.500","1.530","54,054,000"
03/01/2023,"1.510","1.520","1.500","1.500","31,877,000"
02/28/2023,"1.480","1.520","1.450","1.510","25,999,000"
02/27/2023,"1.560","1.570","1.460","1.500","47,520,000"
02/23/2023,"1.580","1.580","1.550","1.570","32,423,000"
02/22/2023,"1.590","1.600","1.560","1.580","23,099,000"
02/21/2023,"1.570","1.590","1.550","1.590","50,575,000"
02/20/2023,"1.550","1.570","1.540","1.560","14,723,000"
02/17/2023,"1.560","1.560","1.540","1.550","33,106,000"
02/16/2023,"1.560","1.580","1.540","1.570","38,528,000"
02/15/2023,"1.560","1.590","1.510","1.560","37,432,000"
02/14/2023,"1.610","1.640","1.550","1.560","77,242,000"
02/13/2023,"1.610","1.630","1.600","1.620","41,397,000"
02/10/2023,"1.590","1.630","1.570","1.600","89,494,000"
02/09/2023,"1.540","1.600","1.530","1.590","139,366,000"
02/08/2023,"1.500","1.560","1.490","1.540","78,335,000"
02/07/2023,"1.540","1.540","1.500","1.500","97,702,000"
02/06/2023,"1.410","1.540","1.410","1.530","148,747,016"
02/03/2023,"1.400","1.410","1.390","1.410","14,745,000"
02/02/2023,"1.400","1.410","1.390","1.410","32,312,000"
02/01/2023,"1.340","1.390","1.340","1.390","15,362,000"
01/31/2023,"1.340","1.340","1.300","1.340","37,478,000"
