Date,Open,High,Low,Close,Volume
05/16/2025,"1.320","1.330","1.310","1.320","544,000"
05/15/2025,"1.300","1.320","1.300","1.300","770,000"
05/14/2025,"1.320","1.320","1.300","1.300","1,082,000"
05/13/2025,"1.310","1.320","1.300","1.320","218,000"
05/09/2025,"1.320","1.320","1.300","1.300","2,201,000"
05/08/2025,"1.340","1.350","1.310","1.310","271,000"
05/07/2025,"1.340","1.350","1.300","1.330","1,874,000"
05/06/2025,"1.380","1.390","1.340","1.340","2,636,000"
05/05/2025,"1.370","1.370","1.330","1.360","1,256,000"
05/02/2025,"1.320","1.360","1.320","1.340","1,163,000"
