Date,Open,High,Low,Close,Volume
04/28/2025,"0.290","0.290","0.290","0.290","5,820,000"
04/24/2025,"0.300","0.300","0.300","0.300","10,000"
04/23/2025,"0.280","0.280","0.280","0.280","5,000,000"
04/16/2025,"0.340","0.340","0.305","0.305","230,000"
04/15/2025,"0.305","0.305","0.305","0.305","20,000"
04/14/2025,"0.295","0.295","0.295","0.295","5,000,000"
04/11/2025,"0.295","0.320","0.295","0.320","5,010,000"
04/10/2025,"0.300","0.300","0.300","0.300","10,000"
04/04/2025,"0.290","0.290","0.290","0.290","4,030,000"
04/03/2025,"0.290","0.290","0.290","0.290","20,000"
04/02/2025,"0.275","0.310","0.275","0.310","30,000"
03/31/2025,"0.280","0.310","0.280","0.310","1,750,000"
03/28/2025,"0.300","0.300","0.300","0.300","10,000"
03/27/2025,"0.300","0.300","0.270","0.290","540,000"
03/26/2025,"0.305","0.310","0.300","0.310","120,000"
03/25/2025,"0.305","0.315","0.305","0.305","1,830,000"
03/21/2025,"0.315","0.320","0.300","0.320","70,000"
03/19/2025,"0.335","0.335","0.335","0.335","2,800,000"
03/17/2025,"0.315","0.335","0.315","0.335","20,000"
03/13/2025,"0.330","0.350","0.330","0.350","1,610,000"
03/12/2025,"0.340","0.340","0.340","0.340","10,000"
03/11/2025,"0.350","0.350","0.350","0.350","30,000"
03/10/2025,"0.340","0.340","0.340","0.340","1,610,000"
03/06/2025,"0.305","0.340","0.305","0.330","50,000"
03/04/2025,"0.350","0.350","0.350","0.350","10,000"
03/03/2025,"0.315","0.315","0.310","0.310","180,000"
02/27/2025,"0.315","0.315","0.315","0.315","10,000"
02/25/2025,"0.360","0.370","0.360","0.370","50,000"
02/21/2025,"0.305","0.305","0.305","0.305","10,000"
02/19/2025,"0.305","0.355","0.300","0.355","40,000"
02/14/2025,"0.355","0.360","0.355","0.360","30,000"
02/11/2025,"0.300","0.335","0.300","0.335","20,000"
02/07/2025,"0.300","0.340","0.300","0.340","20,000"
01/23/2025,"0.350","0.350","0.350","0.350","20,000"
01/21/2025,"0.300","0.310","0.300","0.310","20,000"
01/17/2025,"0.305","0.305","0.305","0.305","10,000"
01/16/2025,"0.305","0.335","0.305","0.335","50,000"
01/10/2025,"0.295","0.330","0.295","0.330","40,000"
01/06/2025,"0.365","0.365","0.365","0.365","30,000"
01/03/2025,"0.360","0.360","0.360","0.360","10,000"
