Date,Open,High,Low,Close,Volume
05/13/2025,"0.335","0.335","0.335","0.335","10,000"
05/09/2025,"0.315","0.315","0.315","0.315","10,000"
05/08/2025,"0.300","0.315","0.295","0.315","270,000"
05/05/2025,"0.340","0.370","0.340","0.340","380,000"
04/28/2025,"0.290","0.290","0.290","0.290","5,820,000"
04/24/2025,"0.300","0.300","0.300","0.300","10,000"
04/23/2025,"0.280","0.280","0.280","0.280","5,000,000"
04/16/2025,"0.340","0.340","0.305","0.305","230,000"
04/15/2025,"0.305","0.305","0.305","0.305","20,000"
04/14/2025,"0.295","0.295","0.295","0.295","5,000,000"
