Date,Open,High,Low,Close,Volume
12/28/2023,"48.05","48.70","48.05","48.70","4,700"
12/21/2023,"48.75","48.75","48.00","48.00","900"
12/19/2023,"48.75","48.75","48.50","48.50","1,000"
12/18/2023,"48.75","48.75","48.50","48.50","4,800"
12/15/2023,"48.75","48.75","48.75","48.75","1,000"
11/23/2023,"49.05","49.05","49.05","49.05","200"
11/22/2023,"49.05","49.05","49.05","49.05","100"
11/17/2023,"49.15","49.15","49.15","49.15","1,000"
11/13/2023,"49.25","49.25","49.25","49.25","100"
11/10/2023,"48.75","48.75","48.75","48.75","200"
11/08/2023,"48.95","49.00","48.95","48.95","3,200"
11/07/2023,"48.95","48.95","48.95","48.95","8,800"
11/06/2023,"49.70","49.70","49.70","49.70","2,600"
11/03/2023,"49.00","49.00","49.00","49.00","1,000"
10/31/2023,"48.95","48.95","48.95","48.95","1,600"
10/26/2023,"48.95","48.95","48.05","48.05","4,000"
10/25/2023,"48.95","48.95","48.95","48.95","400"
10/24/2023,"48.95","48.95","48.95","48.95","600"
10/23/2023,"48.95","48.95","48.95","48.95","3,200"
10/20/2023,"48.95","48.95","48.95","48.95","2,200"
10/19/2023,"49.00","49.00","48.95","48.95","1,500"
10/18/2023,"49.50","49.50","49.00","49.00","2,300"
10/17/2023,"48.50","49.00","48.50","49.00","200"
10/16/2023,"49.80","49.80","49.80","49.80","500"
10/13/2023,"49.00","49.00","49.00","49.00","200"
10/12/2023,"48.00","49.00","48.00","49.00","1,600"
10/11/2023,"49.50","49.50","49.00","49.00","18,400"
10/10/2023,"49.20","49.80","49.00","49.80","15,200"
10/09/2023,"50.00","50.00","49.15","49.15","700"
10/06/2023,"49.05","49.05","49.05","49.05","1,600"
10/04/2023,"49.00","49.00","49.00","49.00","300"
10/03/2023,"50.00","50.00","50.00","50.00","900"
09/29/2023,"49.00","49.00","49.00","49.00","1,500"
09/28/2023,"49.00","49.00","49.00","49.00","2,800"
09/27/2023,"49.85","49.85","49.85","49.85","760"
09/26/2023,"49.00","50.00","49.00","50.00","7,700"
09/22/2023,"50.00","50.00","50.00","50.00","240"
09/21/2023,"50.00","50.00","50.00","50.00","10"
09/20/2023,"50.00","50.00","50.00","50.00","500"
09/19/2023,"50.05","50.05","48.00","48.00","30,000"
09/18/2023,"50.50","50.50","50.50","50.50","60"
09/15/2023,"50.00","50.45","49.50","50.45","2,160"
09/14/2023,"50.40","50.50","50.40","50.50","480"
09/13/2023,"50.40","50.40","50.40","50.40","180"
09/12/2023,"50.40","50.40","50.40","50.40","170"
09/11/2023,"50.40","50.40","50.40","50.40","250"
09/07/2023,"50.50","50.50","50.50","50.50","100"
08/29/2023,"51.30","51.30","51.00","51.00","450"
08/24/2023,"50.80","50.80","50.80","50.80","70"
08/23/2023,"50.80","50.80","50.80","50.80","250"
08/22/2023,"50.05","50.05","50.05","50.05","1,300"
08/18/2023,"50.50","50.80","50.50","50.80","250"
08/16/2023,"50.50","50.80","50.50","50.50","2,880"
08/15/2023,"50.50","51.00","50.50","51.00","3,200"
08/08/2023,"52.95","52.95","52.95","52.95","10,000"
08/07/2023,"50.50","50.50","49.90","49.95","20,900"
08/03/2023,"50.50","50.50","50.50","50.50","10"
08/01/2023,"50.45","50.45","50.00","50.00","10,000"
07/31/2023,"50.50","50.50","50.50","50.50","2,000"
07/28/2023,"50.50","50.50","50.50","50.50","1,750"
07/27/2023,"50.50","50.50","50.50","50.50","210"
07/24/2023,"50.50","50.50","50.50","50.50","300"
07/20/2023,"50.70","50.70","50.70","50.70","1,830"
07/18/2023,"50.00","50.00","50.00","50.00","93,720"
