Date,Open,High,Low,Close,Volume
05/16/2025,"1,278.00","1,278.00","1,261.00","1,261.00","67,415"
05/15/2025,"1,281.00","1,288.00","1,264.00","1,264.00","56,605"
05/14/2025,"1,268.00","1,290.00","1,268.00","1,272.00","69,880"
05/13/2025,"1,288.00","1,290.00","1,266.00","1,266.00","138,010"
05/09/2025,"1,285.00","1,302.00","1,285.00","1,292.00","45,225"
05/08/2025,"1,298.00","1,306.00","1,275.00","1,278.00","91,220"
05/07/2025,"1,297.00","1,310.00","1,295.00","1,298.00","115,135"
05/06/2025,"1,293.00","1,300.00","1,290.00","1,295.00","28,985"
05/05/2025,"1,300.00","1,315.00","1,291.00","1,291.00","36,735"
05/02/2025,"1,301.00","1,318.00","1,296.00","1,299.00","47,365"
