Date,Open,High,Low,Close,Volume
2020-01-02,30.8,31.12,30.8,30.96,4308
2020-01-03,30.96,31.02,30.86,30.86,3353
2020-01-06,30.94,31.02,30.94,31.02,2622
2020-01-07,31.18,31.18,31.07,31.18,3053
2020-01-08,31.18,31.18,30.96,31.1,33080
2020-01-09,31.1,31.12,30.7,30.7,21073
2020-01-10,30.99,31.31,30.99,31.02,32967
2020-01-14,31.02,31.04,30.91,31.04,36152
2020-01-15,31.23,31.23,31.18,31.18,524
2020-01-16,31.18,31.28,31.18,31.2,32031
2020-01-17,31.28,31.28,30.8,30.8,9872
2020-01-20,30.8,31.23,30.75,31.2,16521
2020-01-21,30.96,31.5,30.96,31.23,2004
2020-01-22,31.02,31.23,31.02,31.23,30139
2020-01-23,31.18,31.55,31.18,31.55,10152
2020-01-24,32.03,32.03,31.76,31.92,28135
2020-01-27,32.08,32.67,32.08,32.51,113625
2020-01-28,32.57,33.63,32.57,33.1,203162
2020-01-29,33.37,33.63,33.21,33.26,102536
2020-01-30,33.37,33.53,33.23,33.37,19987
2020-01-31,33.26,33.95,33.21,33.9,212415
2020-02-03,33.9,34.11,33.42,33.53,147417
2020-02-04,33.07,33.07,29.9,31.5,162402
2020-02-05,31.98,32.03,31.5,31.76,25194
2020-02-06,32.03,32.03,31.55,32.0,7717
2020-02-07,32.83,32.83,31.76,32.41,7081
2020-02-10,32.78,32.78,31.76,31.76,14498
2020-02-11,31.82,31.87,31.5,31.5,18282
2020-02-12,31.5,31.5,31.23,31.23,12344
2020-02-13,30.96,31.23,30.96,31.1,4983
2020-02-14,31.23,31.5,31.23,31.44,31544
2020-02-17,31.44,31.44,30.96,31.26,2341
2020-02-18,31.31,31.42,31.31,31.31,6743
2020-02-19,30.99,31.02,30.99,31.02,56
2020-02-20,31.23,31.23,31.07,31.07,5001
2020-02-21,30.96,31.02,30.88,30.96,12175
2020-02-24,30.96,30.96,30.7,30.7,25100
2020-02-26,30.91,30.91,30.7,30.75,13337
2020-02-27,30.75,30.8,30.7,30.7,290432
2020-02-28,30.7,30.7,30.43,30.62,213914
2020-03-02,30.46,31.18,30.46,30.62,26112
2020-03-03,30.62,30.78,30.62,30.67,29521
2020-03-04,30.67,30.75,30.59,30.67,78953
2020-03-05,30.67,30.7,30.67,30.67,43757
2020-03-06,30.94,30.96,30.54,30.7,102087
2020-03-09,30.67,30.67,30.56,30.56,68482
2020-03-10,30.48,30.54,29.9,30.54,20305
2020-03-11,30.59,30.7,29.9,30.59,36583
2020-03-12,27.55,30.22,27.55,30.16,48683
2020-03-13,27.76,30.22,27.76,29.95,85846
2020-03-16,27.76,29.95,27.76,29.36,50781
2020-03-19,28.83,28.83,27.55,27.81,33567
2020-03-20,27.81,29.36,27.81,28.88,7661
2020-03-23,29.34,29.34,27.76,27.76,31469
2020-03-24,28.27,28.27,27.76,27.89,18731
2020-03-25,27.92,28.8,27.81,27.92,36882
2020-03-26,28.8,28.8,27.97,28.13,27198
2020-03-27,27.76,28.83,27.44,27.76,53610
2020-03-30,28.29,28.75,28.29,28.75,974
2020-03-31,28.78,28.78,28.29,28.35,30214
2020-04-01,28.56,28.56,28.08,28.19,2885
2020-04-02,28.08,28.69,28.08,28.67,3259
2020-04-03,28.67,28.69,28.56,28.56,3522
2020-04-06,28.67,28.72,28.61,28.72,4383
2020-04-07,28.72,28.78,28.29,28.29,29764
2020-04-08,28.75,28.78,28.21,28.72,18525
2020-04-13,28.78,28.78,28.21,28.67,29615
2020-04-14,28.67,30.3,28.67,29.71,7511
2020-04-15,29.36,29.9,28.67,28.78,52916
2020-04-16,28.78,29.07,28.78,28.83,23620
2020-04-17,28.83,28.83,28.61,28.83,2622
2020-04-20,28.86,29.26,28.83,29.23,30645
2020-04-21,29.28,29.28,28.61,29.28,2585
2020-04-22,29.28,29.28,28.29,28.78,10302
2020-04-23,29.26,29.26,28.83,28.94,19818
2020-04-24,29.26,29.26,28.83,28.83,22665
2020-04-27,29.23,29.26,27.76,29.04,29858
2020-04-28,29.04,29.26,28.21,29.2,4046
2020-04-29,29.15,29.15,28.56,28.59,7605
2020-04-30,29.15,29.2,28.61,28.78,3559
2020-05-04,28.83,29.2,28.56,28.56,34316
2020-05-05,28.61,29.2,28.61,28.86,5507
2020-05-06,29.18,29.18,29.04,29.04,1236
2020-05-07,29.18,29.18,28.99,29.1,4271
2020-05-08,29.1,29.1,28.64,28.83,13805
2020-05-11,29.07,29.1,28.83,28.83,34990
