Date,Open,High,Low,Close,Volume
2024-10-04,99.5,102.9,99.5,100.0,2510
2024-10-07,100.0,100.0,100.0,100.0,730
2024-10-08,100.2,100.2,100.0,100.0,290
2024-10-09,100.0,100.0,100.0,100.0,100
2024-10-10,100.0,101.0,99.6,100.0,1430
2024-10-14,101.9,101.9,100.9,100.9,600
2024-10-15,101.1,101.1,101.0,101.0,160
2024-10-16,101.0,101.0,101.0,101.0,80
2024-10-17,101.0,101.0,101.0,101.0,80
2024-10-18,101.0,101.0,101.0,101.0,660
2024-10-21,99.7,101.0,99.0,99.0,1910
2024-10-22,101.0,101.0,99.0,99.0,2440
2024-10-23,101.0,101.0,101.0,101.0,80
2024-10-25,101.0,101.0,101.0,101.0,80
2024-10-28,99.0,100.8,99.0,100.8,480
2024-10-29,100.8,100.8,100.8,100.8,80
2024-10-30,100.8,100.8,100.8,100.8,80
2024-10-31,100.8,100.8,100.8,100.8,100
2024-11-04,100.8,100.8,100.3,100.3,10320
2024-11-05,100.8,100.8,100.8,100.8,80
2024-11-07,100.0,100.8,100.0,100.0,530
2024-11-11,101.0,101.0,101.0,101.0,80
2024-11-13,101.0,101.0,101.0,101.0,80
2024-11-14,100.0,100.0,100.0,100.0,1000
2024-11-15,100.0,100.0,100.0,100.0,550
2024-11-18,101.0,101.0,101.0,101.0,40000
2024-11-19,101.5,101.5,101.5,101.5,150
2024-11-20,101.5,101.5,101.5,101.5,80
2024-11-22,101.8,101.8,101.8,101.8,80
2024-11-25,101.6,101.6,101.6,101.6,80
2024-11-26,101.8,101.8,101.8,101.8,80
2024-11-27,101.5,101.5,101.5,101.5,300
2024-11-28,101.5,101.5,101.5,101.5,20610
2024-11-29,101.8,101.8,101.8,101.8,70
2024-12-03,101.8,101.8,101.8,101.8,80
2024-12-04,101.8,101.8,100.1,100.1,180
2024-12-05,102.0,102.0,102.0,102.0,160
2024-12-06,102.0,102.0,102.0,102.0,1080
2024-12-09,102.0,102.0,102.0,102.0,80
2024-12-10,102.0,102.0,102.0,102.0,100
2024-12-11,102.0,102.0,102.0,102.0,80
2024-12-12,102.0,102.0,102.0,102.0,80
2024-12-13,102.0,102.0,102.0,102.0,80
2024-12-16,102.0,102.0,102.0,102.0,80
2024-12-17,100.3,100.3,99.0,99.0,1000
2024-12-23,101.0,101.0,101.0,101.0,80
2024-12-27,102.0,102.0,102.0,102.0,5500
2025-01-02,148.5,148.5,148.5,148.5,40
2025-01-03,119.0,119.0,104.0,111.9,290
2025-01-06,102.0,102.0,102.0,102.0,80
2025-01-08,100.0,103.0,100.0,103.0,30
2025-01-10,101.0,101.0,101.0,101.0,450
2025-01-13,106.0,106.0,106.0,106.0,10
2025-01-15,102.5,102.5,102.5,102.5,20
2025-01-17,101.0,101.0,101.0,101.0,150
2025-01-20,101.0,101.0,101.0,101.0,2000
2025-01-21,101.0,101.0,101.0,101.0,120
2025-01-22,99.1,101.0,99.1,101.0,1260
2025-01-27,101.9,101.9,101.9,101.9,40
2025-01-28,100.0,103.9,100.0,103.9,1060
2025-01-30,101.1,101.1,101.1,101.1,510
2025-01-31,104.0,104.0,104.0,104.0,50
2025-02-05,102.0,102.0,100.0,100.0,540
2025-02-06,102.0,102.0,101.0,101.0,1100
2025-02-07,101.0,101.0,101.0,101.0,240
2025-02-10,100.0,100.0,100.0,100.0,480
2025-02-11,100.1,100.1,100.1,100.1,500
2025-02-18,100.1,100.1,100.1,100.1,500
2025-02-20,100.1,102.7,100.1,102.7,150
2025-02-21,99.1,99.1,99.1,99.1,50
2025-02-26,99.4,102.0,99.4,102.0,5330
2025-03-06,102.0,102.0,102.0,102.0,970
2025-03-11,102.5,102.5,102.5,102.5,20
2025-03-13,102.5,102.5,102.5,102.5,20
2025-03-18,100.0,102.5,100.0,102.5,90
2025-03-31,102.5,102.5,102.5,102.5,10
2025-04-07,101.0,101.0,101.0,101.0,220
2025-04-08,101.0,102.5,101.0,102.5,5210
2025-04-10,100.0,100.0,100.0,100.0,10
2025-04-14,101.0,101.0,101.0,101.0,500
2025-04-15,100.1,100.1,100.1,100.1,80
