Date,Open,High,Low,Close,Volume
04/30/2025,"1.940","1.940","1.780","1.890","19,000"
04/25/2025,"1.800","1.800","1.800","1.800","13,000"
04/24/2025,"1.810","1.810","1.800","1.800","2,000"
04/23/2025,"1.800","1.800","1.800","1.800","10,000"
04/21/2025,"1.750","1.750","1.750","1.750","15,000"
04/15/2025,"1.800","1.800","1.800","1.800","400,000"
04/14/2025,"1.800","1.800","1.800","1.800","4,000"
04/11/2025,"1.800","1.800","1.800","1.800","4,000"
04/10/2025,"1.940","1.940","1.940","1.940","2,000"
04/08/2025,"1.800","1.940","1.800","1.940","2,000"
04/07/2025,"1.820","1.990","1.820","1.970","40,000"
04/04/2025,"1.900","1.900","1.900","1.900","1,000"
04/03/2025,"1.800","1.800","1.800","1.800","1,000"
04/02/2025,"1.800","1.800","1.800","1.800","430,000"
03/26/2025,"1.810","1.810","1.800","1.800","89,000"
03/25/2025,"1.810","1.810","1.800","1.800","34,000"
03/17/2025,"1.910","1.910","1.910","1.910","3,000"
03/13/2025,"1.900","1.900","1.900","1.900","10,000"
03/11/2025,"2.020","2.020","1.900","1.920","412,000"
03/07/2025,"1.880","2.020","1.880","2.020","14,000"
03/06/2025,"1.840","2.030","1.840","2.030","17,000"
03/04/2025,"1.800","2.030","1.800","2.030","73,000"
03/03/2025,"2.050","2.050","2.030","2.030","7,000"
02/28/2025,"1.800","2.050","1.800","2.000","992,000"
02/27/2025,"1.700","1.800","1.700","1.800","169,000"
02/26/2025,"1.620","1.620","1.610","1.610","7,000"
02/25/2025,"1.680","1.680","1.610","1.610","6,000"
02/24/2025,"1.700","1.700","1.700","1.700","30,000"
02/21/2025,"1.780","1.780","1.700","1.700","130,000"
02/19/2025,"1.780","1.780","1.780","1.780","8,000"
02/18/2025,"1.780","1.780","1.780","1.780","1,000"
02/17/2025,"1.800","1.800","1.800","1.800","2,000"
02/13/2025,"1.920","1.920","1.890","1.890","5,000"
02/12/2025,"1.790","1.820","1.680","1.680","38,000"
02/11/2025,"1.780","1.780","1.680","1.680","80,000"
02/10/2025,"1.790","1.800","1.770","1.780","63,000"
02/07/2025,"1.760","1.790","1.760","1.790","60,000"
02/06/2025,"1.880","1.880","1.750","1.770","119,000"
02/05/2025,"1.970","1.970","1.790","1.880","202,000"
02/04/2025,"1.790","1.980","1.790","1.980","191,000"
02/03/2025,"1.980","1.980","1.980","1.980","47,000"
01/31/2025,"1.980","1.980","1.980","1.980","1,000"
01/30/2025,"1.980","1.990","1.980","1.990","40,000"
01/27/2025,"2.130","2.130","2.050","2.050","79,000"
01/24/2025,"1.930","2.200","1.930","2.180","25,257,000"
01/23/2025,"2.050","2.100","1.930","1.930","121,000"
01/22/2025,"2.050","2.050","2.050","2.050","1,000"
01/20/2025,"2.090","2.090","2.050","2.050","175,000"
01/17/2025,"2.020","2.020","2.020","2.020","22,000"
01/16/2025,"2.000","2.000","2.000","2.000","159,000"
01/14/2025,"2.000","2.000","2.000","2.000","19,000"
01/10/2025,"2.000","2.000","2.000","2.000","2,000"
01/07/2025,"2.100","2.100","2.000","2.000","48,000"
01/06/2025,"2.000","2.100","2.000","2.100","9,000"
01/03/2025,"2.050","2.050","2.050","2.050","1,000"
