Date,Open,High,Low,Close,Volume
12/26/2024,"19.00","19.00","18.02","18.08","3,100"
12/18/2024,"19.00","19.00","19.00","19.00","200"
12/12/2024,"19.00","19.00","18.90","19.00","5,000"
12/11/2024,"18.94","19.00","18.94","19.00","2,500"
12/09/2024,"18.00","18.00","18.00","18.00","3,500"
12/04/2024,"18.02","18.02","18.00","18.00","10,200"
12/02/2024,"19.46","19.46","19.42","19.42","300"
11/29/2024,"18.00","20.00","18.00","19.50","11,500"
11/28/2024,"17.90","17.90","17.90","17.90","800"
11/27/2024,"17.88","17.88","17.88","17.88","100"
11/26/2024,"17.00","17.00","17.00","17.00","400"
11/25/2024,"17.50","17.88","16.14","17.88","1,200"
11/22/2024,"17.50","17.50","17.50","17.50","1,800"
11/21/2024,"17.00","17.00","17.00","17.00","500"
11/19/2024,"17.00","17.00","17.00","17.00","200"
11/18/2024,"16.06","16.06","16.06","16.06","3,500"
11/14/2024,"16.06","16.06","16.06","16.06","300"
11/08/2024,"16.06","16.06","16.06","16.06","1,800"
10/28/2024,"16.50","16.50","16.50","16.50","6,000"
10/21/2024,"16.50","16.50","16.50","16.50","1,000"
10/17/2024,"15.06","16.00","15.06","16.00","500"
10/15/2024,"18.00","18.00","18.00","18.00","300"
10/14/2024,"18.00","18.00","18.00","18.00","300"
10/11/2024,"18.00","18.00","18.00","18.00","100"
10/10/2024,"17.00","18.00","17.00","18.00","300"
10/09/2024,"17.00","17.00","17.00","17.00","200"
10/08/2024,"17.00","17.00","17.00","17.00","100"
10/03/2024,"17.00","17.00","17.00","17.00","200"
09/17/2024,"14.86","14.86","14.86","14.86","500"
09/16/2024,"16.00","16.00","16.00","16.00","900"
09/12/2024,"16.00","16.00","16.00","16.00","100"
09/11/2024,"16.00","16.00","16.00","16.00","4,300"
09/09/2024,"16.00","16.00","16.00","16.00","500"
09/06/2024,"15.98","16.00","15.98","16.00","4,300"
09/05/2024,"14.78","14.78","14.78","14.78","1,200"
09/02/2024,"14.62","14.62","14.62","14.62","400"
08/30/2024,"15.00","16.00","15.00","16.00","10,100"
08/28/2024,"16.00","16.00","16.00","16.00","200"
08/27/2024,"16.00","16.00","16.00","16.00","100"
08/22/2024,"14.50","14.64","14.50","14.62","2,600"
08/21/2024,"16.00","16.00","16.00","16.00","1,000"
08/16/2024,"15.68","16.00","15.68","16.00","5,800"
08/15/2024,"15.50","15.50","14.16","14.16","4,500"
08/14/2024,"14.06","14.06","14.06","14.06","100"
08/12/2024,"16.00","16.00","16.00","16.00","4,600"
08/07/2024,"15.98","15.98","15.98","15.98","4,000"
08/06/2024,"16.00","16.00","16.00","16.00","300"
08/05/2024,"14.00","14.00","14.00","14.00","400"
07/17/2024,"16.00","16.00","16.00","16.00","2,100"
07/16/2024,"16.00","16.00","16.00","16.00","4,000"
07/11/2024,"16.00","16.00","16.00","16.00","2,000"
07/10/2024,"16.00","16.00","16.00","16.00","1,800"
07/09/2024,"16.00","16.00","16.00","16.00","8,000"
07/05/2024,"16.00","16.00","16.00","16.00","1,300"
07/01/2024,"16.00","16.00","16.00","16.00","100"
06/26/2024,"16.00","16.00","16.00","16.00","100"
06/25/2024,"16.00","16.00","16.00","16.00","800"
06/21/2024,"11.32","11.32","11.32","11.32","100"
06/20/2024,"11.28","11.28","11.28","11.28","100"
06/05/2024,"17.00","17.00","16.00","16.00","400"
05/28/2024,"16.02","16.02","15.04","16.02","1,300"
05/27/2024,"17.50","17.50","14.52","16.00","1,800"
05/13/2024,"17.88","17.90","17.88","17.90","1,600"
05/10/2024,"18.38","18.38","18.38","18.38","100"
05/09/2024,"15.90","15.90","15.90","15.90","200"
05/08/2024,"17.78","19.00","15.00","15.90","4,300"
05/07/2024,"15.78","17.80","15.78","17.80","3,500"
05/03/2024,"15.78","15.78","15.78","15.78","200"
05/02/2024,"15.78","15.78","15.78","15.78","1,300"
04/26/2024,"15.78","15.78","15.78","15.78","700"
04/23/2024,"15.78","15.78","15.78","15.78","100"
04/17/2024,"15.78","15.78","15.78","15.78","100"
04/15/2024,"15.78","15.78","15.78","15.78","100"
04/12/2024,"14.24","14.24","14.24","14.24","3,700"
04/11/2024,"15.30","15.30","15.30","15.30","700"
04/08/2024,"15.48","15.48","15.28","15.28","800"
04/03/2024,"14.32","14.32","14.32","14.32","1,800"
04/02/2024,"14.32","14.32","14.32","14.32","100"
03/27/2024,"14.32","14.32","14.32","14.32","300"
03/11/2024,"15.40","15.40","15.40","15.40","1,000"
03/05/2024,"15.80","15.80","15.80","15.80","500"
03/04/2024,"14.68","15.80","14.68","15.80","200"
02/15/2024,"15.80","15.80","15.80","15.80","200"
02/05/2024,"14.50","14.50","14.50","14.50","600"
02/01/2024,"14.52","14.52","14.52","14.52","1,000"
01/16/2024,"14.52","14.52","14.52","14.52","1,300"
01/04/2024,"15.94","15.94","15.94","15.94","600"
