Date,Open,High,Low,Close,Volume
2020-01-06,15.12,15.12,15.12,15.12,400
2020-01-08,15.12,15.12,15.12,15.12,3800
2020-01-09,14.9,14.9,14.9,14.9,100
2020-01-20,14.9,15.1,14.9,15.1,2000
2020-01-21,15.1,15.1,15.1,15.1,400
2020-01-31,14.5,14.5,14.06,14.06,1100
2020-02-03,15.08,15.1,15.08,15.1,3000
2020-02-04,15.1,15.1,14.06,14.06,800
2020-02-11,15.1,15.1,15.1,15.1,5000
2020-02-17,15.1,15.1,15.1,15.1,5000
2020-03-03,15.1,15.1,15.1,15.1,500
2020-03-04,15.1,15.1,15.1,15.1,100
2020-03-12,14.04,14.04,14.04,14.04,400
2020-03-13,12.0,12.0,12.0,12.0,3000
2020-03-23,15.08,15.1,15.08,15.1,700
2020-03-27,12.0,12.0,12.0,12.0,500
2020-03-30,14.7,15.1,14.7,15.0,500
2020-03-31,12.1,12.1,12.1,12.1,700
2020-04-01,15.1,15.1,15.1,15.1,100
2020-04-02,15.06,15.06,15.06,15.06,100
2020-04-03,15.06,15.06,13.0,13.0,200
2020-04-07,15.06,15.1,13.8,15.1,2200
2020-04-08,15.1,15.1,15.1,15.1,100
2020-04-14,13.1,15.08,13.1,15.08,300
2020-04-15,15.08,15.08,15.08,15.08,100
2020-04-16,15.08,15.08,14.4,14.4,2000
2020-04-22,14.42,14.42,13.5,13.5,13900
2020-04-29,13.52,13.52,13.52,13.52,100
2020-05-11,15.06,15.06,15.06,15.06,500
2020-05-13,15.06,15.06,15.06,15.06,600
2020-05-15,15.04,15.06,15.04,15.06,200
2020-05-20,15.06,15.06,15.06,15.06,1600
2020-05-22,11.0,11.0,11.0,11.0,1600
2020-05-27,15.0,15.0,15.0,15.0,1300
2020-05-28,15.0,15.0,15.0,15.0,200
2020-05-29,12.04,12.04,12.04,12.04,200
2020-06-01,12.54,15.0,12.54,15.0,3400
2020-06-09,15.0,15.0,13.02,13.02,200
2020-06-10,13.62,13.62,13.62,13.62,2500
2020-06-11,14.96,14.96,14.96,14.96,200
2020-06-23,14.96,14.96,14.96,14.96,700
2020-06-25,14.5,14.5,14.0,14.0,1200
2020-07-01,14.0,14.0,14.0,14.0,100
2020-07-02,13.52,13.52,13.5,13.5,4000
2020-07-07,13.52,13.52,13.5,13.5,2000
2020-07-24,13.7,13.7,13.5,13.5,900
2020-08-03,13.5,13.5,13.5,13.5,500
2020-08-07,13.5,13.5,13.5,13.5,2000
2020-08-10,14.96,14.96,14.96,14.96,800
2020-08-12,13.5,13.5,13.5,13.5,2000
2020-08-13,13.54,13.54,13.54,13.54,1000
2020-08-14,13.52,14.0,13.52,14.0,4600
2020-09-16,14.0,14.0,14.0,14.0,100
2020-09-21,14.0,14.0,14.0,14.0,200
2020-09-22,14.0,14.0,14.0,14.0,500
2020-09-23,14.0,14.0,13.0,13.0,24200
2020-09-28,13.02,13.02,13.02,13.02,700
2020-10-06,13.04,13.04,13.0,13.0,4100
2020-10-14,13.0,13.0,13.0,13.0,100
2020-10-22,13.02,13.02,13.0,13.0,6500
2020-10-23,13.0,13.02,13.0,13.0,13000
2020-10-27,13.02,13.02,13.0,13.0,2300
2020-10-28,14.2,14.2,14.18,14.18,4100
2020-10-29,14.18,14.18,14.18,14.18,100
2020-11-05,14.18,14.18,14.18,14.18,1400
2020-11-06,14.14,14.14,14.14,14.14,700
2020-11-09,13.98,13.98,13.98,13.98,200
2020-11-11,13.4,14.48,13.4,14.48,400
2020-11-13,13.98,13.98,13.96,13.98,4700
2020-11-16,13.96,13.96,13.96,13.96,900
2020-11-19,13.94,13.94,13.94,13.94,1000
2020-11-20,13.98,13.98,13.98,13.98,1000
2020-11-23,13.98,13.98,13.98,13.98,2900
2020-11-24,13.98,13.98,13.96,13.96,2600
2020-11-25,14.0,14.0,14.0,14.0,100
2020-11-26,14.0,14.4,14.0,14.4,1700
2020-12-01,14.4,15.0,14.4,15.0,90500
2020-12-02,15.0,15.0,13.8,14.02,44400
2020-12-03,14.0,14.02,13.56,14.02,13500
2020-12-04,14.0,14.24,13.82,14.24,3100
2020-12-07,14.0,14.0,13.9,13.9,800
2020-12-09,14.18,14.18,14.18,14.18,600
2020-12-10,13.82,13.82,13.82,13.82,600
2020-12-11,13.5,14.0,13.5,14.0,7200
2020-12-14,14.0,14.0,14.0,14.0,7800
2020-12-15,13.52,14.18,13.52,14.18,3600
2020-12-16,14.34,15.0,13.52,14.02,31100
2020-12-17,14.98,15.0,14.3,14.8,30100
2020-12-18,14.32,14.32,14.02,14.02,4400
2020-12-21,14.96,15.0,14.96,15.0,16100
2020-12-23,14.06,14.98,14.06,14.12,33800
2020-12-29,14.12,14.12,14.12,14.12,600
2021-01-04,14.98,14.98,14.8,14.8,1400
2021-01-05,14.8,14.8,14.8,14.8,1000
2021-01-06,14.78,14.78,14.78,14.78,400
2021-01-07,14.02,14.02,14.0,14.0,20500
2021-01-08,14.02,14.02,14.02,14.02,4600
2021-01-13,14.0,14.0,14.0,14.0,100
2021-01-14,14.0,14.0,14.0,14.0,47900
2021-01-18,13.3,13.3,13.3,13.3,300
2021-01-19,13.52,13.52,13.52,13.52,1000
2021-01-22,13.54,13.54,13.5,13.5,6100
2021-01-25,13.5,14.48,13.5,14.48,2100
2021-01-26,14.5,14.5,14.5,14.5,300
2021-01-27,13.52,13.52,13.52,13.52,300
2021-01-28,13.52,13.52,13.52,13.52,100
2021-02-02,14.3,14.3,14.2,14.2,700
2021-02-03,14.1,14.1,14.1,14.1,2800
2021-02-04,14.18,14.78,13.8,13.8,1100
2021-02-08,14.64,14.66,14.64,14.66,2600
2021-02-11,14.58,14.6,14.5,14.5,11800
2021-02-15,13.88,13.88,13.88,13.88,500
2021-02-16,13.92,13.92,13.92,13.92,500
2021-02-17,13.94,13.94,13.5,13.5,5000
2021-02-23,14.64,14.8,14.5,14.5,31600
2021-02-24,14.5,14.52,14.5,14.52,1300
2021-02-26,14.94,14.94,14.5,14.5,2500
2021-03-01,14.5,14.52,14.5,14.52,31500
2021-03-02,14.94,14.94,14.5,14.5,8900
2021-03-03,14.94,14.94,14.5,14.5,800
2021-03-04,14.5,14.5,14.5,14.5,100
2021-03-05,14.5,14.5,14.5,14.5,1600
2021-03-10,14.5,14.5,14.5,14.5,500
2021-03-11,14.98,14.98,14.98,14.98,2200
2021-03-12,14.5,14.96,14.5,14.96,2300
2021-03-15,14.52,14.52,14.5,14.5,5600
2021-03-18,15.0,17.0,15.0,16.18,103100
2021-03-19,16.0,16.0,15.0,15.88,2700
2021-03-22,14.7,15.6,14.52,14.9,8800
2021-03-23,14.52,14.98,13.5,14.96,19200
2021-03-24,15.0,15.4,15.0,15.4,300
2021-03-25,14.5,14.5,14.5,14.5,3200
2021-03-26,15.28,15.28,13.66,14.82,9500
2021-03-29,14.86,14.86,14.8,14.8,4800
2021-03-30,13.68,14.8,13.68,14.72,9500
2021-03-31,14.88,14.88,13.76,14.46,3600
2021-04-05,13.78,14.5,13.78,14.5,800
2021-04-06,13.76,14.8,13.68,14.46,4200
2021-04-07,14.8,14.8,14.8,14.8,100
2021-04-08,13.8,13.8,13.8,13.8,200
2021-04-12,14.86,14.86,13.9,14.58,5600
2021-04-14,13.94,14.62,13.94,14.62,2600
2021-04-16,14.8,14.8,14.8,14.8,15300
2021-04-21,14.74,14.8,14.74,14.8,2100
2021-04-22,14.98,14.98,14.96,14.96,500
2021-04-23,14.88,14.94,14.88,14.94,3300
2021-04-27,15.56,15.56,15.56,15.56,100
2021-04-28,15.46,15.46,15.46,15.46,300
2021-05-05,14.5,14.5,14.0,14.5,45300
2021-05-06,14.5,14.5,14.5,14.5,10000
2021-05-10,14.5,14.5,14.5,14.5,600
2021-05-11,14.5,14.5,14.4,14.4,8000
2021-05-12,14.96,14.96,14.2,14.2,2300
2021-05-14,14.2,14.2,14.1,14.2,6100
2021-05-17,15.04,15.06,15.0,15.0,1500
2021-05-18,14.88,14.88,14.88,14.88,1300
2021-05-19,14.1,14.1,14.1,14.1,100
2021-05-25,15.04,15.04,15.04,15.04,1200
2021-05-26,14.5,15.04,14.5,14.98,1100
2021-05-27,15.02,15.02,14.98,15.0,2200
2021-05-28,15.0,15.0,15.0,15.0,1000
2021-05-31,15.02,15.02,14.8,15.02,5400
2021-06-02,15.02,15.02,15.02,15.02,200
2021-06-07,15.0,15.02,15.0,15.02,2100
2021-06-10,15.02,15.04,15.02,15.04,900
2021-06-11,14.52,14.52,14.52,14.52,700
2021-06-14,14.52,15.04,14.52,14.6,2000
2021-06-15,15.04,15.04,13.86,15.04,3400
2021-06-16,15.04,15.4,15.04,15.4,16200
2021-06-17,14.6,15.0,14.6,15.0,3800
2021-06-18,15.0,15.0,15.0,15.0,4700
2021-06-21,15.02,15.4,15.02,15.4,10800
2021-06-22,15.1,15.5,15.0,15.06,13200
2021-06-23,15.06,15.5,15.02,15.5,2600
2021-06-24,15.5,15.5,15.5,15.5,1300
2021-06-25,16.0,22.0,16.0,17.7,30800
2021-06-28,20.5,21.5,17.72,17.72,6700
2021-06-29,20.4,20.4,17.06,17.08,2900
2021-06-30,18.0,18.0,18.0,18.0,200
2021-07-01,17.5,19.0,17.5,18.9,6500
2021-07-02,18.88,18.88,17.5,17.5,5100
2021-07-05,18.46,18.5,17.6,17.6,7800
2021-07-06,17.62,17.62,17.5,17.5,3300
2021-07-07,17.5,17.5,17.5,17.5,2600
2021-07-08,17.5,17.5,17.5,17.5,1000
2021-07-12,17.5,17.5,17.5,17.5,200
2021-07-15,16.16,17.5,16.16,17.5,600
2021-07-19,16.16,16.16,16.16,16.16,500
2021-07-21,16.0,16.0,13.82,15.02,43000
2021-07-22,16.0,16.0,16.0,16.0,500
2021-07-23,16.0,16.0,16.0,16.0,2000
2021-07-26,16.2,16.2,16.2,16.2,100
2021-07-27,17.98,17.98,17.0,17.96,1400
2021-07-28,17.0,17.0,14.72,15.0,4600
2021-07-29,15.32,15.32,15.02,15.02,3000
2021-08-02,15.0,15.0,15.0,15.0,1000
2021-08-06,15.5,15.5,15.5,15.5,2200
2021-08-09,14.68,14.68,14.68,14.68,3200
2021-08-10,14.7,14.7,14.66,14.66,2700
2021-08-11,14.98,14.98,14.98,14.98,600
