Date,Open,High,Low,Close,Volume
05/16/2025,"1.810","1.860","1.810","1.810","913,000"
05/15/2025,"1.780","1.920","1.720","1.800","2,106,000"
05/14/2025,"1.720","1.780","1.700","1.760","1,174,000"
05/13/2025,"1.800","1.800","1.620","1.680","3,739,000"
05/09/2025,"1.900","1.900","1.740","1.810","4,608,000"
05/08/2025,"1.890","1.930","1.860","1.880","1,364,000"
05/07/2025,"2.020","2.020","1.860","1.870","3,050,000"
05/06/2025,"2.000","2.090","1.960","2.020","849,000"
05/05/2025,"2.160","2.160","2.000","2.000","1,193,000"
05/02/2025,"2.060","2.220","2.060","2.160","4,091,000"
