Date,Open,High,Low,Close,Volume
12/29/2023,"0.190","0.191","0.190","0.191","100,000"
12/27/2023,"0.220","0.220","0.218","0.218","60,000"
12/22/2023,"0.200","0.200","0.200","0.200","40,000"
12/21/2023,"0.185","0.200","0.183","0.200","350,000"
12/20/2023,"0.186","0.200","0.186","0.200","80,000"
12/19/2023,"0.200","0.221","0.200","0.221","370,000"
12/18/2023,"0.200","0.200","0.200","0.200","130,000"
12/15/2023,"0.195","0.210","0.195","0.200","390,000"
12/14/2023,"0.210","0.210","0.192","0.207","260,000"
12/13/2023,"0.190","0.190","0.190","0.190","10,000"
12/12/2023,"0.184","0.184","0.184","0.184","10,000"
12/11/2023,"0.189","0.189","0.189","0.189","170,000"
12/07/2023,"0.189","0.210","0.189","0.189","1,200,000"
12/06/2023,"0.182","0.189","0.182","0.189","170,000"
12/05/2023,"0.196","0.200","0.195","0.195","250,000"
12/04/2023,"0.201","0.210","0.196","0.196","850,000"
12/01/2023,"0.204","0.204","0.202","0.202","70,000"
11/29/2023,"0.210","0.210","0.210","0.210","100,000"
11/28/2023,"0.215","0.218","0.203","0.203","90,000"
11/24/2023,"0.220","0.220","0.218","0.218","60,000"
11/23/2023,"0.219","0.219","0.219","0.219","10,000"
11/22/2023,"0.203","0.203","0.203","0.203","150,000"
11/21/2023,"0.205","0.205","0.205","0.205","30,000"
11/20/2023,"0.201","0.205","0.200","0.205","450,000"
11/17/2023,"0.205","0.205","0.205","0.205","30,000"
11/16/2023,"0.205","0.207","0.205","0.206","280,000"
11/14/2023,"0.200","0.210","0.200","0.205","170,000"
11/13/2023,"0.225","0.225","0.200","0.222","200,000"
11/10/2023,"0.224","0.225","0.200","0.214","5,050,000"
11/09/2023,"0.225","0.225","0.224","0.224","890,000"
11/08/2023,"0.225","0.225","0.225","0.225","640,000"
11/07/2023,"0.240","0.240","0.224","0.225","190,000"
11/06/2023,"0.225","0.225","0.225","0.225","20,000"
11/03/2023,"0.226","0.227","0.226","0.226","280,000"
10/27/2023,"0.229","0.229","0.227","0.227","1,060,000"
10/26/2023,"0.240","0.240","0.240","0.240","50,000"
10/24/2023,"0.240","0.240","0.229","0.229","100,000"
10/23/2023,"0.230","0.230","0.229","0.229","150,000"
10/20/2023,"0.231","0.231","0.230","0.230","520,000"
10/19/2023,"0.232","0.233","0.231","0.233","120,000"
10/18/2023,"0.235","0.235","0.233","0.233","140,000"
10/17/2023,"0.240","0.240","0.240","0.240","160,000"
10/16/2023,"0.239","0.248","0.239","0.247","130,000"
10/13/2023,"0.231","0.231","0.231","0.231","10,000"
10/11/2023,"0.230","0.230","0.230","0.230","200,000"
10/10/2023,"0.231","0.231","0.228","0.228","530,000"
10/09/2023,"0.233","0.233","0.230","0.230","90,000"
10/06/2023,"0.229","0.233","0.229","0.233","40,000"
10/05/2023,"0.230","0.231","0.230","0.231","100,000"
10/04/2023,"0.250","0.250","0.230","0.230","100,000"
10/02/2023,"0.235","0.235","0.235","0.235","40,000"
09/29/2023,"0.232","0.239","0.227","0.239","1,370,000"
09/27/2023,"0.234","0.235","0.233","0.233","240,000"
09/26/2023,"0.240","0.240","0.240","0.240","40,000"
09/25/2023,"0.242","0.242","0.231","0.240","1,910,000"
09/20/2023,"0.250","0.260","0.250","0.255","240,000"
09/19/2023,"0.243","0.243","0.241","0.241","530,000"
09/15/2023,"0.241","0.241","0.241","0.241","10,000"
09/13/2023,"0.243","0.255","0.241","0.255","930,000"
09/12/2023,"0.243","0.243","0.243","0.243","120,000"
09/07/2023,"0.250","0.250","0.245","0.245","70,000"
09/06/2023,"0.260","0.260","0.260","0.260","50,000"
09/05/2023,"0.255","0.260","0.241","0.260","50,000"
09/04/2023,"0.250","0.250","0.250","0.250","210,000"
09/01/2023,"0.245","0.245","0.240","0.240","1,310,000"
08/31/2023,"0.249","0.260","0.245","0.260","320,000"
08/30/2023,"0.250","0.250","0.242","0.250","2,420,000"
08/29/2023,"0.270","0.270","0.270","0.270","40,000"
08/25/2023,"0.275","0.275","0.270","0.270","40,000"
08/24/2023,"0.250","0.250","0.250","0.250","20,000"
08/23/2023,"0.250","0.250","0.250","0.250","30,000"
08/22/2023,"0.260","0.260","0.245","0.249","2,200,000"
08/17/2023,"0.265","0.265","0.265","0.265","90,000"
08/16/2023,"0.260","0.260","0.260","0.260","10,000"
08/10/2023,"0.280","0.280","0.280","0.280","30,000"
08/09/2023,"0.255","0.280","0.250","0.280","490,000"
08/08/2023,"0.260","0.260","0.260","0.260","70,000"
08/07/2023,"0.265","0.265","0.260","0.260","480,000"
08/03/2023,"0.270","0.270","0.270","0.270","520,000"
08/02/2023,"0.275","0.280","0.275","0.275","300,000"
08/01/2023,"0.275","0.275","0.275","0.275","470,000"
07/31/2023,"0.270","0.290","0.270","0.275","190,000"
07/28/2023,"0.280","0.280","0.280","0.280","170,000"
07/27/2023,"0.280","0.305","0.280","0.280","380,000"
07/26/2023,"0.290","0.290","0.290","0.290","410,000"
07/24/2023,"0.310","0.310","0.290","0.290","660,000"
07/21/2023,"0.290","0.305","0.290","0.305","190,000"
07/19/2023,"0.295","0.305","0.295","0.305","200,000"
07/18/2023,"0.300","0.300","0.295","0.300","1,040,000"
07/17/2023,"0.295","0.310","0.295","0.310","230,000"
07/14/2023,"0.300","0.310","0.300","0.300","660,000"
07/13/2023,"0.305","0.310","0.300","0.300","360,000"
07/12/2023,"0.300","0.305","0.295","0.295","410,000"
07/11/2023,"0.315","0.315","0.300","0.315","1,210,000"
07/10/2023,"0.300","0.320","0.300","0.315","1,590,000"
07/07/2023,"0.310","0.325","0.300","0.300","1,980,000"
07/06/2023,"0.290","0.345","0.290","0.310","13,370,000"
07/05/2023,"0.280","0.285","0.275","0.285","670,000"
07/04/2023,"0.270","0.280","0.270","0.280","300,000"
07/03/2023,"0.265","0.280","0.260","0.265","2,100,000"
06/30/2023,"0.248","0.260","0.246","0.260","490,000"
06/27/2023,"0.250","0.265","0.246","0.246","170,000"
06/26/2023,"0.246","0.250","0.246","0.250","80,000"
06/23/2023,"0.246","0.246","0.246","0.246","50,000"
06/20/2023,"0.249","0.249","0.248","0.248","270,000"
06/19/2023,"0.249","0.270","0.249","0.270","130,000"
06/16/2023,"0.248","0.248","0.248","0.248","10,000"
06/14/2023,"0.245","0.245","0.244","0.244","40,000"
06/13/2023,"0.245","0.245","0.245","0.245","10,000"
06/09/2023,"0.246","0.246","0.245","0.245","90,000"
06/08/2023,"0.244","0.246","0.244","0.246","40,000"
06/07/2023,"0.270","0.270","0.245","0.245","200,000"
06/06/2023,"0.249","0.249","0.249","0.249","30,000"
06/05/2023,"0.249","0.249","0.249","0.249","30,000"
06/02/2023,"0.249","0.249","0.249","0.249","30,000"
06/01/2023,"0.249","0.249","0.249","0.249","40,000"
05/31/2023,"0.249","0.249","0.249","0.249","20,000"
05/30/2023,"0.255","0.260","0.255","0.260","110,000"
05/29/2023,"0.250","0.255","0.250","0.250","210,000"
05/26/2023,"0.250","0.250","0.250","0.250","230,000"
05/25/2023,"0.260","0.275","0.260","0.275","110,000"
05/24/2023,"0.260","0.260","0.246","0.248","1,760,000"
05/23/2023,"0.260","0.260","0.250","0.250","100,000"
05/22/2023,"0.260","0.270","0.260","0.270","30,000"
05/19/2023,"0.260","0.270","0.260","0.270","180,000"
05/17/2023,"0.255","0.265","0.255","0.255","120,000"
05/16/2023,"0.275","0.275","0.250","0.250","1,280,000"
05/15/2023,"0.260","0.260","0.255","0.255","230,000"
05/12/2023,"0.275","0.275","0.275","0.275","110,000"
05/11/2023,"0.260","0.275","0.260","0.275","310,000"
05/09/2023,"0.260","0.260","0.255","0.260","150,000"
05/08/2023,"0.260","0.260","0.260","0.260","340,000"
05/05/2023,"0.260","0.260","0.260","0.260","120,000"
05/04/2023,"0.260","0.265","0.255","0.265","550,000"
05/03/2023,"0.265","0.265","0.260","0.260","720,000"
05/02/2023,"0.270","0.270","0.270","0.270","190,000"
04/28/2023,"0.270","0.270","0.270","0.270","990,000"
04/27/2023,"0.270","0.280","0.270","0.270","60,000"
04/26/2023,"0.270","0.270","0.270","0.270","100,000"
04/25/2023,"0.285","0.285","0.270","0.270","150,000"
04/24/2023,"0.260","0.290","0.260","0.285","90,000"
04/19/2023,"0.270","0.270","0.270","0.270","250,000"
04/18/2023,"0.270","0.270","0.270","0.270","20,000"
04/17/2023,"0.275","0.280","0.275","0.275","1,460,000"
04/14/2023,"0.295","0.300","0.280","0.280","280,000"
04/13/2023,"0.275","0.290","0.270","0.290","130,000"
04/12/2023,"0.290","0.295","0.280","0.280","190,000"
04/05/2023,"0.295","0.295","0.295","0.295","20,000"
04/04/2023,"0.285","0.295","0.285","0.295","270,000"
04/03/2023,"0.290","0.290","0.270","0.270","210,000"
03/31/2023,"0.280","0.280","0.275","0.275","660,000"
03/30/2023,"0.280","0.285","0.280","0.280","390,000"
03/29/2023,"0.295","0.295","0.295","0.295","4,060,000"
03/28/2023,"0.300","0.300","0.295","0.295","20,000"
03/27/2023,"0.280","0.295","0.280","0.295","30,000"
03/24/2023,"0.280","0.300","0.280","0.300","130,000"
