Date,Open,High,Low,Close,Volume
2020-01-02,0.76,0.78,0.76,0.78,771000
2020-01-02,0.76,0.78,0.76,0.78,771000
2020-01-03,0.79,0.8,0.77,0.78,4374000
2020-01-03,0.79,0.8,0.77,0.78,4374000
2020-01-06,0.77,0.79,0.76,0.79,2707000
2020-01-06,0.77,0.79,0.76,0.79,2707000
2020-01-07,0.81,0.86,0.8,0.81,9088000
2020-01-07,0.81,0.86,0.8,0.81,9088000
2020-01-08,0.82,0.82,0.79,0.8,3356000
2020-01-08,0.82,0.82,0.79,0.8,3356000
2020-01-09,0.8,0.83,0.79,0.82,2446000
2020-01-09,0.8,0.83,0.79,0.82,2446000
2020-01-10,0.82,0.88,0.81,0.87,8997000
2020-01-10,0.82,0.88,0.81,0.87,8997000
2020-01-14,0.88,0.88,0.83,0.88,3421000
2020-01-14,0.88,0.88,0.83,0.88,3421000
2020-01-15,0.88,0.89,0.85,0.86,2831000
2020-01-15,0.88,0.89,0.85,0.86,2831000
2020-01-16,0.86,0.87,0.85,0.87,1072000
2020-01-16,0.86,0.87,0.85,0.87,1072000
2020-01-17,0.88,0.95,0.87,0.91,15354000
2020-01-17,0.88,0.95,0.87,0.91,15354000
2020-01-20,0.93,0.93,0.9,0.91,3231000
2020-01-20,0.93,0.93,0.9,0.91,3231000
2020-01-21,0.9,0.91,0.85,0.86,8161000
2020-01-21,0.9,0.91,0.85,0.86,8161000
2020-01-22,0.85,0.86,0.81,0.83,5479000
2020-01-22,0.85,0.86,0.81,0.83,5479000
2020-01-23,0.83,0.86,0.82,0.85,1807000
2020-01-23,0.83,0.86,0.82,0.85,1807000
2020-01-24,0.85,0.89,0.85,0.89,3364000
2020-01-24,0.85,0.89,0.85,0.89,3364000
2020-01-27,0.88,0.94,0.86,0.92,7498000
2020-01-27,0.88,0.94,0.86,0.92,7498000
2020-01-28,0.92,0.93,0.87,0.89,2591000
2020-01-28,0.92,0.93,0.87,0.89,2591000
2020-01-29,0.88,0.9,0.85,0.86,2965000
2020-01-29,0.88,0.9,0.85,0.86,2965000
2020-01-30,0.86,0.87,0.85,0.86,1130000
2020-01-30,0.86,0.87,0.85,0.86,1130000
2020-01-31,0.86,0.86,0.8,0.81,4548000
2020-01-31,0.86,0.86,0.8,0.81,4548000
2020-02-03,0.81,0.83,0.78,0.81,1183000
2020-02-03,0.81,0.83,0.78,0.81,1183000
2020-02-04,0.82,0.85,0.82,0.83,1627000
2020-02-04,0.82,0.85,0.82,0.83,1627000
2020-02-05,0.82,0.84,0.81,0.82,2195000
2020-02-05,0.82,0.84,0.81,0.82,2195000
2020-02-06,0.81,0.82,0.8,0.81,1124000
2020-02-06,0.81,0.82,0.8,0.81,1124000
2020-02-07,0.81,0.83,0.79,0.81,2079000
2020-02-07,0.81,0.83,0.79,0.81,2079000
2020-02-10,0.82,0.82,0.79,0.8,837000
2020-02-10,0.82,0.82,0.79,0.8,837000
2020-02-11,0.8,0.81,0.79,0.79,536000
2020-02-11,0.8,0.81,0.79,0.79,536000
2020-02-12,0.79,0.8,0.78,0.79,804000
2020-02-12,0.79,0.8,0.78,0.79,804000
2020-02-13,0.78,0.8,0.78,0.79,532000
2020-02-13,0.78,0.8,0.78,0.79,532000
2020-02-14,0.78,0.8,0.78,0.78,667000
2020-02-14,0.78,0.8,0.78,0.78,667000
2020-02-17,0.78,0.8,0.78,0.79,643000
2020-02-17,0.78,0.8,0.78,0.79,643000
2020-02-18,0.79,0.8,0.78,0.79,266000
2020-02-18,0.79,0.8,0.78,0.79,266000
2020-02-19,0.79,0.8,0.78,0.8,1457000
