Date,Open,High,Low,Close,Volume
05/16/2025,"2.160","2.170","2.160","2.170","107,000"
05/15/2025,"2.140","2.170","2.010","2.140","77,000"
05/14/2025,"2.100","2.140","2.000","2.140","66,000"
05/13/2025,"2.040","2.140","2.040","2.140","19,000"
05/09/2025,"1.970","2.150","1.970","2.140","174,000"
05/08/2025,"1.970","1.970","1.970","1.970","1,000"
05/07/2025,"1.970","1.970","1.950","1.970","20,000"
05/06/2025,"1.910","1.970","1.910","1.970","16,000"
05/05/2025,"1.960","1.970","1.960","1.970","19,000"
05/02/2025,"1.900","1.950","1.900","1.950","37,000"
