Date,Open,High,Low,Close,Volume
04/24/2025,"3.700","4.890","3.680","4.890","10,000"
04/23/2025,"4.900","4.900","4.900","4.900","300"
04/22/2025,"4.990","5.000","4.990","5.000","11,000"
04/21/2025,"5.000","5.000","4.900","4.900","1,100"
04/15/2025,"5.000","5.000","5.000","5.000","12,300"
04/14/2025,"5.000","5.000","5.000","5.000","2,200"
04/11/2025,"5.300","5.300","5.000","5.000","21,200"
04/10/2025,"5.000","5.000","5.000","5.000","13,000"
04/08/2025,"5.000","5.390","5.000","5.390","200"
04/03/2025,"5.000","5.390","5.000","5.390","1,200"
04/02/2025,"5.430","5.440","5.430","5.440","2,000"
03/31/2025,"5.280","5.450","5.000","5.440","20,300"
03/28/2025,"5.280","5.280","5.280","5.280","200"
03/27/2025,"5.450","5.450","5.280","5.280","400"
03/26/2025,"5.080","5.080","5.080","5.080","400"
03/25/2025,"5.100","5.100","4.500","5.090","1,200"
03/21/2025,"5.100","5.100","5.100","5.100","200"
03/20/2025,"5.190","5.190","5.190","5.190","2,000"
03/19/2025,"5.100","5.200","5.100","5.200","15,200"
03/18/2025,"5.250","5.250","5.100","5.100","93,900"
03/14/2025,"5.400","5.400","5.390","5.390","600"
03/13/2025,"5.430","5.430","5.420","5.420","103,600"
03/12/2025,"5.470","5.470","5.440","5.440","5,100"
03/11/2025,"4.930","5.500","4.930","5.500","8,300"
03/07/2025,"5.000","5.530","4.900","5.530","13,700"
03/06/2025,"5.620","5.620","5.580","5.580","300"
03/05/2025,"5.250","5.680","5.000","5.660","48,000"
03/04/2025,"5.820","5.820","5.300","5.300","45,800"
03/03/2025,"5.820","5.840","5.820","5.820","4,100"
02/28/2025,"6.270","6.270","6.200","6.200","77,900"
02/27/2025,"5.830","5.990","5.820","5.990","9,000"
02/26/2025,"5.830","5.830","5.830","5.830","21,000"
02/25/2025,"5.900","6.340","5.820","5.820","54,700"
02/24/2025,"5.840","5.900","5.840","5.900","33,900"
02/21/2025,"5.810","6.380","5.800","6.380","23,000"
02/20/2025,"6.060","6.440","6.000","6.430","9,500"
02/19/2025,"6.040","6.500","6.010","6.060","52,900"
02/18/2025,"6.100","6.400","6.000","6.040","10,000"
02/17/2025,"6.700","6.700","6.250","6.500","52,600"
02/14/2025,"6.460","6.700","6.460","6.700","22,000"
02/13/2025,"6.300","6.490","6.250","6.490","54,600"
02/12/2025,"6.700","6.700","6.700","6.700","800"
02/11/2025,"6.700","6.700","6.700","6.700","1,100"
02/10/2025,"6.350","6.700","6.350","6.700","8,400"
02/07/2025,"6.510","6.700","6.300","6.350","25,000"
02/05/2025,"6.840","6.840","6.700","6.750","2,900"
02/04/2025,"6.970","6.980","6.700","6.850","104,400"
02/03/2025,"6.950","6.990","6.510","6.700","124,800"
01/31/2025,"6.870","6.980","6.840","6.900","559,600"
01/30/2025,"6.250","6.750","6.250","6.750","188,500"
01/28/2025,"6.200","6.700","6.200","6.700","184,700"
01/27/2025,"6.380","6.380","6.100","6.370","62,800"
01/24/2025,"6.000","6.470","6.000","6.390","2,100"
01/23/2025,"6.380","6.490","6.150","6.150","9,100"
01/22/2025,"6.150","6.700","6.130","6.390","1,129,600"
01/21/2025,"6.750","6.750","6.100","6.150","165,800"
01/20/2025,"6.250","6.750","6.000","6.100","218,000"
01/17/2025,"6.000","6.250","6.000","6.170","121,600"
01/16/2025,"5.990","6.000","5.700","5.990","154,500"
01/15/2025,"6.000","6.000","5.700","5.980","82,900"
01/14/2025,"5.890","5.970","5.750","5.950","84,900"
01/13/2025,"6.150","6.150","5.700","5.750","31,600"
01/10/2025,"6.240","6.240","5.650","5.990","70,100"
01/09/2025,"5.800","6.290","5.600","6.240","588,000"
01/08/2025,"5.700","5.890","5.600","5.600","48,100"
01/07/2025,"5.390","5.700","5.390","5.690","159,300"
01/06/2025,"5.190","5.390","5.190","5.390","123,200"
01/03/2025,"5.010","5.190","4.900","5.190","190,900"
01/02/2025,"5.440","5.440","5.000","5.200","70,200"
