Date,Open,High,Low,Close,Volume
12/31/2021,"12.700","12.700","12.500","12.600","77,800"
12/29/2021,"12.580","12.800","12.580","12.640","89,000"
12/28/2021,"12.460","12.580","12.420","12.560","126,100"
12/27/2021,"12.460","12.520","12.440","12.440","34,700"
12/24/2021,"12.500","12.500","12.460","12.460","28,500"
12/23/2021,"12.460","12.560","12.420","12.500","354,500"
12/22/2021,"12.460","12.600","12.440","12.460","291,300"
12/21/2021,"12.500","12.580","12.400","12.460","86,600"
12/20/2021,"12.760","12.800","12.500","12.500","135,300"
12/17/2021,"12.780","12.800","12.740","12.740","49,900"
12/16/2021,"12.800","12.800","12.640","12.780","15,700"
12/15/2021,"12.800","12.800","12.640","12.640","288,200"
12/14/2021,"12.680","12.860","12.600","12.620","63,400"
12/13/2021,"12.680","12.680","12.540","12.580","69,000"
12/10/2021,"12.820","12.900","12.700","12.700","123,200"
12/09/2021,"12.960","13.000","12.800","12.820","100,000"
12/07/2021,"13.000","13.100","12.940","12.960","93,800"
12/06/2021,"13.040","13.060","13.000","13.000","76,300"
12/03/2021,"13.120","13.120","12.880","12.900","484,800"
12/02/2021,"13.060","13.120","12.880","13.120","173,000"
12/01/2021,"13.280","13.300","13.000","13.060","170,900"
11/29/2021,"13.700","13.700","13.280","13.300","282,700"
11/26/2021,"13.880","13.900","13.660","13.700","161,600"
11/25/2021,"13.620","13.740","13.620","13.740","29,200"
11/24/2021,"13.720","13.880","13.640","13.740","60,000"
11/23/2021,"13.920","13.920","13.720","13.800","50,500"
11/22/2021,"13.980","14.000","13.500","13.540","550,300"
11/19/2021,"13.860","14.020","13.800","13.980","154,000"
11/18/2021,"13.980","14.000","13.740","13.800","225,800"
11/17/2021,"14.000","14.000","13.820","13.820","328,300"
11/16/2021,"13.740","13.880","13.740","13.800","112,900"
11/15/2021,"13.900","13.900","13.720","13.740","314,800"
11/12/2021,"14.180","14.180","13.980","14.000","84,800"
11/11/2021,"14.160","14.180","14.020","14.100","62,300"
11/10/2021,"14.420","14.420","13.840","14.160","316,700"
11/09/2021,"14.600","14.640","14.440","14.440","161,800"
11/08/2021,"14.580","14.800","14.300","14.640","197,000"
11/05/2021,"13.800","14.800","13.800","14.580","302,300"
