Date,Open,High,Low,Close,Volume
12/29/2020,"1.440","1.480","1.400","1.480","109,000"
12/28/2020,"1.440","1.490","1.440","1.440","4,000"
12/23/2020,"1.520","1.520","1.520","1.520","3,000"
12/22/2020,"1.530","1.530","1.410","1.490","41,000"
12/21/2020,"1.500","1.530","1.500","1.500","62,000"
12/17/2020,"1.500","1.500","1.500","1.500","5,000"
12/16/2020,"1.530","1.530","1.500","1.500","56,000"
12/15/2020,"1.550","1.550","1.400","1.530","44,000"
12/14/2020,"1.480","1.480","1.330","1.480","33,000"
12/11/2020,"1.430","1.470","1.430","1.470","58,000"
12/10/2020,"1.400","1.400","1.380","1.380","16,000"
12/09/2020,"1.400","1.400","1.390","1.390","108,000"
12/07/2020,"1.390","1.450","1.390","1.390","165,000"
12/04/2020,"1.450","1.450","1.400","1.450","347,000"
12/03/2020,"1.450","1.450","1.450","1.450","225,000"
12/01/2020,"1.420","1.480","1.420","1.480","32,000"
11/27/2020,"1.420","1.420","1.420","1.420","200,000"
11/26/2020,"1.430","1.430","1.420","1.430","492,000"
11/25/2020,"1.430","1.450","1.430","1.430","253,000"
11/24/2020,"1.500","1.500","1.470","1.500","32,000"
11/23/2020,"1.500","1.500","1.410","1.500","211,000"
11/20/2020,"1.550","1.550","1.420","1.500","22,000"
11/19/2020,"1.470","1.560","1.420","1.550","485,000"
11/18/2020,"1.450","1.490","1.400","1.400","111,000"
11/17/2020,"1.400","1.540","1.400","1.450","57,000"
11/13/2020,"1.550","1.550","1.550","1.550","4,000"
11/10/2020,"1.420","1.560","1.410","1.560","24,000"
11/09/2020,"1.400","1.450","1.400","1.450","40,000"
11/06/2020,"1.400","1.450","1.400","1.450","49,000"
11/05/2020,"1.470","1.470","1.400","1.470","126,000"
11/04/2020,"1.580","1.600","1.450","1.460","124,000"
11/03/2020,"1.390","1.750","1.370","1.580","2,912,000"
10/30/2020,"1.220","1.390","1.220","1.390","77,000"
10/29/2020,"1.220","1.220","1.220","1.220","1,000"
10/28/2020,"1.200","1.420","1.180","1.210","436,000"
10/27/2020,"1.130","1.130","1.110","1.110","118,000"
10/26/2020,"1.150","1.170","1.150","1.170","29,000"
10/23/2020,"1.110","1.150","1.110","1.140","35,000"
10/22/2020,"1.210","1.220","1.180","1.210","78,000"
10/21/2020,"1.210","1.210","1.190","1.210","32,000"
10/13/2020,"1.190","1.190","1.190","1.190","3,000"
10/12/2020,"1.130","1.130","1.080","1.080","35,000"
10/09/2020,"1.150","1.150","1.150","1.150","29,000"
10/07/2020,"1.150","1.150","1.150","1.150","8,000"
10/06/2020,"1.150","1.150","1.150","1.150","171,000"
09/30/2020,"1.130","1.130","1.130","1.130","1,000"
09/29/2020,"1.220","1.220","1.220","1.220","5,000"
09/28/2020,"1.220","1.220","1.220","1.220","1,000"
09/25/2020,"1.100","1.100","1.100","1.100","1,000"
09/14/2020,"1.030","1.030","1.030","1.030","2,000"
09/11/2020,"1.060","1.060","1.060","1.060","2,000"
09/09/2020,"1.080","1.080","1.080","1.080","11,000"
09/08/2020,"1.080","1.080","1.080","1.080","2,000"
09/02/2020,"1.120","1.120","1.120","1.120","1,000"
08/24/2020,"1.140","1.140","1.130","1.130","7,000"
08/19/2020,"1.160","1.160","1.160","1.160","30,000"
08/18/2020,"1.200","1.200","1.200","1.200","1,000"
08/13/2020,"1.200","1.200","1.200","1.200","300,000"
08/12/2020,"1.200","1.250","1.150","1.200","172,000"
08/11/2020,"1.170","1.170","1.170","1.170","1,000"
08/07/2020,"1.160","1.160","1.160","1.160","1,000"
08/04/2020,"1.280","1.280","1.150","1.150","51,000"
07/27/2020,"1.290","1.290","1.250","1.250","2,000"
07/24/2020,"1.230","1.230","1.230","1.230","10,000"
07/23/2020,"1.180","1.180","1.180","1.180","2,000"
07/22/2020,"1.190","1.190","1.190","1.190","1,000"
07/21/2020,"1.180","1.180","1.180","1.180","1,000"
07/17/2020,"1.310","1.310","1.280","1.280","7,000"
07/16/2020,"1.310","1.310","1.310","1.310","20,000"
07/10/2020,"1.200","1.200","1.200","1.200","1,000"
07/08/2020,"1.180","1.180","1.180","1.180","1,000"
07/03/2020,"1.240","1.240","1.240","1.240","10,000"
07/02/2020,"1.230","1.240","1.200","1.240","44,000"
06/26/2020,"1.250","1.250","1.240","1.240","13,000"
06/24/2020,"1.330","1.330","1.230","1.260","12,000"
06/23/2020,"1.340","1.340","1.330","1.330","11,000"
06/22/2020,"1.170","1.350","1.170","1.330","216,000"
06/19/2020,"1.160","1.160","1.150","1.150","29,000"
06/18/2020,"1.150","1.150","1.150","1.150","70,000"
06/17/2020,"1.150","1.150","1.150","1.150","6,000"
06/16/2020,"1.150","1.150","1.150","1.150","16,000"
06/05/2020,"1.150","1.150","1.150","1.150","15,000"
06/04/2020,"1.120","1.160","1.120","1.150","191,000"
06/03/2020,"1.130","1.130","1.130","1.130","4,000"
05/27/2020,"1.050","1.080","1.050","1.080","20,000"
05/26/2020,"1.080","1.080","1.080","1.080","11,000"
05/21/2020,"1.050","1.110","1.050","1.110","4,000"
05/19/2020,"1.130","1.130","1.010","1.110","47,000"
05/14/2020,"1.150","1.160","1.150","1.160","10,000"
05/13/2020,"1.160","1.160","1.150","1.150","5,000"
05/11/2020,"1.190","1.190","1.130","1.130","3,000"
05/08/2020,"1.190","1.190","1.190","1.190","14,000"
05/07/2020,"1.190","1.190","1.190","1.190","1,000"
05/05/2020,"1.190","1.190","1.190","1.190","5,000"
05/04/2020,"1.190","1.190","1.190","1.190","3,000"
04/30/2020,"1.130","1.130","1.130","1.130","1,000"
04/24/2020,"1.240","1.240","1.110","1.110","9,000"
04/20/2020,"1.140","1.250","1.140","1.250","21,000"
04/13/2020,"1.280","1.280","1.280","1.280","7,000"
04/07/2020,"1.200","1.200","1.150","1.200","15,000"
04/03/2020,"1.150","1.150","1.150","1.150","8,000"
04/01/2020,"1.250","1.250","1.250","1.250","7,000"
03/31/2020,"1.250","1.250","1.200","1.250","4,000"
03/27/2020,"1.250","1.250","1.250","1.250","7,000"
03/26/2020,"1.250","1.280","1.250","1.250","10,000"
03/25/2020,"1.020","1.280","1.020","1.280","41,000"
03/24/2020,"1.250","1.250","1.250","1.250","4,000"
03/23/2020,"1.360","1.360","1.360","1.360","1,000"
03/16/2020,"1.380","1.380","1.380","1.380","5,000"
03/13/2020,"1.200","1.200","1.200","1.200","20,000"
03/12/2020,"1.350","1.350","1.230","1.230","112,000"
03/11/2020,"1.350","1.350","1.350","1.350","1,000"
03/10/2020,"1.290","1.380","1.290","1.380","33,000"
03/09/2020,"1.330","1.390","1.300","1.390","102,000"
03/06/2020,"1.330","1.430","1.330","1.350","4,000"
