Date,Open,High,Low,Close,Volume
04/28/2025,"1,019.00","1,019.00","1,019.00","1,019.00","100"
04/15/2025,"1,019.00","1,019.00","1,019.00","1,019.00","200"
04/14/2025,"1,017.00","1,017.00","1,017.00","1,017.00","200"
04/10/2025,"1,018.00","1,018.00","1,018.00","1,018.00","100"
04/08/2025,"1,018.00","1,018.00","1,018.00","1,018.00","3,100"
04/07/2025,"1,017.00","1,017.00","1,017.00","1,017.00","10"
04/03/2025,"1,070.00","1,070.00","1,070.00","1,070.00","945"
03/31/2025,"1,050.00","1,050.00","1,050.00","1,050.00","11,400"
03/28/2025,"1,050.00","1,050.00","1,050.00","1,050.00","24,575"
03/27/2025,"1,040.00","1,040.00","1,040.00","1,040.00","110"
03/25/2025,"1,039.00","1,039.00","1,039.00","1,039.00","1,845"
03/17/2025,"1,012.00","1,015.00","1,012.00","1,014.00","4,300"
03/14/2025,"1,014.00","1,014.00","1,010.00","1,010.00","2,100"
03/04/2025,"1,014.00","1,014.00","1,014.00","1,014.00","10"
02/28/2025,"1,014.00","1,014.00","1,014.00","1,014.00","100"
02/26/2025,"1,020.00","1,020.00","1,020.00","1,020.00","45"
02/24/2025,"1,020.00","1,020.00","1,020.00","1,020.00","10"
02/21/2025,"1,020.00","1,020.00","1,020.00","1,020.00","35"
02/20/2025,"1,013.00","1,013.00","1,013.00","1,013.00","100"
02/18/2025,"1,016.00","1,016.00","1,010.00","1,012.00","6,000"
02/13/2025,"1,022.00","1,022.00","1,022.00","1,022.00","60"
02/05/2025,"1,060.00","1,060.00","1,018.00","1,018.00","500"
01/31/2025,"1,060.00","1,060.00","1,060.00","1,060.00","4,000"
01/17/2025,"1,020.00","1,060.00","1,020.00","1,060.00","7,265"
01/16/2025,"1,021.00","1,021.00","1,016.00","1,016.00","1,000"
01/08/2025,"1,050.00","1,060.00","1,050.00","1,060.00","420"
01/06/2025,"1,022.00","1,022.00","1,015.00","1,015.00","1,000"
01/03/2025,"1,021.00","1,021.00","1,021.00","1,021.00","20"
