Date,Open,High,Low,Close,Volume
12/29/2020,"10.76","10.80","10.60","10.60","9,935,400"
12/28/2020,"10.76","10.86","10.52","10.80","5,841,700"
12/23/2020,"10.54","11.12","10.54","11.04","5,854,500"
12/22/2020,"10.82","10.82","10.20","10.82","7,750,100"
12/21/2020,"11.02","11.02","10.70","10.88","4,080,600"
12/18/2020,"10.78","11.06","10.60","11.06","4,843,700"
12/17/2020,"10.90","10.90","10.72","10.78","2,901,000"
12/16/2020,"10.60","10.90","10.54","10.90","9,001,700"
12/15/2020,"10.64","10.68","10.44","10.60","6,100,300"
12/14/2020,"10.48","10.68","10.40","10.64","4,606,200"
12/11/2020,"10.38","10.60","10.38","10.46","8,521,800"
12/10/2020,"10.68","10.70","10.38","10.38","6,586,700"
12/09/2020,"10.56","10.66","10.38","10.64","12,250,500"
12/07/2020,"10.16","10.56","10.14","10.56","21,469,100"
12/04/2020,"10.16","10.20","10.00","10.10","7,759,900"
12/03/2020,"10.00","10.16","9.88","10.10","10,111,600"
12/02/2020,"10.00","10.02","9.86","9.99","6,212,300"
12/01/2020,"9.77","10.10","9.65","10.00","9,383,900"
11/27/2020,"9.49","9.80","9.35","9.80","6,465,000"
11/26/2020,"9.69","9.69","9.34","9.50","6,733,600"
11/25/2020,"9.66","9.90","9.65","9.70","5,032,300"
11/24/2020,"9.85","9.90","9.55","9.65","6,577,600"
11/23/2020,"10.00","10.10","9.81","9.81","14,045,700"
11/20/2020,"9.90","10.20","9.80","9.93","12,988,200"
11/19/2020,"9.49","9.90","9.42","9.90","9,904,500"
11/18/2020,"9.49","9.52","9.28","9.52","5,594,700"
11/17/2020,"9.20","9.50","9.06","9.50","10,930,600"
11/16/2020,"8.98","9.30","8.94","9.21","19,543,500"
11/13/2020,"8.80","9.05","8.80","8.92","16,354,200"
11/11/2020,"8.50","8.91","8.33","8.75","13,875,000"
11/10/2020,"8.27","8.47","8.20","8.44","9,851,400"
11/09/2020,"8.31","8.48","8.09","8.09","13,156,500"
11/06/2020,"8.45","8.46","8.22","8.31","25,916,500"
11/05/2020,"8.25","8.49","8.24","8.37","11,672,100"
11/04/2020,"7.78","8.24","7.78","8.18","12,216,000"
11/03/2020,"7.95","7.97","7.71","7.76","9,036,600"
10/30/2020,"7.89","8.09","7.82","7.94","6,431,200"
10/29/2020,"8.00","8.10","7.88","7.90","8,371,000"
10/28/2020,"8.12","8.30","8.01","8.14","6,105,100"
10/27/2020,"8.28","8.28","8.06","8.14","7,431,400"
10/26/2020,"8.65","8.65","8.23","8.31","7,464,900"
10/23/2020,"7.92","8.64","7.91","8.60","21,475,000"
10/22/2020,"8.02","8.20","7.77","7.91","8,981,800"
10/21/2020,"7.69","8.00","7.60","8.00","18,181,900"
10/20/2020,"7.27","7.50","7.17","7.50","10,534,300"
10/19/2020,"7.29","7.34","7.09","7.15","7,027,500"
10/16/2020,"7.40","7.41","7.26","7.27","4,758,400"
10/15/2020,"7.40","7.43","7.31","7.39","2,928,200"
10/14/2020,"7.25","7.46","7.24","7.30","6,466,200"
10/13/2020,"7.08","7.35","7.08","7.21","8,243,500"
10/12/2020,"7.02","7.15","6.99","7.06","8,195,800"
10/09/2020,"7.03","7.05","7.00","7.02","5,039,200"
10/08/2020,"7.02","7.03","7.00","7.02","4,314,100"
10/07/2020,"7.04","7.04","6.99","7.00","6,525,000"
10/06/2020,"7.00","7.03","6.99","7.00","9,924,800"
10/05/2020,"7.00","7.02","6.99","7.00","4,736,800"
10/02/2020,"7.01","7.01","6.93","6.98","4,060,700"
10/01/2020,"6.99","7.10","6.96","7.01","2,149,600"
09/30/2020,"6.90","7.01","6.89","7.00","4,412,200"
09/29/2020,"7.05","7.06","6.83","6.90","9,229,000"
09/28/2020,"7.07","7.09","7.04","7.05","5,825,300"
09/25/2020,"7.12","7.15","7.07","7.07","5,126,500"
09/24/2020,"7.07","7.11","7.04","7.08","7,445,200"
09/23/2020,"7.08","7.10","7.06","7.07","2,603,800"
09/22/2020,"7.15","7.15","7.00","7.10","7,486,400"
09/21/2020,"7.25","7.25","7.11","7.17","4,301,400"
09/18/2020,"7.10","7.28","7.02","7.25","16,659,000"
09/17/2020,"7.10","7.11","7.09","7.10","11,249,100"
09/16/2020,"6.99","7.15","6.94","7.10","15,402,800"
09/15/2020,"6.83","7.02","6.77","6.97","10,361,100"
09/14/2020,"6.91","6.94","6.73","6.77","8,128,700"
09/11/2020,"6.97","7.06","6.93","6.93","20,507,199"
