Date,Open,High,Low,Close,Volume
12/28/2023,"0.435","0.460","0.435","0.460","100,000"
12/27/2023,"0.430","0.440","0.430","0.440","50,000"
12/22/2023,"0.435","0.435","0.435","0.435","80,000"
12/21/2023,"0.420","0.440","0.400","0.415","560,000"
12/20/2023,"0.440","0.440","0.440","0.440","100,000"
12/19/2023,"0.425","0.440","0.420","0.420","120,000"
12/15/2023,"0.435","0.440","0.435","0.440","40,000"
12/14/2023,"0.430","0.440","0.415","0.435","50,000"
12/13/2023,"0.440","0.440","0.440","0.440","110,000"
12/12/2023,"0.425","0.440","0.420","0.440","170,000"
12/11/2023,"0.450","0.450","0.440","0.440","390,000"
12/07/2023,"0.440","0.470","0.440","0.470","40,000"
12/06/2023,"0.470","0.470","0.470","0.470","90,000"
12/04/2023,"0.440","0.440","0.415","0.440","270,000"
11/30/2023,"0.440","0.445","0.440","0.445","30,000"
11/28/2023,"0.440","0.455","0.415","0.415","100,000"
11/24/2023,"0.445","0.445","0.440","0.440","140,000"
11/23/2023,"0.450","0.450","0.425","0.445","40,000"
11/22/2023,"0.415","0.420","0.415","0.420","80,000"
11/15/2023,"0.415","0.450","0.415","0.450","40,000"
11/13/2023,"0.455","0.470","0.455","0.470","50,000"
11/09/2023,"0.450","0.465","0.450","0.465","50,000"
11/07/2023,"0.455","0.455","0.455","0.455","20,000"
11/06/2023,"0.455","0.455","0.455","0.455","30,000"
10/27/2023,"0.455","0.455","0.455","0.455","20,000"
10/26/2023,"0.415","0.455","0.415","0.455","20,000"
10/25/2023,"0.415","0.455","0.415","0.455","20,000"
10/24/2023,"0.375","0.470","0.375","0.425","80,000"
10/23/2023,"0.440","0.440","0.350","0.350","540,000"
10/20/2023,"0.445","0.445","0.445","0.445","20,000"
10/19/2023,"0.445","0.445","0.445","0.445","210,000"
10/18/2023,"0.460","0.460","0.460","0.460","150,000"
10/17/2023,"0.445","0.465","0.445","0.465","520,000"
10/16/2023,"0.450","0.450","0.445","0.445","510,000"
10/13/2023,"0.470","0.480","0.470","0.480","20,000"
10/10/2023,"0.450","0.480","0.450","0.480","50,000"
10/09/2023,"0.480","0.490","0.480","0.490","50,000"
10/06/2023,"0.485","0.490","0.485","0.490","1,100,000"
10/04/2023,"0.480","0.485","0.480","0.485","40,000"
10/02/2023,"0.485","0.485","0.485","0.485","30,000"
09/29/2023,"0.470","0.485","0.470","0.485","170,000"
09/28/2023,"0.470","0.470","0.445","0.445","350,000"
09/22/2023,"0.440","0.475","0.440","0.475","60,000"
09/20/2023,"0.440","0.440","0.440","0.440","800,000"
09/19/2023,"0.440","0.440","0.440","0.440","10,000"
09/18/2023,"0.475","0.475","0.470","0.470","40,000"
09/15/2023,"0.460","0.470","0.460","0.470","30,000"
