Date,Open,High,Low,Close,Volume
12/27/2024,"4.000","4.800","4.000","4.800","3,000"
12/26/2024,"5.300","5.300","5.300","5.300","100"
12/23/2024,"5.300","5.300","5.300","5.300","100"
12/20/2024,"5.500","5.500","5.400","5.400","1,300"
12/19/2024,"5.450","5.470","5.450","5.470","200"
12/18/2024,"5.330","5.480","5.330","5.480","700"
12/13/2024,"5.500","5.500","5.500","5.500","1,000"
12/03/2024,"4.700","4.700","4.700","4.700","200"
11/29/2024,"5.240","5.240","5.240","5.240","100"
11/26/2024,"5.500","5.500","5.500","5.500","1,000"
11/22/2024,"3.940","3.940","3.940","3.940","200"
11/15/2024,"5.500","5.500","5.500","5.500","1,000"
11/14/2024,"4.980","4.980","4.980","4.980","200"
11/13/2024,"5.490","5.490","5.490","5.490","1,000"
10/11/2024,"4.690","4.690","4.690","4.690","200"
10/10/2024,"5.100","5.100","5.100","5.100","300"
10/09/2024,"5.380","5.380","5.200","5.380","5,000"
10/08/2024,"5.000","5.250","5.000","5.100","1,200"
10/07/2024,"5.000","5.500","5.000","5.490","17,400"
10/03/2024,"6.500","6.500","5.990","5.990","200"
10/02/2024,"5.000","5.000","5.000","5.000","3,000"
10/01/2024,"4.990","4.990","4.990","4.990","1,000"
09/25/2024,"4.500","4.500","4.500","4.500","200"
09/24/2024,"5.180","5.180","5.090","5.090","800"
09/23/2024,"4.340","5.190","4.340","5.190","5,800"
09/20/2024,"5.300","5.300","5.300","5.300","400"
09/19/2024,"4.310","5.000","4.310","5.000","7,900"
09/17/2024,"5.500","5.500","5.500","5.500","1,000"
09/13/2024,"4.130","4.130","4.130","4.130","100"
09/12/2024,"5.000","5.500","5.000","5.500","1,300"
09/11/2024,"5.010","5.500","5.000","5.500","1,900"
09/10/2024,"5.000","5.000","5.000","5.000","1,000"
09/09/2024,"4.310","4.310","4.310","4.310","100"
09/06/2024,"5.960","5.960","5.950","5.950","600"
09/05/2024,"5.960","5.960","5.960","5.960","1,000"
09/04/2024,"4.140","4.140","4.140","4.140","900"
08/29/2024,"5.540","5.540","5.480","5.480","700"
08/22/2024,"5.780","5.780","5.780","5.780","1,000"
08/21/2024,"4.250","4.250","4.250","4.250","700"
08/20/2024,"5.000","5.000","5.000","5.000","1,000"
08/19/2024,"4.070","4.200","4.070","4.200","1,500"
08/14/2024,"5.790","5.790","5.790","5.790","1,000"
08/13/2024,"5.870","5.870","4.900","4.900","4,000"
08/12/2024,"4.100","4.100","4.100","4.100","2,000"
07/12/2024,"4.880","4.880","4.880","4.880","3,000"
07/11/2024,"4.880","4.880","4.880","4.880","1,000"
07/10/2024,"4.880","4.880","4.880","4.880","1,000"
06/28/2024,"4.240","4.870","4.240","4.870","600"
06/25/2024,"5.980","5.980","5.980","5.980","1,000"
06/21/2024,"4.810","4.810","4.800","4.800","3,000"
06/19/2024,"5.000","5.000","4.270","4.800","3,300"
06/18/2024,"8.960","8.960","5.000","5.000","1,300"
06/14/2024,"5.980","5.980","5.980","5.980","2,000"
06/13/2024,"4.810","4.810","4.810","4.810","2,000"
06/06/2024,"5.260","5.260","4.800","4.800","200"
06/05/2024,"4.000","5.270","4.000","5.270","400"
06/04/2024,"5.280","5.280","5.280","5.280","100"
05/30/2024,"5.540","5.540","5.540","5.540","100"
05/28/2024,"5.600","5.600","5.600","5.600","1,000"
05/27/2024,"4.790","4.790","4.790","4.790","1,100"
05/24/2024,"5.780","5.780","5.300","5.300","200"
05/23/2024,"5.040","5.040","5.000","5.000","200"
05/22/2024,"5.000","5.370","5.000","5.370","6,100"
05/21/2024,"5.800","5.800","5.800","5.800","1,000"
05/17/2024,"4.870","4.870","4.870","4.870","1,000"
05/13/2024,"4.850","5.790","4.850","4.870","3,800"
05/09/2024,"5.970","5.970","5.970","5.970","1,000"
05/07/2024,"4.560","5.190","4.560","4.990","4,500"
05/03/2024,"6.980","6.980","4.900","6.490","500"
05/02/2024,"3.750","6.990","3.750","6.980","400"
04/25/2024,"5.000","6.000","5.000","5.000","3,000"
04/24/2024,"4.310","4.320","4.310","4.320","300"
04/23/2024,"5.990","5.990","5.990","5.990","100"
04/22/2024,"5.780","5.790","5.780","5.790","3,000"
04/19/2024,"6.000","6.000","6.000","6.000","1,000"
04/18/2024,"4.500","4.500","4.500","4.500","8,100"
04/17/2024,"5.500","5.500","5.000","5.000","5,000"
04/11/2024,"4.960","4.960","4.960","4.960","100"
04/05/2024,"5.500","5.500","5.500","5.500","3,100"
04/04/2024,"5.990","5.990","5.990","5.990","300"
03/15/2024,"6.000","6.000","6.000","6.000","200"
03/08/2024,"4.920","6.000","4.920","6.000","1,400"
03/01/2024,"5.000","5.750","5.000","5.750","200"
02/29/2024,"5.200","5.200","5.200","5.200","400"
02/28/2024,"5.990","6.000","5.990","6.000","3,000"
02/23/2024,"6.000","6.000","6.000","6.000","100"
02/19/2024,"5.980","5.980","5.980","5.980","300"
02/12/2024,"6.000","6.000","6.000","6.000","500"
02/06/2024,"6.000","6.350","6.000","6.350","200"
02/05/2024,"6.000","6.000","6.000","6.000","200"
02/02/2024,"5.500","5.500","5.500","5.500","6,500"
01/31/2024,"5.500","5.500","5.500","5.500","9,000"
01/30/2024,"6.380","6.380","5.950","5.950","200"
01/29/2024,"4.950","5.950","4.950","5.880","6,600"
01/26/2024,"4.950","5.500","4.950","5.500","2,000"
