Date,Open,High,Low,Close,Volume
04/30/2025,"1.440","1.460","1.430","1.460","458,000"
04/29/2025,"1.420","1.470","1.420","1.420","368,000"
04/28/2025,"1.480","1.480","1.420","1.430","120,000"
04/25/2025,"1.400","1.470","1.400","1.470","668,000"
04/24/2025,"1.380","1.410","1.330","1.390","929,000"
04/23/2025,"1.410","1.440","1.350","1.360","1,585,000"
04/22/2025,"1.430","1.440","1.420","1.420","220,000"
04/21/2025,"1.420","1.420","1.390","1.410","76,000"
04/16/2025,"1.450","1.460","1.370","1.400","923,000"
04/15/2025,"1.420","1.450","1.420","1.440","444,000"
04/14/2025,"1.450","1.450","1.350","1.410","2,058,000"
04/11/2025,"1.480","1.480","1.450","1.450","144,000"
04/10/2025,"1.450","1.500","1.450","1.470","253,000"
04/08/2025,"1.460","1.460","1.430","1.450","95,000"
04/07/2025,"1.480","1.480","1.420","1.420","496,000"
04/04/2025,"1.490","1.500","1.480","1.490","157,000"
04/03/2025,"1.500","1.500","1.490","1.490","110,000"
04/02/2025,"1.450","1.500","1.450","1.490","657,000"
03/31/2025,"1.500","1.500","1.430","1.490","1,194,000"
03/28/2025,"1.520","1.520","1.450","1.490","294,000"
03/27/2025,"1.530","1.550","1.440","1.440","2,658,000"
03/26/2025,"1.520","1.540","1.510","1.530","95,000"
03/25/2025,"1.530","1.550","1.520","1.520","294,000"
03/24/2025,"1.530","1.570","1.530","1.530","83,000"
03/21/2025,"1.540","1.540","1.510","1.530","97,000"
03/20/2025,"1.550","1.550","1.530","1.540","281,000"
03/19/2025,"1.550","1.560","1.520","1.540","140,000"
03/18/2025,"1.560","1.570","1.520","1.520","418,000"
03/17/2025,"1.540","1.560","1.520","1.540","214,000"
03/14/2025,"1.520","1.550","1.520","1.540","157,000"
03/13/2025,"1.530","1.530","1.480","1.500","450,000"
03/12/2025,"1.580","1.580","1.480","1.520","1,100,000"
03/11/2025,"1.590","1.590","1.540","1.590","407,000"
03/10/2025,"1.580","1.610","1.570","1.590","339,000"
03/07/2025,"1.620","1.620","1.540","1.610","732,000"
03/06/2025,"1.550","1.620","1.490","1.620","279,000"
03/05/2025,"1.500","1.580","1.470","1.550","556,000"
03/04/2025,"1.530","1.540","1.500","1.540","698,000"
03/03/2025,"1.560","1.560","1.510","1.530","405,000"
02/28/2025,"1.550","1.590","1.500","1.560","688,000"
02/27/2025,"1.580","1.580","1.540","1.550","229,000"
02/26/2025,"1.560","1.590","1.520","1.550","219,000"
02/25/2025,"1.550","1.570","1.530","1.560","534,000"
02/24/2025,"1.570","1.590","1.550","1.560","420,000"
02/21/2025,"1.600","1.600","1.540","1.580","298,000"
02/20/2025,"1.600","1.600","1.560","1.560","173,000"
02/19/2025,"1.580","1.600","1.550","1.570","217,000"
02/18/2025,"1.590","1.610","1.580","1.600","142,000"
02/17/2025,"1.620","1.630","1.570","1.580","717,000"
02/14/2025,"1.620","1.620","1.580","1.580","516,000"
02/13/2025,"1.600","1.630","1.590","1.600","84,000"
02/12/2025,"1.630","1.630","1.590","1.590","553,000"
02/11/2025,"1.630","1.630","1.590","1.590","352,000"
02/10/2025,"1.640","1.640","1.600","1.630","101,000"
02/07/2025,"1.630","1.640","1.620","1.640","390,000"
02/06/2025,"1.620","1.650","1.600","1.640","140,000"
02/05/2025,"1.610","1.630","1.590","1.620","523,000"
02/04/2025,"1.630","1.630","1.570","1.610","779,000"
02/03/2025,"1.580","1.640","1.570","1.570","1,002,000"
01/31/2025,"1.620","1.650","1.580","1.580","3,046,000"
01/30/2025,"1.660","1.660","1.620","1.620","320,000"
01/28/2025,"1.630","1.670","1.620","1.660","82,000"
01/27/2025,"1.640","1.640","1.620","1.620","272,000"
01/24/2025,"1.640","1.680","1.630","1.630","558,000"
01/23/2025,"1.680","1.680","1.640","1.640","341,000"
01/22/2025,"1.650","1.680","1.650","1.680","110,000"
01/21/2025,"1.650","1.660","1.650","1.650","201,000"
01/20/2025,"1.650","1.670","1.650","1.650","233,000"
01/17/2025,"1.660","1.670","1.650","1.650","170,000"
01/16/2025,"1.680","1.680","1.640","1.660","308,000"
01/15/2025,"1.640","1.670","1.630","1.670","142,000"
01/14/2025,"1.680","1.680","1.630","1.680","437,000"
01/13/2025,"1.720","1.720","1.630","1.680","768,000"
01/10/2025,"1.680","1.680","1.640","1.660","475,000"
01/09/2025,"1.700","1.710","1.650","1.670","375,000"
01/08/2025,"1.720","1.740","1.660","1.700","694,000"
01/07/2025,"1.720","1.740","1.700","1.730","518,000"
01/06/2025,"1.690","1.770","1.690","1.740","1,586,000"
01/03/2025,"1.690","1.700","1.680","1.690","388,000"
01/02/2025,"1.700","1.700","1.650","1.690","335,000"
