Date,Open,High,Low,Close,Volume
12/29/2022,"7.030","7.150","6.850","7.090","3,023,000"
12/28/2022,"7.060","7.060","6.750","7.030","10,147,400"
12/27/2022,"7.240","7.240","6.970","7.060","4,923,500"
12/23/2022,"7.340","7.340","6.900","7.250","7,562,700"
12/22/2022,"7.550","7.570","7.120","7.290","3,018,600"
12/21/2022,"7.750","7.750","7.400","7.560","1,883,300"
12/20/2022,"7.480","7.800","7.040","7.600","8,205,700"
12/19/2022,"7.900","7.960","7.000","7.700","2,422,600"
12/16/2022,"7.430","8.000","7.200","7.900","7,053,200"
12/15/2022,"7.300","7.450","7.190","7.450","3,232,800"
12/14/2022,"7.580","7.780","6.950","7.230","4,163,800"
12/13/2022,"7.750","7.830","7.400","7.580","4,681,400"
12/12/2022,"8.080","8.080","7.610","7.750","1,588,100"
12/09/2022,"8.040","8.090","8.020","8.080","3,044,600"
12/07/2022,"7.980","8.080","7.970","8.040","7,938,100"
12/06/2022,"7.750","7.970","7.740","7.970","3,288,300"
12/05/2022,"7.560","7.740","7.560","7.740","8,358,100"
12/02/2022,"7.590","7.680","7.520","7.600","807,400"
12/01/2022,"7.400","7.610","7.400","7.600","4,326,900"
11/29/2022,"7.150","7.450","7.110","7.450","5,603,300"
11/28/2022,"7.100","7.200","7.060","7.150","695,500"
11/25/2022,"7.000","7.100","6.900","7.100","2,996,200"
11/24/2022,"6.730","7.000","6.720","6.940","2,896,400"
11/23/2022,"6.600","6.740","6.600","6.700","3,093,700"
11/22/2022,"6.690","6.740","6.550","6.680","2,197,400"
11/21/2022,"6.670","6.800","6.510","6.700","2,481,300"
11/18/2022,"6.230","6.800","6.000","6.700","2,937,700"
11/17/2022,"6.600","7.000","6.230","6.230","3,354,400"
11/16/2022,"7.410","7.520","6.600","6.600","4,345,500"
11/15/2022,"7.680","7.690","7.160","7.410","988,300"
11/14/2022,"7.700","7.730","7.610","7.690","1,422,400"
11/11/2022,"7.480","7.720","7.400","7.710","1,007,200"
11/10/2022,"7.570","7.640","7.060","7.480","1,796,500"
11/09/2022,"7.400","7.580","7.380","7.570","2,509,300"
11/08/2022,"7.350","7.450","7.300","7.400","3,446,500"
11/07/2022,"7.000","7.370","6.980","7.350","2,922,100"
11/04/2022,"7.000","7.000","6.840","6.980","1,788,700"
11/03/2022,"6.960","7.000","6.840","7.000","2,176,800"
11/02/2022,"6.780","6.930","6.780","6.900","2,368,100"
10/28/2022,"6.940","6.940","6.560","6.860","1,918,300"
10/27/2022,"6.700","6.970","6.700","6.930","1,192,200"
10/26/2022,"6.890","6.970","6.600","6.880","1,683,000"
10/25/2022,"7.000","7.000","6.900","6.900","1,608,600"
10/24/2022,"6.960","7.000","6.910","6.940","154,600"
10/21/2022,"6.680","6.970","6.600","6.970","2,592,600"
10/20/2022,"7.180","7.250","6.550","6.700","3,325,100"
10/19/2022,"7.200","7.260","7.140","7.200","328,300"
10/18/2022,"7.050","7.300","7.050","7.200","5,054,900"
10/17/2022,"7.300","7.340","6.950","7.000","1,120,000"
10/14/2022,"6.900","7.350","6.900","7.350","2,570,000"
10/13/2022,"6.360","6.890","6.300","6.890","4,138,000"
10/12/2022,"6.350","6.450","6.250","6.330","497,200"
10/11/2022,"5.960","6.400","5.960","6.360","1,013,300"
10/10/2022,"5.520","5.960","5.510","5.960","2,453,600"
10/07/2022,"5.750","5.890","5.670","5.770","168,600"
10/06/2022,"5.870","5.890","5.600","5.670","3,893,600"
10/05/2022,"5.880","5.900","5.800","5.870","210,400"
10/04/2022,"5.400","5.890","5.400","5.880","806,900"
10/03/2022,"5.500","5.500","5.190","5.450","1,165,300"
09/30/2022,"5.840","5.840","5.550","5.700","507,000"
09/29/2022,"6.090","6.090","5.830","5.920","5,575,300"
09/28/2022,"6.230","6.260","5.810","6.100","499,900"
09/27/2022,"6.400","6.400","6.270","6.320","3,644,800"
09/23/2022,"5.980","6.460","5.980","6.420","835,900"
09/22/2022,"5.940","6.140","5.940","6.050","305,800"
09/21/2022,"6.140","6.140","5.500","5.970","1,231,200"
09/20/2022,"6.160","6.210","6.060","6.140","447,100"
09/19/2022,"6.280","6.280","6.130","6.210","703,600"
09/16/2022,"6.320","6.320","6.160","6.290","287,700"
09/15/2022,"6.300","6.330","6.130","6.280","258,300"
09/14/2022,"6.320","6.320","6.110","6.280","474,000"
09/13/2022,"6.220","6.340","6.200","6.320","1,114,700"
09/12/2022,"6.110","6.340","6.000","6.180","929,300"
09/09/2022,"6.490","6.500","6.100","6.110","667,100"
09/08/2022,"6.520","6.540","6.320","6.450","1,688,900"
09/07/2022,"6.540","6.590","6.400","6.550","1,159,600"
09/06/2022,"6.500","6.590","6.450","6.540","483,000"
09/05/2022,"6.460","6.550","6.440","6.520","2,398,500"
09/02/2022,"6.320","6.490","6.300","6.460","1,728,900"
09/01/2022,"6.260","6.370","6.190","6.300","273,100"
08/31/2022,"6.390","6.390","5.820","6.240","365,700"
08/30/2022,"6.270","6.450","6.270","6.400","1,613,400"
08/26/2022,"6.450","6.500","6.390","6.450","2,261,000"
08/25/2022,"6.340","6.450","6.240","6.420","1,522,500"
08/24/2022,"6.290","6.440","6.000","6.340","621,400"
08/23/2022,"6.580","6.580","6.350","6.350","1,530,700"
08/22/2022,"6.500","6.500","6.340","6.500","658,400"
08/19/2022,"6.450","6.580","6.450","6.510","625,100"
08/18/2022,"6.560","6.560","6.250","6.480","3,834,800"
08/17/2022,"6.560","6.660","6.400","6.570","1,306,100"
08/16/2022,"6.560","6.700","6.540","6.570","1,515,000"
08/15/2022,"6.340","6.600","6.290","6.590","831,900"
08/12/2022,"6.350","6.350","6.260","6.330","1,177,800"
08/11/2022,"6.200","6.370","6.180","6.360","1,665,300"
08/10/2022,"6.020","6.180","6.000","6.180","945,300"
08/09/2022,"5.750","6.000","5.620","6.000","3,758,800"
08/08/2022,"5.670","5.750","5.590","5.720","2,053,100"
08/05/2022,"5.590","5.680","5.490","5.670","1,531,100"
08/04/2022,"5.310","5.610","5.150","5.600","280,200"
08/03/2022,"5.280","5.460","5.200","5.320","362,600"
08/02/2022,"5.540","5.540","5.360","5.360","2,041,800"
08/01/2022,"5.650","5.670","5.440","5.540","994,100"
07/29/2022,"5.700","5.740","5.560","5.670","635,200"
07/28/2022,"5.720","5.750","5.700","5.730","1,030,600"
07/27/2022,"5.700","5.750","5.650","5.720","2,023,200"
07/26/2022,"5.590","5.670","5.550","5.640","1,821,400"
07/25/2022,"5.500","5.590","5.500","5.580","764,500"
07/22/2022,"5.540","5.570","5.500","5.570","1,408,800"
07/21/2022,"5.550","5.560","5.500","5.540","492,200"
07/20/2022,"5.490","5.550","5.450","5.540","1,431,300"
07/19/2022,"5.490","5.550","5.450","5.490","878,000"
07/18/2022,"5.500","5.540","5.490","5.490","904,200"
07/15/2022,"5.440","5.540","5.440","5.500","2,626,500"
07/14/2022,"5.460","5.490","5.210","5.440","1,696,100"
07/13/2022,"5.510","5.540","5.400","5.460","497,900"
07/12/2022,"5.490","5.550","5.400","5.510","1,849,300"
07/11/2022,"5.480","5.500","5.400","5.500","3,550,800"
07/08/2022,"5.470","5.480","5.410","5.480","853,900"
07/07/2022,"5.380","5.470","5.380","5.460","1,216,600"
07/06/2022,"5.300","5.380","5.230","5.380","1,488,400"
07/05/2022,"5.300","5.330","5.250","5.300","1,625,200"
07/04/2022,"5.010","5.340","5.010","5.280","2,020,800"
07/01/2022,"4.760","5.000","4.730","5.000","989,000"
06/30/2022,"4.650","4.880","4.410","4.730","1,520,000"
06/29/2022,"4.990","4.990","4.620","4.620","626,000"
06/28/2022,"4.790","5.080","4.790","4.990","1,672,000"
06/27/2022,"4.630","4.790","4.620","4.790","2,144,000"
06/24/2022,"4.520","4.630","4.490","4.630","69,000"
06/23/2022,"4.490","4.580","4.480","4.550","18,000"
06/22/2022,"4.500","4.640","4.500","4.590","155,000"
06/21/2022,"4.500","4.590","4.400","4.590","147,000"
06/20/2022,"4.620","4.620","4.500","4.580","26,000"
06/17/2022,"4.570","4.640","4.530","4.600","650,000"
06/16/2022,"4.670","4.670","4.580","4.580","47,000"
06/15/2022,"4.690","4.690","4.580","4.660","631,000"
06/14/2022,"4.610","4.790","4.600","4.710","532,000"
06/13/2022,"4.820","4.820","4.570","4.740","353,000"
06/10/2022,"4.790","4.870","4.690","4.820","179,000"
06/09/2022,"4.820","4.820","4.640","4.750","122,000"
06/08/2022,"4.700","4.880","4.700","4.800","186,000"
06/07/2022,"4.640","4.780","4.560","4.750","179,000"
06/06/2022,"4.720","4.740","4.600","4.690","686,000"
06/03/2022,"4.690","4.730","4.690","4.730","40,000"
06/02/2022,"4.700","4.730","4.580","4.690","212,000"
06/01/2022,"4.610","4.720","4.560","4.720","12,000"
05/31/2022,"4.740","4.740","4.620","4.740","7,000"
05/30/2022,"4.690","4.690","4.540","4.640","1,279,000"
05/27/2022,"4.770","4.790","4.700","4.730","28,000"
05/26/2022,"4.760","4.760","4.640","4.760","200,000"
05/25/2022,"4.760","4.800","4.550","4.760","411,000"
05/24/2022,"4.800","4.800","4.640","4.770","65,000"
05/23/2022,"4.700","4.830","4.690","4.740","237,000"
05/20/2022,"4.700","4.700","4.550","4.700","122,000"
05/19/2022,"4.780","4.780","4.590","4.700","314,000"
05/18/2022,"4.810","4.810","4.690","4.780","19,000"
05/17/2022,"4.700","4.800","4.700","4.790","262,000"
05/16/2022,"4.720","4.720","4.540","4.700","1,078,000"
05/13/2022,"4.490","4.670","4.450","4.640","345,000"
05/12/2022,"4.740","4.740","4.450","4.670","172,000"
05/11/2022,"4.450","4.740","4.440","4.530","962,000"
05/10/2022,"4.690","4.730","4.450","4.450","223,000"
05/06/2022,"4.730","4.730","4.580","4.690","1,224,000"
05/05/2022,"4.660","4.700","4.640","4.690","156,000"
05/04/2022,"4.730","4.730","4.530","4.660","478,000"
05/02/2022,"4.590","4.870","4.580","4.840","1,498,000"
