Date,Open,High,Low,Close,Volume
12/29/2022,"9.04","9.04","9.04","9.04","8,000"
12/28/2022,"8.84","9.05","8.84","9.05","11,100"
12/27/2022,"9.00","9.00","8.83","8.83","6,900"
12/23/2022,"8.83","9.00","8.81","9.00","23,800"
12/22/2022,"9.00","9.00","8.99","8.99","38,100"
12/21/2022,"9.00","9.00","8.99","9.00","18,100"
12/20/2022,"8.89","9.00","8.85","9.00","92,200"
12/19/2022,"8.82","8.90","8.80","8.90","20,600"
12/16/2022,"8.90","8.90","8.80","8.90","27,900"
12/15/2022,"8.90","8.90","8.90","8.90","3,800"
12/14/2022,"8.89","8.89","8.89","8.89","2,600"
12/13/2022,"8.88","8.88","8.80","8.80","26,300"
12/12/2022,"8.90","8.90","8.81","8.88","56,300"
12/09/2022,"8.89","8.89","8.80","8.84","19,700"
12/07/2022,"8.89","8.89","8.87","8.87","54,600"
12/06/2022,"8.89","8.89","8.82","8.89","78,200"
12/05/2022,"9.00","9.00","8.80","9.00","25,300"
12/02/2022,"8.90","9.00","8.90","9.00","926,100"
12/01/2022,"8.90","8.90","8.60","8.90","24,400"
11/29/2022,"8.70","8.90","8.51","8.80","75,800"
11/28/2022,"8.99","8.99","8.34","8.94","77,400"
11/25/2022,"9.00","9.00","8.81","8.90","53,500"
11/24/2022,"8.95","8.95","8.71","8.72","130,900"
11/23/2022,"8.95","9.04","8.70","8.78","62,800"
11/22/2022,"9.05","9.05","8.90","8.95","436,100"
11/21/2022,"9.05","9.05","8.78","9.05","213,700"
11/18/2022,"9.04","9.05","9.00","9.04","51,900"
11/17/2022,"9.00","9.04","9.00","9.04","12,500"
11/16/2022,"9.04","9.04","8.90","9.04","22,800"
11/15/2022,"9.05","9.05","8.52","8.90","29,900"
11/14/2022,"8.89","9.15","8.89","9.05","87,000"
11/11/2022,"8.30","9.00","8.30","8.80","172,200"
11/10/2022,"8.70","8.70","8.30","8.30","24,700"
11/09/2022,"8.46","8.70","8.40","8.70","43,300"
11/08/2022,"8.70","8.70","8.50","8.70","31,000"
11/07/2022,"8.70","8.70","8.70","8.70","1,200"
11/03/2022,"8.80","8.80","8.80","8.80","1,400"
11/02/2022,"8.54","8.80","8.54","8.80","21,500"
10/28/2022,"8.50","8.85","8.50","8.85","7,200"
10/27/2022,"8.70","8.70","8.58","8.58","22,100"
10/26/2022,"8.70","8.88","8.70","8.70","22,100"
10/24/2022,"8.45","8.45","8.45","8.45","5,000"
10/21/2022,"8.40","8.40","8.40","8.40","1,000"
10/19/2022,"8.72","8.95","8.72","8.95","2,100"
10/18/2022,"8.45","8.97","8.21","8.95","60,300"
10/17/2022,"8.92","8.92","8.50","8.50","19,700"
10/14/2022,"8.92","8.92","8.60","8.60","44,700"
10/13/2022,"8.63","8.63","8.63","8.63","6,200"
10/11/2022,"8.99","9.00","8.89","9.00","105,800"
10/10/2022,"8.64","8.64","8.64","8.64","2,600"
10/06/2022,"8.99","9.00","8.62","8.95","63,800"
10/05/2022,"9.00","9.00","9.00","9.00","1,800"
10/04/2022,"8.80","8.80","8.68","8.68","6,000"
10/03/2022,"8.65","8.99","8.65","8.99","54,300"
09/30/2022,"8.99","8.99","8.95","8.95","5,900"
09/28/2022,"9.00","9.00","8.80","9.00","68,200"
09/27/2022,"9.00","9.00","8.80","9.00","112,200"
09/23/2022,"9.00","9.00","9.00","9.00","27,800"
09/22/2022,"9.00","9.00","9.00","9.00","53,300"
09/21/2022,"9.00","9.10","9.00","9.00","165,000"
09/20/2022,"9.00","9.10","9.00","9.00","52,400"
09/19/2022,"9.00","9.00","9.00","9.00","9,400"
09/16/2022,"9.00","9.00","8.99","9.00","7,000"
09/15/2022,"9.00","9.00","8.82","9.00","38,600"
09/13/2022,"9.00","9.00","9.00","9.00","1,300"
09/12/2022,"9.00","9.00","8.80","9.00","51,600"
09/09/2022,"9.00","9.00","8.88","9.00","112,300"
09/08/2022,"9.00","9.08","8.90","9.00","62,300"
09/07/2022,"8.90","9.00","8.84","9.00","69,900"
09/06/2022,"8.60","8.60","8.50","8.60","14,600"
09/05/2022,"8.55","8.60","8.55","8.60","54,100"
09/02/2022,"8.55","8.60","8.55","8.60","23,100"
09/01/2022,"8.58","8.58","8.57","8.57","10,300"
08/31/2022,"9.00","9.00","8.60","8.60","1,100"
08/24/2022,"8.80","8.80","8.80","8.80","64,500"
08/23/2022,"8.80","8.80","8.80","8.80","1,000"
08/22/2022,"8.90","8.98","8.90","8.98","1,900"
08/19/2022,"8.92","8.92","8.73","8.75","15,400"
08/18/2022,"8.90","8.92","8.90","8.92","16,400"
08/16/2022,"8.78","8.78","8.78","8.78","1,200"
08/15/2022,"8.80","8.80","8.43","8.43","22,700"
08/12/2022,"8.80","8.80","8.70","8.70","19,900"
08/11/2022,"8.72","8.79","8.70","8.70","9,100"
08/09/2022,"8.78","8.78","8.78","8.78","600"
08/08/2022,"8.70","8.70","8.70","8.70","900"
08/05/2022,"8.79","8.79","8.79","8.79","10,100"
08/03/2022,"8.40","8.40","8.25","8.25","14,800"
08/02/2022,"8.20","8.60","8.20","8.40","25,800"
08/01/2022,"8.60","8.60","8.40","8.40","12,700"
07/29/2022,"8.60","8.94","8.60","8.60","11,100"
07/28/2022,"8.70","8.85","8.60","8.60","24,500"
07/25/2022,"8.71","8.72","8.71","8.71","11,500"
07/22/2022,"8.90","8.90","8.71","8.71","3,700"
07/21/2022,"8.20","8.98","8.20","8.98","17,500"
07/20/2022,"8.05","8.10","8.05","8.10","49,300"
07/19/2022,"8.00","8.45","8.00","8.10","20,600"
07/18/2022,"8.50","8.50","8.24","8.24","1,800"
07/15/2022,"8.51","8.51","8.40","8.50","8,900"
07/14/2022,"8.44","8.44","8.25","8.38","24,000"
07/13/2022,"8.65","8.65","8.43","8.43","40,100"
07/12/2022,"8.98","8.98","8.70","8.70","18,700"
07/11/2022,"8.80","8.89","8.80","8.89","3,100"
07/08/2022,"8.89","8.89","8.89","8.89","600"
07/07/2022,"8.98","8.98","8.98","8.98","2,100"
07/06/2022,"8.98","8.98","8.60","8.98","2,800"
07/04/2022,"8.99","8.99","8.80","8.98","4,700"
06/30/2022,"8.99","8.99","8.80","8.99","3,700"
06/29/2022,"8.60","8.60","8.56","8.60","21,800"
06/28/2022,"8.90","8.90","8.80","8.80","1,800"
06/27/2022,"8.94","8.94","8.94","8.94","200"
06/24/2022,"8.85","8.94","8.75","8.94","2,200"
06/23/2022,"8.85","8.85","8.75","8.85","5,600"
06/22/2022,"8.75","8.75","8.75","8.75","20,800"
06/21/2022,"8.77","8.85","8.77","8.85","6,400"
06/20/2022,"8.76","8.76","8.76","8.76","900"
06/17/2022,"8.77","8.77","8.75","8.75","6,700"
06/16/2022,"8.77","8.80","8.77","8.80","1,100"
06/15/2022,"8.90","9.00","8.75","8.75","36,300"
06/14/2022,"8.90","8.90","8.89","8.89","1,500"
06/13/2022,"8.80","8.80","8.73","8.73","3,900"
06/10/2022,"8.90","9.00","8.80","9.00","5,000"
06/08/2022,"8.95","8.99","8.95","8.99","22,100"
06/07/2022,"8.90","9.00","8.54","9.00","93,500"
06/06/2022,"9.10","9.10","8.90","8.90","18,900"
06/03/2022,"8.95","8.95","8.95","8.95","17,200"
06/02/2022,"9.10","9.10","8.95","8.95","3,000"
06/01/2022,"9.00","9.10","9.00","9.10","10,500"
05/31/2022,"9.20","9.20","9.00","9.00","24,700"
05/30/2022,"9.00","9.10","9.00","9.10","10,600"
05/27/2022,"9.00","9.00","9.00","9.00","100"
05/26/2022,"9.02","9.02","8.90","8.90","24,200"
05/25/2022,"9.10","9.10","9.10","9.10","900"
05/24/2022,"9.43","9.43","9.00","9.39","3,200"
05/23/2022,"9.18","9.20","9.18","9.20","23,500"
05/20/2022,"9.18","9.18","9.10","9.12","14,400"
05/19/2022,"9.10","9.10","9.00","9.00","103,400"
05/18/2022,"9.11","9.20","9.10","9.20","10,700"
05/17/2022,"9.20","9.35","9.20","9.20","80,500"
05/16/2022,"9.20","9.21","9.13","9.20","63,100"
05/13/2022,"9.20","9.20","9.00","9.20","625,900"
05/12/2022,"9.00","9.00","9.00","9.00","3,900"
05/11/2022,"9.00","9.00","9.00","9.00","48,300"
05/10/2022,"9.00","9.20","9.00","9.15","90,100"
05/06/2022,"9.15","9.21","9.15","9.21","1,200"
05/05/2022,"9.15","9.15","9.15","9.15","11,900"
05/04/2022,"9.20","9.20","9.00","9.20","23,400"
05/02/2022,"9.00","9.20","9.00","9.20","3,700"
04/29/2022,"9.20","9.21","9.10","9.20","87,900"
04/27/2022,"9.01","9.12","9.01","9.12","65,700"
04/26/2022,"9.00","9.00","9.00","9.00","2,000"
04/25/2022,"9.00","9.00","9.00","9.00","2,900"
04/22/2022,"9.00","9.00","9.00","9.00","2,000"
04/21/2022,"9.00","9.23","9.00","9.23","2,600"
04/20/2022,"9.00","9.00","9.00","9.00","4,400"
04/19/2022,"9.20","9.21","9.20","9.20","96,900"
04/18/2022,"9.02","9.02","9.00","9.00","7,000"
