Date,Open,High,Low,Close,Volume
04/30/2025,"37.80","37.85","37.30","37.30","1,466,100"
04/29/2025,"38.80","39.00","37.85","37.85","521,500"
04/28/2025,"38.80","39.00","38.10","38.50","321,100"
04/25/2025,"39.15","39.20","38.70","38.80","301,900"
04/24/2025,"39.15","39.15","38.70","39.00","926,700"
04/23/2025,"38.40","39.15","38.30","39.15","708,500"
04/22/2025,"38.40","38.50","38.25","38.40","337,200"
04/21/2025,"38.45","38.50","38.20","38.40","359,900"
04/16/2025,"38.20","38.40","38.15","38.40","584,400"
04/15/2025,"37.45","38.20","37.45","37.85","549,800"
04/14/2025,"37.80","37.85","37.05","37.45","724,500"
04/11/2025,"38.45","38.45","37.80","37.85","417,700"
04/10/2025,"38.40","38.60","37.90","38.45","2,482,200"
04/08/2025,"37.00","38.10","36.90","38.10","2,208,600"
04/07/2025,"38.00","38.00","36.25","37.00","1,444,600"
04/04/2025,"38.65","38.65","38.05","38.35","479,900"
04/03/2025,"38.40","38.65","38.40","38.65","238,900"
04/02/2025,"38.75","38.75","38.40","38.60","821,500"
03/31/2025,"38.50","38.75","38.30","38.60","1,053,000"
03/28/2025,"39.00","39.00","38.20","38.50","244,100"
03/27/2025,"38.75","38.95","38.10","38.80","802,900"
03/26/2025,"38.60","39.00","38.40","38.75","1,158,100"
03/25/2025,"38.50","38.50","37.80","38.50","1,204,600"
03/24/2025,"39.90","39.90","38.50","38.50","642,300"
03/21/2025,"39.95","39.95","39.30","39.95","733,900"
03/20/2025,"40.00","40.20","39.60","39.95","1,939,300"
03/19/2025,"41.90","42.05","41.50","41.80","1,331,500"
03/18/2025,"41.90","42.00","41.65","41.95","631,400"
03/17/2025,"41.50","41.95","41.40","41.90","688,800"
03/14/2025,"41.50","41.50","40.85","41.40","623,800"
03/13/2025,"40.70","41.50","40.60","41.50","1,343,000"
03/12/2025,"40.90","40.90","40.55","40.70","256,700"
03/11/2025,"40.95","41.50","40.45","40.75","592,100"
03/10/2025,"41.20","41.80","40.85","41.00","3,191,000"
03/07/2025,"41.20","41.95","40.65","40.85","2,343,000"
03/06/2025,"41.70","41.95","40.90","41.10","546,600"
03/05/2025,"41.90","42.45","41.80","41.95","341,400"
03/04/2025,"42.05","42.35","41.65","41.90","271,100"
03/03/2025,"42.95","42.95","41.80","42.35","918,500"
02/28/2025,"39.85","43.50","39.85","43.50","3,227,000"
02/27/2025,"40.70","41.05","40.40","40.50","3,895,200"
02/26/2025,"40.90","41.00","40.70","40.85","1,063,400"
02/25/2025,"41.20","41.70","40.85","40.90","706,400"
02/24/2025,"43.00","43.00","41.05","41.20","4,087,100"
02/21/2025,"43.00","43.25","42.60","43.00","1,562,500"
02/20/2025,"42.40","43.35","42.20","42.20","1,476,300"
02/19/2025,"42.80","43.45","42.50","42.70","1,301,400"
02/18/2025,"42.20","43.60","42.20","43.60","3,838,400"
02/17/2025,"42.50","42.75","41.80","42.00","733,900"
02/14/2025,"42.20","43.15","42.20","42.20","1,630,600"
02/13/2025,"42.00","43.15","42.00","42.20","1,228,000"
02/12/2025,"42.75","43.00","42.00","42.00","1,502,800"
02/11/2025,"42.35","43.20","42.35","42.75","1,973,500"
02/10/2025,"44.25","44.25","42.25","42.30","2,615,700"
02/07/2025,"42.75","44.50","42.75","44.50","5,140,500"
02/06/2025,"40.55","43.10","40.55","42.75","8,392,600"
02/05/2025,"40.00","41.50","40.00","40.40","3,824,900"
02/04/2025,"39.95","40.00","39.90","40.00","405,200"
02/03/2025,"39.50","39.95","39.40","39.70","965,800"
01/31/2025,"39.20","39.90","39.10","39.90","1,088,700"
01/30/2025,"39.40","39.75","39.00","39.30","824,900"
01/28/2025,"39.90","39.90","39.25","39.40","208,600"
01/27/2025,"39.70","40.00","39.00","39.85","1,349,800"
01/24/2025,"40.00","40.25","39.80","40.00","1,448,000"
01/23/2025,"39.90","40.25","39.90","40.00","1,641,000"
01/22/2025,"39.85","40.30","39.80","39.90","687,200"
01/21/2025,"39.60","40.00","39.35","39.90","553,900"
01/20/2025,"39.45","39.70","39.35","39.60","425,100"
01/17/2025,"39.75","39.75","38.90","39.45","1,020,300"
01/16/2025,"39.65","40.10","39.65","39.70","1,899,700"
01/15/2025,"39.35","39.90","39.35","39.70","1,656,500"
01/14/2025,"39.50","40.50","39.35","39.50","2,773,100"
01/13/2025,"39.50","39.80","39.25","39.50","861,200"
01/10/2025,"39.70","39.95","39.50","39.55","942,500"
01/09/2025,"39.05","40.00","39.05","39.70","300,000"
01/08/2025,"39.60","39.65","39.05","39.10","234,600"
01/07/2025,"39.90","39.90","39.10","39.70","636,300"
01/06/2025,"39.95","39.95","39.60","39.90","706,500"
01/03/2025,"38.50","40.20","38.25","40.00","2,146,100"
01/02/2025,"37.70","38.60","37.45","38.60","622,900"
