Date,Open,High,Low,Close,Volume
12/29/2023,"9.29","9.29","9.29","9.29","500"
12/28/2023,"9.35","9.35","9.35","9.35","1,000"
12/27/2023,"9.35","9.35","9.35","9.35","1,400"
12/22/2023,"8.95","8.95","8.94","8.94","41,500"
12/21/2023,"8.99","8.99","8.94","8.95","20,000"
12/20/2023,"9.02","9.47","9.02","9.47","900"
12/19/2023,"9.01","9.01","9.01","9.01","1,300"
12/18/2023,"9.46","9.48","9.46","9.48","1,300"
12/15/2023,"9.48","9.48","8.99","8.99","900"
12/14/2023,"9.20","9.47","8.95","8.95","2,200"
12/12/2023,"9.20","9.20","9.20","9.20","1,100"
12/11/2023,"8.94","8.95","8.94","8.95","5,000"
12/07/2023,"8.95","8.95","8.95","8.95","10,000"
12/01/2023,"9.00","9.20","8.94","9.20","6,900"
11/30/2023,"8.97","9.18","8.96","9.18","2,900"
11/29/2023,"8.98","8.98","8.96","8.97","7,700"
11/23/2023,"8.96","8.96","8.96","8.96","1,500"
11/22/2023,"8.98","8.98","8.98","8.98","200"
11/21/2023,"8.98","8.98","8.96","8.96","1,800"
11/20/2023,"9.02","9.03","9.02","9.03","5,400"
11/17/2023,"9.35","9.39","9.01","9.01","9,800"
11/16/2023,"9.35","9.35","8.98","8.98","900"
11/15/2023,"8.98","8.98","8.98","8.98","100"
11/14/2023,"8.97","9.36","8.97","9.36","800"
11/13/2023,"9.39","9.39","8.96","8.96","1,300"
11/10/2023,"9.39","9.39","9.39","9.39","300"
11/09/2023,"8.94","8.94","8.94","8.94","500"
11/08/2023,"8.91","8.91","8.91","8.91","100"
11/07/2023,"9.19","9.19","9.19","9.19","12,200"
11/06/2023,"8.77","9.19","8.77","9.19","1,100"
11/03/2023,"8.77","8.77","8.77","8.77","3,300"
10/31/2023,"8.77","8.77","8.77","8.77","800"
10/27/2023,"8.77","8.77","8.77","8.77","4,000"
10/26/2023,"8.77","8.77","8.77","8.77","7,500"
10/25/2023,"8.77","9.43","8.77","9.43","1,300"
10/24/2023,"8.77","8.77","8.77","8.77","200"
10/23/2023,"8.78","8.78","8.77","8.77","2,600"
10/20/2023,"8.76","8.78","8.76","8.77","700"
10/19/2023,"9.47","9.49","9.47","9.49","1,000"
10/18/2023,"9.49","9.49","9.49","9.49","2,100"
10/17/2023,"9.49","9.49","9.49","9.49","100"
10/16/2023,"9.44","9.44","8.77","8.78","16,200"
10/13/2023,"8.79","9.46","8.79","9.46","700"
10/12/2023,"9.47","9.47","9.45","9.45","1,100"
10/11/2023,"8.72","8.72","8.72","8.72","700"
10/09/2023,"9.49","9.49","9.49","9.49","400"
10/05/2023,"8.81","9.69","8.81","9.69","1,200"
10/04/2023,"9.78","9.78","8.60","9.76","27,900"
09/29/2023,"9.79","9.79","9.79","9.79","7,000"
09/28/2023,"9.80","9.80","9.79","9.79","2,100"
09/27/2023,"9.02","9.02","9.02","9.02","1,100"
09/25/2023,"9.02","9.02","9.02","9.02","1,400"
09/22/2023,"9.02","9.02","9.02","9.02","7,000"
09/21/2023,"9.02","9.02","9.02","9.02","500"
09/20/2023,"9.00","9.00","9.00","9.00","18,600"
09/19/2023,"9.22","9.22","9.22","9.22","100"
09/18/2023,"9.30","9.40","9.00","9.40","76,900"
09/15/2023,"9.34","9.40","9.30","9.40","54,800"
09/13/2023,"9.51","9.51","9.50","9.50","62,600"
09/11/2023,"9.50","9.79","9.50","9.79","52,200"
09/08/2023,"9.79","9.79","9.51","9.51","1,300"
09/07/2023,"9.50","9.50","9.50","9.50","300"
09/06/2023,"9.50","9.50","9.50","9.50","23,000"
09/05/2023,"9.51","9.51","9.50","9.50","13,100"
09/04/2023,"9.80","9.80","9.79","9.79","200"
09/01/2023,"9.79","9.79","9.79","9.79","50,500"
08/31/2023,"9.51","9.51","9.51","9.51","300"
08/30/2023,"9.80","9.80","9.50","9.80","3,800"
08/29/2023,"9.50","9.80","9.50","9.79","3,000"
08/25/2023,"9.50","9.60","9.50","9.60","22,400"
08/24/2023,"9.50","9.50","9.50","9.50","600"
08/23/2023,"9.50","9.50","9.50","9.50","5,200"
08/22/2023,"9.50","9.81","9.50","9.80","7,600"
08/18/2023,"9.50","9.50","9.50","9.50","16,700"
08/17/2023,"9.82","9.82","9.50","9.50","1,400"
08/16/2023,"9.86","9.86","9.30","9.30","15,700"
08/15/2023,"9.88","9.88","9.77","9.77","9,900"
08/14/2023,"9.30","9.30","8.70","8.70","26,000"
08/11/2023,"9.31","9.31","9.30","9.30","30,400"
08/10/2023,"9.30","9.30","9.30","9.30","400"
08/09/2023,"9.88","9.88","9.88","9.88","1,100"
08/08/2023,"9.30","9.30","9.30","9.30","700"
08/04/2023,"9.90","9.90","9.31","9.31","1,500"
08/03/2023,"9.31","9.31","9.30","9.31","11,400"
08/02/2023,"9.31","9.31","9.31","9.31","5,400"
08/01/2023,"9.33","9.50","9.31","9.50","12,700"
07/31/2023,"9.33","9.33","9.33","9.33","6,100"
07/28/2023,"9.34","9.34","9.34","9.34","1,000"
07/27/2023,"9.34","9.34","9.34","9.34","300"
07/26/2023,"9.80","9.80","9.80","9.80","700"
07/24/2023,"9.35","9.97","9.34","9.97","2,000"
07/21/2023,"9.94","9.94","9.94","9.94","6,900"
