Date,Open,High,Low,Close,Volume
12/29/2023,"3.02","3.04","2.98","3.00","8,772,000"
12/28/2023,"3.10","3.13","3.04","3.04","4,360,000"
12/27/2023,"3.00","3.11","2.98","3.07","11,713,000"
12/22/2023,"2.98","3.01","2.97","2.98","5,027,000"
12/21/2023,"2.93","2.99","2.92","2.93","1,812,000"
12/20/2023,"2.95","3.02","2.95","2.95","9,141,000"
12/19/2023,"2.96","2.99","2.93","2.93","3,085,000"
12/18/2023,"2.90","2.98","2.90","2.95","4,149,000"
12/15/2023,"2.96","2.97","2.90","2.92","1,426,000"
12/14/2023,"2.87","2.97","2.87","2.93","4,357,000"
12/13/2023,"2.86","2.87","2.79","2.79","1,899,000"
12/12/2023,"2.76","2.89","2.75","2.87","1,836,000"
12/11/2023,"2.80","2.83","2.76","2.80","3,446,000"
12/07/2023,"2.88","2.93","2.87","2.90","2,071,000"
12/06/2023,"2.85","2.88","2.82","2.88","1,883,000"
12/05/2023,"2.93","2.94","2.85","2.86","5,515,000"
12/04/2023,"2.96","3.00","2.92","2.98","11,993,000"
12/01/2023,"2.82","2.91","2.81","2.88","6,693,000"
11/30/2023,"2.87","2.89","2.80","2.82","4,788,000"
11/29/2023,"2.91","2.94","2.87","2.87","6,161,000"
11/28/2023,"2.84","2.89","2.82","2.88","8,482,000"
11/24/2023,"2.75","2.80","2.75","2.79","2,091,000"
11/23/2023,"2.77","2.78","2.74","2.75","1,544,000"
11/22/2023,"2.69","2.77","2.69","2.76","7,763,000"
11/21/2023,"2.67","2.67","2.62","2.64","4,145,000"
11/20/2023,"2.63","2.66","2.62","2.63","2,323,000"
11/17/2023,"2.67","2.71","2.64","2.65","9,412,000"
11/16/2023,"2.65","2.66","2.59","2.64","2,014,000"
11/15/2023,"2.55","2.67","2.55","2.62","7,665,000"
11/14/2023,"2.55","2.56","2.54","2.54","2,977,000"
11/13/2023,"2.54","2.55","2.50","2.53","3,439,000"
11/10/2023,"2.57","2.58","2.52","2.55","4,267,000"
11/09/2023,"2.60","2.60","2.58","2.58","2,140,000"
11/08/2023,"2.64","2.64","2.56","2.60","3,995,000"
11/07/2023,"2.66","2.66","2.63","2.63","2,184,000"
11/06/2023,"2.62","2.71","2.62","2.65","3,743,000"
11/03/2023,"2.58","2.62","2.58","2.59","1,716,000"
10/31/2023,"2.50","2.60","2.50","2.58","3,057,000"
10/27/2023,"2.44","2.50","2.43","2.49","1,788,000"
10/26/2023,"2.49","2.51","2.44","2.44","3,946,000"
10/25/2023,"2.48","2.49","2.44","2.45","2,053,000"
10/24/2023,"2.58","2.59","2.44","2.46","5,730,000"
10/23/2023,"2.60","2.64","2.53","2.55","3,147,000"
10/20/2023,"2.65","2.75","2.57","2.58","10,742,000"
10/19/2023,"2.67","2.69","2.60","2.64","2,630,000"
10/18/2023,"2.67","2.70","2.63","2.65","2,744,000"
10/17/2023,"2.60","2.64","2.56","2.60","2,195,000"
10/16/2023,"2.67","2.68","2.60","2.60","6,722,000"
10/13/2023,"2.48","2.56","2.47","2.55","4,508,000"
10/12/2023,"2.48","2.52","2.46","2.49","1,687,000"
10/11/2023,"2.50","2.52","2.36","2.45","9,000,000"
10/10/2023,"2.57","2.59","2.45","2.45","3,789,000"
10/09/2023,"2.43","2.54","2.40","2.50","11,159,000"
10/06/2023,"2.27","2.33","2.27","2.28","1,136,000"
10/05/2023,"2.24","2.33","2.24","2.26","2,495,000"
10/04/2023,"2.29","2.29","2.20","2.22","5,896,000"
10/03/2023,"2.30","2.31","2.26","2.29","3,431,000"
10/02/2023,"2.31","2.37","2.29","2.34","2,807,000"
09/29/2023,"2.37","2.41","2.36","2.37","1,736,000"
09/28/2023,"2.42","2.43","2.32","2.37","8,508,000"
09/27/2023,"2.42","2.50","2.41","2.48","636,000"
09/26/2023,"2.44","2.47","2.39","2.45","1,827,000"
09/25/2023,"2.44","2.45","2.38","2.44","2,465,000"
09/22/2023,"2.47","2.48","2.40","2.41","4,452,000"
09/21/2023,"2.53","2.54","2.49","2.49","3,651,000"
09/20/2023,"2.56","2.59","2.53","2.57","1,228,000"
09/19/2023,"2.54","2.58","2.53","2.53","682,000"
09/18/2023,"2.56","2.59","2.52","2.54","1,309,000"
09/15/2023,"2.55","2.59","2.50","2.56","1,720,000"
09/14/2023,"2.54","2.58","2.51","2.55","3,208,000"
09/13/2023,"2.63","2.64","2.48","2.50","7,553,000"
09/12/2023,"2.65","2.69","2.63","2.65","534,000"
09/11/2023,"2.70","2.73","2.65","2.65","1,776,000"
09/08/2023,"2.62","2.72","2.59","2.70","2,649,000"
