Date,Open,High,Low,Close,Volume
12/27/2024,"0.520","0.520","0.510","0.510","86,000"
12/23/2024,"0.520","0.520","0.490","0.520","333,000"
12/20/2024,"0.500","0.520","0.500","0.500","75,000"
12/19/2024,"0.510","0.520","0.510","0.520","6,000"
12/18/2024,"0.520","0.530","0.490","0.520","632,000"
12/17/2024,"0.510","0.530","0.510","0.520","183,000"
12/16/2024,"0.520","0.530","0.520","0.530","70,000"
12/13/2024,"0.520","0.540","0.520","0.520","1,134,000"
12/12/2024,"0.550","0.550","0.520","0.530","479,000"
12/11/2024,"0.530","0.530","0.530","0.530","43,000"
12/10/2024,"0.540","0.550","0.530","0.550","355,000"
12/09/2024,"0.520","0.550","0.520","0.540","133,000"
12/06/2024,"0.540","0.560","0.520","0.530","1,087,000"
12/05/2024,"0.550","0.560","0.540","0.540","17,000"
12/04/2024,"0.540","0.540","0.530","0.530","95,000"
12/03/2024,"0.550","0.560","0.540","0.540","57,000"
12/02/2024,"0.550","0.550","0.530","0.550","248,000"
11/29/2024,"0.510","0.560","0.500","0.560","66,000"
11/28/2024,"0.550","0.550","0.500","0.530","737,000"
11/27/2024,"0.570","0.570","0.550","0.570","144,000"
11/26/2024,"0.580","0.580","0.560","0.580","11,000"
11/25/2024,"0.560","0.580","0.550","0.570","82,000"
11/22/2024,"0.570","0.570","0.540","0.560","196,000"
11/21/2024,"0.570","0.590","0.550","0.580","236,000"
11/20/2024,"0.590","0.600","0.570","0.580","24,000"
11/19/2024,"0.580","0.600","0.560","0.590","100,000"
11/18/2024,"0.600","0.600","0.580","0.580","9,000"
11/15/2024,"0.580","0.600","0.580","0.580","318,000"
11/14/2024,"0.580","0.580","0.550","0.580","3,050,000"
11/13/2024,"0.610","0.610","0.570","0.610","63,000"
11/12/2024,"0.590","0.620","0.570","0.620","1,450,000"
11/11/2024,"0.570","0.580","0.550","0.580","1,055,000"
11/08/2024,"0.590","0.600","0.590","0.600","104,000"
11/07/2024,"0.580","0.600","0.580","0.600","24,000"
11/06/2024,"0.580","0.610","0.580","0.610","2,000"
11/05/2024,"0.580","0.620","0.580","0.610","147,000"
11/04/2024,"0.600","0.600","0.560","0.590","662,000"
10/31/2024,"0.610","0.610","0.600","0.600","24,000"
10/30/2024,"0.600","0.600","0.590","0.600","46,000"
10/29/2024,"0.600","0.620","0.590","0.610","126,000"
10/28/2024,"0.610","0.610","0.600","0.600","122,000"
10/25/2024,"0.610","0.610","0.610","0.610","161,000"
10/24/2024,"0.620","0.620","0.610","0.610","23,000"
10/23/2024,"0.630","0.630","0.610","0.620","32,000"
10/22/2024,"0.620","0.620","0.610","0.610","356,000"
10/21/2024,"0.640","0.640","0.610","0.630","274,000"
10/18/2024,"0.630","0.640","0.610","0.640","548,000"
10/17/2024,"0.620","0.630","0.620","0.630","204,000"
10/16/2024,"0.620","0.650","0.610","0.630","644,000"
10/15/2024,"0.640","0.650","0.610","0.620","714,000"
10/14/2024,"0.680","0.680","0.640","0.660","402,000"
10/11/2024,"0.670","0.680","0.660","0.670","475,000"
10/10/2024,"0.690","0.690","0.620","0.680","1,270,000"
10/09/2024,"0.640","0.700","0.640","0.670","4,751,000"
10/08/2024,"0.620","0.640","0.610","0.640","745,000"
10/07/2024,"0.620","0.630","0.610","0.620","701,000"
10/04/2024,"0.620","0.630","0.600","0.630","2,033,000"
10/03/2024,"0.640","0.650","0.610","0.630","649,000"
10/02/2024,"0.580","0.670","0.580","0.630","7,996,000"
10/01/2024,"0.580","0.580","0.570","0.570","46,000"
09/30/2024,"0.590","0.590","0.590","0.590","20,000"
09/27/2024,"0.590","0.600","0.570","0.570","244,000"
09/26/2024,"0.570","0.590","0.570","0.580","1,561,000"
09/25/2024,"0.590","0.590","0.560","0.580","232,000"
09/24/2024,"0.570","0.590","0.570","0.590","31,000"
09/23/2024,"0.580","0.600","0.570","0.570","703,000"
09/20/2024,"0.600","0.600","0.570","0.570","400,000"
09/19/2024,"0.590","0.600","0.560","0.600","1,392,000"
09/18/2024,"0.560","0.590","0.560","0.590","1,665,000"
09/17/2024,"0.540","0.570","0.530","0.550","4,223,000"
09/16/2024,"0.570","0.580","0.530","0.550","372,000"
09/13/2024,"0.590","0.590","0.560","0.560","703,000"
09/12/2024,"0.600","0.600","0.580","0.590","738,000"
09/11/2024,"0.580","0.610","0.580","0.610","317,000"
09/10/2024,"0.610","0.620","0.570","0.600","1,848,000"
09/09/2024,"0.600","0.630","0.580","0.620","1,006,000"
09/06/2024,"0.640","0.650","0.600","0.630","872,000"
09/05/2024,"0.650","0.670","0.640","0.650","1,637,000"
09/04/2024,"0.640","0.650","0.630","0.650","471,000"
09/03/2024,"0.600","0.650","0.600","0.650","489,000"
09/02/2024,"0.600","0.610","0.580","0.610","398,000"
08/30/2024,"0.620","0.620","0.600","0.620","534,000"
