Date,Open,High,Low,Close,Volume
12/29/2020,"6.410","6.570","6.400","6.460","381,500"
12/28/2020,"6.280","6.470","6.280","6.400","420,100"
12/23/2020,"6.490","6.490","6.250","6.310","1,109,200"
12/22/2020,"6.690","6.700","6.580","6.600","1,444,600"
12/21/2020,"6.890","6.970","6.760","6.830","987,400"
12/18/2020,"6.710","6.900","6.600","6.860","748,100"
12/17/2020,"6.690","6.700","6.580","6.670","378,400"
12/16/2020,"6.480","6.630","6.470","6.600","226,100"
12/15/2020,"6.700","6.720","6.400","6.470","947,600"
12/14/2020,"6.610","6.730","6.610","6.700","193,700"
12/11/2020,"6.430","6.620","6.430","6.600","833,300"
12/10/2020,"6.460","6.490","6.410","6.480","594,400"
12/09/2020,"6.290","6.450","6.020","6.400","1,017,600"
12/07/2020,"6.140","6.300","6.120","6.290","641,800"
12/04/2020,"6.050","6.130","6.050","6.120","553,300"
12/03/2020,"5.950","6.020","5.840","6.020","1,173,300"
12/02/2020,"5.890","5.900","5.600","5.900","623,700"
12/01/2020,"5.540","5.830","5.540","5.830","1,366,100"
11/27/2020,"5.400","5.600","5.400","5.500","395,000"
11/26/2020,"5.550","5.550","5.380","5.400","304,400"
11/25/2020,"5.380","5.550","5.380","5.500","770,000"
11/24/2020,"5.400","5.400","5.280","5.330","589,600"
11/23/2020,"5.170","5.400","5.170","5.400","1,744,500"
11/20/2020,"5.020","5.100","5.000","5.100","439,400"
11/19/2020,"5.180","5.180","5.010","5.020","637,500"
11/18/2020,"5.050","5.180","4.980","5.180","688,300"
11/17/2020,"5.200","5.280","5.140","5.160","2,158,000"
11/16/2020,"5.010","5.210","5.010","5.200","872,500"
11/13/2020,"5.010","5.100","4.980","5.010","875,700"
11/11/2020,"4.800","5.200","4.620","5.150","1,452,000"
11/10/2020,"4.780","4.830","4.600","4.800","672,000"
11/09/2020,"4.450","4.700","4.440","4.700","1,585,000"
11/06/2020,"4.320","4.440","4.320","4.410","1,176,000"
11/05/2020,"4.140","4.270","4.140","4.270","282,000"
11/04/2020,"4.060","4.190","4.060","4.180","592,000"
11/03/2020,"4.120","4.120","4.060","4.060","54,000"
10/30/2020,"4.120","4.120","4.060","4.060","136,000"
10/29/2020,"4.050","4.120","4.050","4.120","230,000"
