Date,Open,High,Low,Close,Volume
12/27/2024,"0.500","0.520","0.500","0.520","638,000"
12/26/2024,"0.500","0.500","0.500","0.500","1,000"
12/23/2024,"0.570","0.590","0.570","0.590","61,000"
12/20/2024,"0.510","0.520","0.510","0.520","140,000"
12/19/2024,"0.510","0.510","0.510","0.510","60,000"
12/18/2024,"0.510","0.510","0.510","0.510","20,000"
12/17/2024,"0.500","0.500","0.485","0.500","50,000"
12/16/2024,"0.485","0.485","0.485","0.485","30,000"
12/13/2024,"0.495","0.495","0.495","0.495","100,000"
12/11/2024,"0.495","0.495","0.495","0.495","1,000"
12/09/2024,"0.480","0.500","0.480","0.500","440,000"
12/04/2024,"0.485","0.485","0.485","0.485","400,000"
11/27/2024,"0.475","0.475","0.475","0.475","600,000"
11/26/2024,"0.475","0.475","0.475","0.475","110,000"
11/25/2024,"0.470","0.470","0.470","0.470","500,000"
11/22/2024,"0.475","0.475","0.475","0.475","100,000"
11/20/2024,"0.465","0.465","0.465","0.465","440,000"
11/19/2024,"0.465","0.470","0.465","0.470","470,000"
11/15/2024,"0.465","0.465","0.460","0.465","1,800,000"
11/14/2024,"0.465","0.465","0.460","0.460","1,050,000"
11/13/2024,"0.475","0.475","0.470","0.470","880,000"
11/12/2024,"0.475","0.475","0.475","0.475","300,000"
11/08/2024,"0.465","0.475","0.465","0.475","870,000"
11/06/2024,"0.460","0.465","0.460","0.465","850,000"
10/31/2024,"0.460","0.470","0.460","0.470","200,000"
10/25/2024,"0.450","0.465","0.450","0.460","1,900,000"
10/23/2024,"0.465","0.465","0.465","0.465","110,000"
10/14/2024,"0.450","0.450","0.450","0.450","110,000"
10/11/2024,"0.450","0.450","0.450","0.450","60,000"
10/10/2024,"0.445","0.445","0.445","0.445","10,000"
10/08/2024,"0.445","0.450","0.445","0.450","530,000"
10/02/2024,"0.435","0.445","0.435","0.445","450,000"
10/01/2024,"0.435","0.435","0.435","0.435","190,000"
09/26/2024,"0.420","0.420","0.420","0.420","70,000"
09/25/2024,"0.425","0.425","0.425","0.425","80,000"
09/24/2024,"0.430","0.430","0.425","0.425","120,000"
09/23/2024,"0.420","0.420","0.420","0.420","220,000"
09/19/2024,"0.410","0.410","0.410","0.410","100,000"
09/17/2024,"0.410","0.410","0.405","0.405","480,000"
09/16/2024,"0.405","0.415","0.405","0.415","400,000"
09/12/2024,"0.415","0.415","0.410","0.410","680,000"
09/11/2024,"0.405","0.420","0.405","0.405","1,410,000"
09/10/2024,"0.405","0.405","0.405","0.405","50,000"
09/09/2024,"0.400","0.400","0.400","0.400","170,000"
09/06/2024,"0.405","0.405","0.405","0.405","520,000"
08/29/2024,"0.410","0.410","0.410","0.410","1,910,000"
08/28/2024,"0.415","0.415","0.415","0.415","200,000"
08/27/2024,"0.410","0.410","0.400","0.400","1,660,000"
08/22/2024,"0.410","0.415","0.410","0.415","200,000"
08/21/2024,"0.405","0.405","0.405","0.405","400,000"
08/20/2024,"0.410","0.415","0.405","0.415","230,000"
08/19/2024,"0.430","0.430","0.415","0.415","1,700,000"
