Date,Open,High,Low,Close,Volume
12/29/2020,"28.90","29.93","28.33","29.93","35,100"
12/28/2020,"30.00","30.00","28.67","28.77","18,450"
12/23/2020,"30.00","30.07","30.00","30.07","6,900"
12/22/2020,"30.03","30.03","30.00","30.00","18,000"
12/21/2020,"30.67","30.67","30.00","30.03","5,400"
12/18/2020,"30.13","30.90","30.00","30.90","21,000"
12/17/2020,"30.67","30.73","30.03","30.10","18,600"
12/15/2020,"30.03","30.07","30.00","30.07","6,000"
12/11/2020,"29.47","30.67","29.47","29.60","30,150"
12/10/2020,"29.27","29.67","29.27","29.40","5,700"
12/09/2020,"29.87","30.00","29.27","29.37","69,900"
12/07/2020,"29.73","29.73","29.67","29.73","9,600"
12/04/2020,"30.00","30.00","29.67","29.67","4,500"
12/03/2020,"29.33","29.33","29.20","29.20","4,800"
12/02/2020,"29.47","29.50","29.20","29.20","22,500"
12/01/2020,"30.13","30.13","29.30","29.33","55,650"
11/27/2020,"30.57","30.57","29.90","29.93","6,600"
11/26/2020,"30.10","30.10","29.93","29.93","17,700"
11/25/2020,"30.77","30.80","30.07","30.07","9,450"
11/24/2020,"30.87","31.00","30.33","30.67","16,500"
11/23/2020,"30.00","32.00","29.87","30.70","65,700"
11/20/2020,"29.70","29.87","29.67","29.87","9,300"
11/19/2020,"29.63","29.67","29.63","29.67","3,150"
11/18/2020,"29.67","30.07","29.60","29.63","6,750"
11/17/2020,"30.23","30.23","29.67","29.67","3,750"
11/16/2020,"29.87","29.87","29.43","29.43","3,600"
11/13/2020,"29.73","30.13","29.40","29.43","7,500"
11/11/2020,"29.73","29.80","29.73","29.80","900"
11/10/2020,"29.50","29.83","29.40","29.73","19,500"
11/09/2020,"30.13","30.13","29.40","29.40","6,000"
11/06/2020,"29.60","29.60","29.37","29.43","1,650"
11/05/2020,"29.60","29.60","29.60","29.60","150"
11/04/2020,"30.00","30.00","30.00","30.00","2,250"
11/03/2020,"30.00","30.00","30.00","30.00","450"
10/30/2020,"30.00","30.00","29.37","29.67","12,450"
10/29/2020,"30.00","30.00","29.40","29.40","1,650"
10/27/2020,"29.70","29.70","29.50","29.53","18,750"
10/26/2020,"29.73","29.97","29.70","29.70","4,950"
10/23/2020,"30.00","30.00","29.67","29.97","22,500"
10/22/2020,"29.93","29.93","29.87","29.87","1,950"
10/20/2020,"29.93","29.93","29.67","29.93","13,050"
10/19/2020,"30.17","30.17","29.83","29.93","15,450"
10/16/2020,"30.00","30.00","30.00","30.00","3,900"
10/15/2020,"30.00","30.00","30.00","30.00","7,500"
10/13/2020,"29.67","30.23","29.67","29.67","1,350"
10/12/2020,"29.67","30.27","29.67","30.27","600"
10/09/2020,"30.07","30.07","30.07","30.07","1,500"
10/08/2020,"29.93","29.93","29.93","29.93","450"
10/07/2020,"29.93","29.93","29.87","29.87","450"
10/06/2020,"29.67","30.00","29.67","29.67","15,300"
10/05/2020,"29.67","29.67","29.67","29.67","3,300"
10/02/2020,"29.67","29.80","29.67","29.67","29,850"
10/01/2020,"29.67","30.07","29.67","29.70","12,300"
09/30/2020,"29.67","29.67","29.67","29.67","13,950"
09/29/2020,"29.67","30.00","29.67","29.67","8,400"
09/28/2020,"30.00","30.00","29.40","29.47","2,550"
09/25/2020,"29.37","30.17","29.37","30.07","450"
09/24/2020,"30.73","30.73","29.67","29.67","14,100"
09/23/2020,"30.17","30.17","30.00","30.00","5,700"
