Date,Open,High,Low,Close,Volume
04/30/2025,"0.380","0.380","0.360","0.375","820,000"
04/29/2025,"0.375","0.380","0.375","0.380","390,000"
04/28/2025,"0.360","0.370","0.360","0.370","870,000"
04/25/2025,"0.360","0.360","0.360","0.360","20,000"
04/24/2025,"0.360","0.360","0.350","0.350","220,000"
04/23/2025,"0.350","0.360","0.350","0.360","260,000"
04/22/2025,"0.355","0.355","0.350","0.350","50,000"
04/21/2025,"0.360","0.360","0.360","0.360","150,000"
04/16/2025,"0.350","0.360","0.350","0.360","2,740,000"
04/14/2025,"0.350","0.350","0.350","0.350","20,000"
04/11/2025,"0.355","0.355","0.350","0.355","640,000"
04/10/2025,"0.355","0.355","0.355","0.355","30,000"
04/07/2025,"0.360","0.360","0.350","0.350","720,000"
03/31/2025,"0.370","0.370","0.370","0.370","60,000"
03/24/2025,"0.370","0.370","0.370","0.370","20,000"
03/21/2025,"0.360","0.360","0.360","0.360","70,000"
03/20/2025,"0.370","0.370","0.370","0.370","80,000"
03/19/2025,"0.360","0.360","0.360","0.360","30,000"
03/18/2025,"0.355","0.355","0.355","0.355","190,000"
03/12/2025,"0.370","0.380","0.370","0.380","310,000"
03/10/2025,"0.360","0.370","0.360","0.370","30,000"
03/07/2025,"0.360","0.360","0.355","0.360","240,000"
03/06/2025,"0.360","0.360","0.360","0.360","10,000"
03/05/2025,"0.365","0.365","0.360","0.360","140,000"
03/04/2025,"0.380","0.380","0.360","0.360","330,000"
02/28/2025,"0.375","0.375","0.365","0.370","340,000"
02/26/2025,"0.380","0.380","0.380","0.380","10,000"
02/24/2025,"0.380","0.380","0.375","0.380","130,000"
02/21/2025,"0.375","0.375","0.375","0.375","110,000"
02/19/2025,"0.380","0.395","0.375","0.395","750,000"
02/18/2025,"0.395","0.395","0.380","0.395","540,000"
02/17/2025,"0.380","0.395","0.375","0.395","1,570,000"
02/14/2025,"0.395","0.400","0.380","0.395","790,000"
02/13/2025,"0.395","0.395","0.390","0.395","770,000"
02/12/2025,"0.405","0.405","0.385","0.385","490,000"
02/11/2025,"0.390","0.400","0.380","0.400","2,420,000"
02/10/2025,"0.365","0.400","0.360","0.395","4,280,000"
02/07/2025,"0.360","0.360","0.360","0.360","200,000"
02/06/2025,"0.345","0.365","0.345","0.365","50,000"
02/05/2025,"0.360","0.365","0.360","0.365","70,000"
02/04/2025,"0.355","0.355","0.350","0.350","20,000"
02/03/2025,"0.360","0.360","0.340","0.345","950,000"
01/31/2025,"0.375","0.375","0.360","0.360","810,000"
01/30/2025,"0.355","0.375","0.355","0.355","560,000"
01/28/2025,"0.360","0.380","0.355","0.355","600,000"
01/27/2025,"0.370","0.375","0.370","0.375","110,000"
01/23/2025,"0.375","0.380","0.355","0.365","250,000"
01/22/2025,"0.360","0.375","0.360","0.375","100,000"
01/21/2025,"0.365","0.385","0.355","0.355","1,170,000"
01/17/2025,"0.365","0.385","0.360","0.360","1,060,000"
01/15/2025,"0.375","0.385","0.365","0.365","170,000"
01/10/2025,"0.375","0.380","0.375","0.380","340,000"
01/09/2025,"0.380","0.385","0.380","0.385","90,000"
01/08/2025,"0.370","0.370","0.370","0.370","120,000"
01/07/2025,"0.370","0.390","0.350","0.380","2,120,000"
01/03/2025,"0.350","0.370","0.350","0.370","50,000"
01/02/2025,"0.360","0.365","0.360","0.365","110,000"
