Date,Open,High,Low,Close,Volume
12/29/2023,"4.700","4.900","4.700","4.900","60,000"
12/28/2023,"4.710","4.900","4.700","4.900","44,000"
12/27/2023,"4.710","4.850","4.710","4.850","19,000"
12/22/2023,"4.710","4.880","4.700","4.700","33,000"
12/21/2023,"4.710","4.880","4.710","4.880","10,000"
12/20/2023,"4.710","4.890","4.710","4.890","6,000"
12/15/2023,"4.470","4.910","4.470","4.910","26,000"
12/14/2023,"4.420","4.860","4.420","4.860","6,000"
12/13/2023,"4.250","4.910","4.250","4.910","18,000"
12/12/2023,"4.850","5.010","4.700","4.700","187,000"
12/11/2023,"4.870","4.870","4.850","4.850","12,300"
12/07/2023,"4.880","5.090","4.880","5.050","24,000"
12/06/2023,"4.880","5.180","4.880","5.180","13,000"
12/05/2023,"5.480","5.480","4.940","5.400","29,000"
12/04/2023,"4.860","5.490","4.860","5.490","2,147,000"
11/29/2023,"4.870","4.870","4.870","4.870","9,000"
11/28/2023,"4.850","4.850","4.850","4.850","3,000"
11/24/2023,"4.950","5.480","4.450","5.000","129,200"
11/23/2023,"4.820","5.000","4.820","5.000","11,000"
11/22/2023,"4.860","4.860","4.800","4.800","13,000"
11/21/2023,"4.860","4.860","4.860","4.860","3,000"
11/17/2023,"4.910","4.910","4.910","4.910","3,000"
11/16/2023,"5.010","5.100","5.010","5.100","32,000"
11/14/2023,"5.040","5.040","5.040","5.040","3,000"
11/09/2023,"5.020","5.020","5.020","5.020","15,000"
11/08/2023,"4.910","5.060","4.910","5.060","45,000"
11/07/2023,"5.190","5.270","5.000","5.010","103,400"
11/06/2023,"4.990","5.190","4.990","5.190","1,200"
11/03/2023,"5.100","5.300","5.100","5.300","46,000"
10/31/2023,"4.750","5.100","4.750","4.900","13,000"
10/27/2023,"5.040","5.040","4.760","4.900","36,700"
10/26/2023,"4.900","5.050","4.900","5.050","218,000"
10/25/2023,"4.850","5.000","4.800","4.800","175,000"
10/24/2023,"4.900","4.990","4.850","4.990","76,500"
10/23/2023,"4.450","5.010","4.340","5.000","272,000"
10/20/2023,"4.630","4.730","4.500","4.650","136,000"
10/19/2023,"4.630","4.640","4.330","4.630","22,000"
10/18/2023,"4.470","4.640","4.470","4.640","2,000"
10/17/2023,"4.290","4.550","4.260","4.470","126,000"
10/16/2023,"4.200","4.300","4.000","4.290","647,000"
10/12/2023,"4.000","4.200","4.000","4.200","69,000"
10/11/2023,"4.000","4.000","3.870","4.000","541,000"
10/10/2023,"3.980","4.000","3.860","4.000","406,000"
10/09/2023,"3.950","4.000","3.950","3.980","8,000"
10/06/2023,"3.820","3.820","3.810","3.810","40,000"
10/02/2023,"3.820","4.090","3.820","4.090","12,000"
09/29/2023,"3.910","4.130","3.900","3.900","160,000"
09/28/2023,"4.020","4.020","4.020","4.020","10,000"
09/18/2023,"4.030","4.340","4.030","4.340","2,000"
09/15/2023,"4.180","4.380","4.100","4.380","79,000"
09/13/2023,"4.200","4.400","4.200","4.380","105,000"
09/11/2023,"4.200","4.200","4.200","4.200","18,000"
09/08/2023,"4.200","4.200","4.200","4.200","10,000"
09/07/2023,"4.210","4.210","4.200","4.200","40,000"
09/05/2023,"4.200","4.200","4.200","4.200","25,000"
09/04/2023,"4.210","4.340","4.210","4.340","17,000"
09/01/2023,"4.320","4.320","4.320","4.320","30,000"
08/30/2023,"4.300","4.300","4.200","4.200","47,000"
08/29/2023,"4.300","4.300","4.300","4.300","10,000"
08/24/2023,"4.260","4.260","4.100","4.100","85,000"
08/15/2023,"4.490","4.500","4.450","4.450","41,000"
08/14/2023,"4.490","4.490","4.490","4.490","2,000"
08/10/2023,"4.510","4.550","4.510","4.550","7,000"
08/04/2023,"4.500","4.500","4.500","4.500","10,000"
08/03/2023,"4.580","4.580","4.550","4.550","11,000"
08/02/2023,"4.600","4.600","4.600","4.600","18,000"
07/31/2023,"4.570","4.730","4.550","4.730","50,000"
07/28/2023,"4.550","4.550","4.550","4.550","7,000"
07/27/2023,"4.540","4.590","4.540","4.590","40,000"
07/24/2023,"4.550","4.550","4.550","4.550","5,000"
07/21/2023,"4.560","4.570","4.560","4.570","10,000"
07/20/2023,"4.510","4.510","4.510","4.510","10,000"
07/19/2023,"4.500","4.500","4.420","4.420","42,000"
07/18/2023,"4.500","4.500","4.490","4.500","11,000"
07/10/2023,"4.510","4.590","4.510","4.560","102,000"
07/07/2023,"4.500","4.520","4.500","4.500","29,000"
07/06/2023,"4.530","4.530","4.530","4.530","1,000"
07/05/2023,"4.500","4.500","4.500","4.500","1,000"
07/03/2023,"4.590","4.590","4.540","4.580","17,000"
06/30/2023,"4.580","4.580","4.580","4.580","20,000"
06/27/2023,"4.550","4.550","4.550","4.550","10,000"
06/26/2023,"4.510","4.510","4.510","4.510","3,000"
06/22/2023,"4.510","4.510","4.500","4.500","22,000"
06/20/2023,"4.520","4.520","4.510","4.510","21,000"
06/19/2023,"4.510","4.590","4.490","4.590","35,000"
06/15/2023,"4.590","4.590","4.590","4.590","4,000"
