Date,Open,High,Low,Close,Volume
12/29/2023,"0.063","0.063","0.061","0.061","20,680,000"
12/28/2023,"0.060","0.062","0.060","0.061","12,060,000"
12/27/2023,"0.062","0.065","0.058","0.060","15,250,000"
12/22/2023,"0.062","0.065","0.062","0.065","4,480,000"
12/21/2023,"0.063","0.065","0.063","0.063","4,400,000"
12/20/2023,"0.065","0.065","0.063","0.063","4,980,000"
12/19/2023,"0.065","0.066","0.062","0.065","8,620,000"
12/18/2023,"0.060","0.064","0.060","0.064","3,190,000"
12/15/2023,"0.063","0.065","0.060","0.060","6,090,000"
12/14/2023,"0.057","0.064","0.057","0.062","6,270,000"
12/13/2023,"0.063","0.063","0.056","0.057","10,170,000"
12/12/2023,"0.064","0.066","0.061","0.064","7,480,000"
10/13/2023,"0.056","0.059","0.053","0.054","14,090,000"
10/12/2023,"0.058","0.062","0.058","0.059","8,800,000"
10/11/2023,"0.055","0.058","0.054","0.055","14,260,000"
10/10/2023,"0.057","0.057","0.053","0.055","27,440,000"
10/09/2023,"0.059","0.059","0.058","0.058","8,220,000"
10/06/2023,"0.061","0.062","0.059","0.059","3,260,000"
10/05/2023,"0.062","0.062","0.061","0.061","4,730,000"
10/04/2023,"0.062","0.062","0.061","0.061","1,460,000"
10/03/2023,"0.062","0.062","0.062","0.062","1,030,000"
10/02/2023,"0.062","0.063","0.062","0.062","890,000"
09/29/2023,"0.060","0.062","0.060","0.062","4,800,000"
09/28/2023,"0.062","0.062","0.061","0.061","3,600,000"
09/27/2023,"0.060","0.062","0.058","0.060","7,730,000"
09/26/2023,"0.060","0.061","0.057","0.060","6,560,000"
09/25/2023,"0.055","0.060","0.054","0.060","4,630,000"
09/22/2023,"0.055","0.060","0.051","0.055","12,290,000"
09/21/2023,"0.054","0.056","0.054","0.056","3,570,000"
09/20/2023,"0.055","0.055","0.054","0.054","160,000"
09/19/2023,"0.058","0.058","0.053","0.053","1,950,000"
09/18/2023,"0.055","0.055","0.054","0.055","3,180,000"
09/15/2023,"0.057","0.058","0.056","0.058","12,940,000"
09/14/2023,"0.050","0.055","0.050","0.055","2,590,000"
09/13/2023,"0.053","0.053","0.050","0.050","22,470,000"
09/12/2023,"0.055","0.057","0.053","0.053","8,700,000"
09/11/2023,"0.059","0.059","0.055","0.055","19,460,000"
09/08/2023,"0.061","0.062","0.059","0.060","14,920,000"
09/07/2023,"0.062","0.062","0.061","0.061","1,810,000"
09/06/2023,"0.061","0.064","0.061","0.061","1,770,000"
09/05/2023,"0.064","0.064","0.062","0.063","8,750,000"
09/04/2023,"0.061","0.064","0.061","0.063","3,890,000"
09/01/2023,"0.062","0.064","0.061","0.061","6,370,000"
08/31/2023,"0.062","0.062","0.062","0.062","1,480,000"
08/30/2023,"0.063","0.064","0.063","0.064","3,210,000"
08/29/2023,"0.065","0.068","0.063","0.063","7,910,000"
08/25/2023,"0.066","0.068","0.064","0.068","5,770,000"
08/24/2023,"0.065","0.068","0.064","0.066","3,880,000"
08/23/2023,"0.069","0.069","0.067","0.068","2,760,000"
08/22/2023,"0.069","0.070","0.068","0.069","29,870,000"
08/18/2023,"0.065","0.067","0.063","0.066","4,620,000"
08/17/2023,"0.064","0.067","0.063","0.067","2,400,000"
08/16/2023,"0.063","0.065","0.063","0.065","23,970,000"
08/15/2023,"0.062","0.063","0.062","0.062","1,080,000"
08/14/2023,"0.062","0.062","0.062","0.062","2,410,000"
08/11/2023,"0.063","0.063","0.063","0.063","840,000"
08/10/2023,"0.065","0.065","0.063","0.063","19,030,000"
08/09/2023,"0.065","0.065","0.065","0.065","13,970,000"
08/08/2023,"0.066","0.068","0.065","0.065","10,260,000"
08/07/2023,"0.069","0.069","0.066","0.066","1,410,000"
08/04/2023,"0.066","0.067","0.066","0.067","3,730,000"
08/03/2023,"0.066","0.070","0.066","0.068","2,220,000"
08/02/2023,"0.067","0.067","0.066","0.066","7,090,000"
08/01/2023,"0.070","0.070","0.067","0.068","38,190,000"
07/31/2023,"0.071","0.071","0.070","0.070","14,060,000"
07/28/2023,"0.071","0.074","0.071","0.071","13,940,000"
07/27/2023,"0.071","0.073","0.071","0.073","2,120,000"
07/26/2023,"0.071","0.074","0.071","0.074","3,460,000"
07/25/2023,"0.072","0.072","0.072","0.072","7,080,000"
07/24/2023,"0.073","0.076","0.072","0.072","7,700,000"
07/21/2023,"0.075","0.076","0.074","0.075","1,670,000"
07/20/2023,"0.074","0.077","0.074","0.077","18,760,000"
07/19/2023,"0.072","0.077","0.071","0.077","40,090,000"
07/18/2023,"0.074","0.075","0.074","0.074","2,100,000"
07/17/2023,"0.071","0.074","0.071","0.074","10,630,000"
07/14/2023,"0.072","0.075","0.071","0.072","11,660,000"
07/13/2023,"0.071","0.074","0.071","0.072","6,260,000"
07/12/2023,"0.070","0.071","0.070","0.070","3,410,000"
07/11/2023,"0.073","0.073","0.071","0.071","8,060,000"
07/10/2023,"0.076","0.076","0.072","0.074","12,620,000"
07/07/2023,"0.077","0.078","0.074","0.074","4,990,000"
07/06/2023,"0.073","0.078","0.070","0.077","59,910,000"
07/05/2023,"0.071","0.074","0.071","0.073","12,840,000"
07/04/2023,"0.073","0.074","0.072","0.072","11,680,000"
07/03/2023,"0.068","0.074","0.067","0.071","33,060,000"
06/30/2023,"0.071","0.071","0.067","0.068","22,360,000"
06/29/2023,"0.071","0.072","0.070","0.071","5,210,000"
06/27/2023,"0.066","0.073","0.066","0.072","77,950,000"
06/26/2023,"0.068","0.068","0.066","0.067","2,330,000"
06/23/2023,"0.066","0.069","0.066","0.068","5,370,000"
06/22/2023,"0.070","0.070","0.067","0.068","24,250,000"
06/21/2023,"0.071","0.072","0.070","0.071","5,510,000"
06/20/2023,"0.076","0.076","0.072","0.072","7,470,000"
06/19/2023,"0.073","0.076","0.072","0.075","17,910,000"
06/16/2023,"0.075","0.075","0.073","0.073","8,500,000"
06/15/2023,"0.075","0.075","0.073","0.073","5,990,000"
06/14/2023,"0.076","0.077","0.072","0.075","34,330,000"
06/13/2023,"0.076","0.079","0.076","0.077","18,400,000"
06/09/2023,"0.081","0.081","0.076","0.076","73,290,000"
06/08/2023,"0.083","0.083","0.080","0.081","32,730,000"
06/07/2023,"0.080","0.083","0.079","0.082","56,930,000"
06/06/2023,"0.081","0.084","0.078","0.080","127,430,000"
06/05/2023,"0.070","0.082","0.070","0.079","220,470,000"
06/02/2023,"0.063","0.070","0.063","0.068","86,580,000"
06/01/2023,"0.067","0.068","0.063","0.063","31,590,000"
05/31/2023,"0.071","0.072","0.067","0.067","99,850,000"
05/30/2023,"0.061","0.075","0.061","0.068","187,210,000"
