Date,Open,High,Low,Close,Volume
12/29/2022,"1.150","1.200","1.150","1.200","333,000"
12/28/2022,"1.160","1.160","1.150","1.150","155,000"
12/27/2022,"1.190","1.190","1.170","1.170","38,000"
12/23/2022,"1.190","1.190","1.190","1.190","31,000"
12/22/2022,"1.210","1.210","1.200","1.200","3,000"
12/21/2022,"1.190","1.200","1.160","1.160","129,000"
12/20/2022,"1.140","1.210","1.130","1.150","86,000"
12/19/2022,"1.150","1.180","1.150","1.180","187,000"
12/16/2022,"1.160","1.170","1.150","1.150","135,000"
12/15/2022,"1.210","1.210","1.210","1.210","1,000"
12/14/2022,"1.170","1.220","1.160","1.160","22,000"
12/13/2022,"1.160","1.160","1.150","1.160","96,000"
12/12/2022,"1.200","1.200","1.160","1.160","47,000"
12/09/2022,"1.210","1.210","1.180","1.180","258,000"
12/07/2022,"1.200","1.220","1.150","1.220","468,000"
12/06/2022,"1.160","1.230","1.150","1.230","220,000"
12/05/2022,"1.170","1.200","1.150","1.200","228,000"
12/02/2022,"1.170","1.180","1.140","1.170","202,000"
12/01/2022,"1.150","1.190","1.150","1.150","235,000"
11/29/2022,"1.160","1.170","1.120","1.170","406,000"
11/28/2022,"1.100","1.150","1.090","1.150","1,040,000"
11/25/2022,"1.100","1.150","1.100","1.150","139,000"
11/24/2022,"1.110","1.150","1.080","1.150","448,000"
11/23/2022,"1.120","1.140","1.080","1.100","621,000"
11/22/2022,"1.120","1.160","1.120","1.150","119,000"
11/21/2022,"1.170","1.170","1.120","1.160","81,000"
11/18/2022,"1.120","1.170","1.120","1.170","195,000"
11/17/2022,"1.170","1.170","1.170","1.170","3,000"
11/16/2022,"1.150","1.170","1.110","1.160","90,000"
11/15/2022,"1.110","1.170","1.110","1.170","159,000"
11/14/2022,"1.150","1.150","1.120","1.150","83,000"
11/11/2022,"1.140","1.160","1.100","1.160","633,000"
11/10/2022,"1.080","1.140","1.080","1.140","101,000"
11/09/2022,"1.110","1.150","1.080","1.150","182,000"
11/08/2022,"1.110","1.120","1.090","1.120","102,000"
11/07/2022,"1.130","1.130","1.130","1.130","91,000"
11/04/2022,"1.100","1.130","1.100","1.130","117,000"
11/03/2022,"1.120","1.140","1.120","1.140","129,000"
11/02/2022,"1.150","1.150","1.100","1.150","214,000"
10/28/2022,"1.110","1.140","1.100","1.130","46,000"
10/27/2022,"1.150","1.150","1.110","1.130","358,000"
10/26/2022,"1.120","1.170","1.100","1.110","413,000"
10/25/2022,"1.080","1.130","1.080","1.110","40,000"
10/24/2022,"1.080","1.140","1.070","1.100","322,000"
10/21/2022,"1.090","1.100","1.080","1.100","160,000"
10/20/2022,"1.120","1.120","1.100","1.100","117,000"
10/19/2022,"1.100","1.130","1.080","1.130","317,000"
10/18/2022,"1.160","1.160","1.100","1.150","194,000"
10/17/2022,"1.100","1.160","1.090","1.160","343,000"
10/14/2022,"1.150","1.160","1.100","1.150","748,000"
10/13/2022,"1.180","1.190","1.130","1.130","876,000"
10/12/2022,"1.170","1.200","1.160","1.200","381,000"
10/11/2022,"1.210","1.220","1.180","1.220","158,000"
10/10/2022,"1.230","1.280","1.190","1.280","269,000"
10/07/2022,"1.290","1.300","1.280","1.300","219,000"
10/06/2022,"1.280","1.300","1.250","1.300","227,000"
10/05/2022,"1.300","1.300","1.240","1.300","121,000"
10/04/2022,"1.200","1.300","1.200","1.280","263,000"
10/03/2022,"1.160","1.270","1.160","1.250","170,000"
09/30/2022,"1.270","1.280","1.140","1.280","450,000"
09/29/2022,"1.250","1.360","1.250","1.360","105,000"
09/28/2022,"1.250","1.250","1.200","1.250","514,000"
09/27/2022,"1.340","1.340","1.250","1.310","279,000"
09/23/2022,"1.370","1.460","1.350","1.420","387,000"
09/22/2022,"1.500","1.500","1.400","1.480","199,000"
09/21/2022,"1.450","1.500","1.450","1.500","50,000"
09/20/2022,"1.500","1.520","1.450","1.500","88,000"
09/19/2022,"1.450","1.510","1.430","1.500","229,000"
09/16/2022,"1.460","1.500","1.460","1.500","145,000"
09/15/2022,"1.510","1.510","1.460","1.510","86,000"
09/14/2022,"1.500","1.510","1.460","1.510","192,000"
09/13/2022,"1.510","1.550","1.500","1.550","253,000"
09/12/2022,"1.560","1.560","1.500","1.560","120,000"
09/09/2022,"1.560","1.570","1.470","1.570","723,000"
09/08/2022,"1.550","1.590","1.530","1.560","546,000"
09/07/2022,"1.460","1.550","1.410","1.540","993,000"
09/06/2022,"1.350","1.460","1.290","1.450","1,143,000"
09/05/2022,"1.280","1.320","1.280","1.320","242,000"
09/02/2022,"1.310","1.320","1.270","1.320","161,000"
09/01/2022,"1.240","1.310","1.240","1.310","310,000"
08/31/2022,"1.300","1.300","1.230","1.300","265,000"
08/30/2022,"1.270","1.300","1.220","1.300","254,000"
08/26/2022,"1.230","1.300","1.210","1.300","392,000"
08/25/2022,"1.240","1.280","1.210","1.280","546,000"
08/24/2022,"1.270","1.270","1.230","1.270","559,000"
08/23/2022,"1.260","1.270","1.230","1.270","387,000"
08/22/2022,"1.280","1.300","1.260","1.280","230,000"
08/19/2022,"1.240","1.280","1.240","1.280","634,000"
08/18/2022,"1.180","1.240","1.180","1.240","937,000"
08/17/2022,"1.160","1.200","1.160","1.190","620,000"
08/16/2022,"1.180","1.190","1.160","1.180","696,000"
08/15/2022,"1.150","1.180","1.150","1.180","1,140,000"
08/12/2022,"1.160","1.180","1.160","1.170","332,000"
08/11/2022,"1.170","1.190","1.160","1.160","339,000"
08/10/2022,"1.200","1.200","1.180","1.190","145,000"
08/09/2022,"1.200","1.210","1.160","1.200","95,000"
08/08/2022,"1.150","1.200","1.140","1.200","273,000"
08/05/2022,"1.150","1.230","1.150","1.160","222,000"
08/04/2022,"1.180","1.190","1.150","1.190","95,000"
08/03/2022,"1.160","1.190","1.150","1.180","255,000"
08/02/2022,"1.150","1.190","1.150","1.190","82,000"
08/01/2022,"1.150","1.190","1.150","1.190","1,026,000"
07/29/2022,"1.170","1.200","1.160","1.190","274,000"
07/28/2022,"1.200","1.200","1.150","1.180","87,000"
07/27/2022,"1.200","1.200","1.150","1.200","372,000"
07/26/2022,"1.120","1.210","1.120","1.210","784,000"
07/25/2022,"1.220","1.220","1.070","1.120","4,685,000"
07/22/2022,"1.280","1.280","1.250","1.270","106,000"
07/21/2022,"1.280","1.280","1.230","1.250","655,000"
07/20/2022,"1.280","1.280","1.230","1.280","95,000"
07/19/2022,"1.250","1.280","1.250","1.280","55,000"
07/18/2022,"1.230","1.280","1.230","1.280","21,000"
07/15/2022,"1.310","1.310","1.230","1.290","182,000"
07/14/2022,"1.290","1.290","1.250","1.280","80,000"
07/13/2022,"1.230","1.290","1.230","1.290","209,000"
07/12/2022,"1.270","1.270","1.250","1.250","498,000"
07/11/2022,"1.280","1.280","1.260","1.270","37,000"
07/08/2022,"1.280","1.290","1.260","1.280","493,000"
07/07/2022,"1.300","1.310","1.270","1.310","271,000"
07/06/2022,"1.300","1.350","1.300","1.350","238,000"
07/05/2022,"1.340","1.350","1.300","1.300","14,000"
07/04/2022,"1.350","1.390","1.250","1.300","697,000"
07/01/2022,"1.380","1.380","1.330","1.330","91,000"
06/30/2022,"1.390","1.390","1.390","1.390","46,000"
06/29/2022,"1.320","1.390","1.320","1.390","29,000"
06/28/2022,"1.360","1.380","1.330","1.380","197,000"
06/27/2022,"1.360","1.360","1.300","1.360","228,000"
06/24/2022,"1.340","1.350","1.340","1.340","30,000"
06/23/2022,"1.350","1.350","1.330","1.330","240,000"
06/22/2022,"1.350","1.350","1.320","1.320","65,000"
06/21/2022,"1.360","1.360","1.300","1.360","111,000"
06/20/2022,"1.390","1.390","1.360","1.380","111,000"
06/17/2022,"1.350","1.390","1.340","1.390","106,000"
06/16/2022,"1.370","1.390","1.360","1.380","124,000"
06/15/2022,"1.350","1.390","1.300","1.370","210,000"
06/14/2022,"1.260","1.350","1.260","1.350","262,000"
06/13/2022,"1.340","1.380","1.300","1.380","300,000"
06/10/2022,"1.370","1.370","1.330","1.340","393,000"
06/09/2022,"1.400","1.420","1.380","1.390","308,000"
06/08/2022,"1.450","1.470","1.400","1.420","1,616,000"
06/07/2022,"1.470","1.480","1.450","1.450","91,000"
06/06/2022,"1.460","1.480","1.450","1.480","127,000"
06/03/2022,"1.470","1.490","1.460","1.480","70,000"
06/02/2022,"1.500","1.500","1.450","1.470","131,000"
06/01/2022,"1.480","1.480","1.470","1.480","27,000"
05/31/2022,"1.480","1.480","1.480","1.480","31,000"
05/30/2022,"1.460","1.500","1.450","1.500","486,000"
05/27/2022,"1.500","1.500","1.470","1.470","420,000"
05/26/2022,"1.540","1.540","1.500","1.500","329,000"
05/25/2022,"1.560","1.560","1.510","1.540","310,000"
05/24/2022,"1.560","1.580","1.510","1.560","246,000"
05/23/2022,"1.550","1.590","1.550","1.550","102,000"
05/20/2022,"1.570","1.590","1.540","1.570","84,000"
05/19/2022,"1.570","1.590","1.530","1.590","210,000"
05/18/2022,"1.540","1.600","1.520","1.600","146,000"
05/17/2022,"1.600","1.610","1.550","1.550","250,000"
05/16/2022,"1.530","1.600","1.530","1.600","279,000"
05/13/2022,"1.520","1.550","1.470","1.500","707,000"
05/12/2022,"1.630","1.630","1.520","1.580","521,000"
05/11/2022,"1.620","1.730","1.620","1.630","1,867,000"
05/10/2022,"1.480","1.600","1.460","1.590","1,202,000"
05/06/2022,"1.500","1.500","1.490","1.490","91,000"
