Date,Open,High,Low,Close,Volume
12/16/2024,"40.10","40.10","40.10","40.10","300"
12/11/2024,"45.00","45.00","40.10","40.10","1,400"
12/04/2024,"40.10","40.10","40.10","40.10","600"
11/29/2024,"40.10","40.10","40.10","40.10","100"
11/28/2024,"40.10","40.10","40.10","40.10","100"
11/22/2024,"40.10","40.10","40.10","40.10","1,600"
11/21/2024,"40.15","40.15","40.10","40.10","2,400"
10/31/2024,"41.00","41.00","41.00","41.00","500"
10/28/2024,"40.10","40.10","40.10","40.10","100"
10/25/2024,"40.10","40.10","40.10","40.10","200"
10/16/2024,"40.10","40.10","40.10","40.10","200"
10/15/2024,"40.10","40.10","40.10","40.10","500"
10/08/2024,"40.10","40.10","40.10","40.10","700"
09/26/2024,"40.00","40.00","40.00","40.00","900"
09/23/2024,"41.05","41.05","41.05","41.05","1,000"
09/18/2024,"41.00","41.00","41.00","41.00","600"
09/16/2024,"41.00","41.00","41.00","41.00","200"
08/12/2024,"41.05","41.05","41.05","41.05","200"
08/08/2024,"44.00","44.00","44.00","44.00","500"
08/06/2024,"44.95","45.00","44.95","45.00","3,600"
07/16/2024,"44.00","44.00","44.00","44.00","100"
07/09/2024,"42.00","42.00","42.00","42.00","5,000"
07/05/2024,"44.05","44.05","44.00","44.00","2,100"
05/20/2024,"45.00","45.00","45.00","45.00","100"
05/17/2024,"45.05","45.05","45.05","45.05","100"
05/16/2024,"45.05","45.05","45.05","45.05","200"
05/15/2024,"45.05","45.05","45.00","45.00","400"
05/03/2024,"44.00","44.05","44.00","44.05","800"
04/30/2024,"43.10","43.10","43.10","43.10","200"
04/05/2024,"42.05","42.05","42.00","42.00","300"
04/04/2024,"42.15","42.15","42.15","42.15","100"
03/21/2024,"45.00","45.00","45.00","45.00","200"
03/15/2024,"44.00","44.00","42.05","44.00","9,600"
03/12/2024,"44.00","44.00","44.00","44.00","1,000"
03/11/2024,"44.00","44.00","44.00","44.00","3,500"
02/22/2024,"40.20","40.20","40.10","40.10","4,100"
02/12/2024,"40.05","40.05","40.05","40.05","2,600"
02/06/2024,"40.10","40.10","40.00","40.00","800"
02/05/2024,"40.05","40.05","40.00","40.00","600"
01/31/2024,"50.00","50.00","50.00","50.00","250"
01/29/2024,"50.00","50.00","50.00","50.00","700"
01/23/2024,"42.00","42.00","42.00","42.00","200"
01/19/2024,"43.00","43.00","43.00","43.00","500"
01/18/2024,"43.00","43.00","43.00","43.00","800"
01/17/2024,"41.35","42.10","41.35","42.10","1,020"
01/12/2024,"58.40","58.40","58.40","58.40","880"
01/04/2024,"59.45","59.45","58.95","59.00","210"
01/03/2024,"56.85","56.85","56.85","56.85","2,400"
