Date,Open,High,Low,Close,Volume
12/29/2020,"60.20","60.20","55.20","60.10","210"
12/28/2020,"54.80","60.80","54.80","60.50","360"
12/23/2020,"57.95","57.95","57.95","57.95","520"
12/22/2020,"57.00","57.00","54.70","54.70","480"
12/21/2020,"57.00","57.95","56.95","57.00","290"
12/17/2020,"54.70","56.75","54.70","56.75","740"
12/16/2020,"54.65","54.65","54.65","54.65","140"
12/14/2020,"54.50","57.80","54.50","57.65","160"
12/11/2020,"57.50","58.10","54.05","58.10","3,370"
12/10/2020,"55.00","58.90","54.35","58.10","910"
12/09/2020,"61.20","61.20","56.00","59.70","490"
12/07/2020,"58.05","61.75","54.00","59.00","2,870"
12/04/2020,"59.00","60.00","58.00","58.00","800"
12/03/2020,"54.00","58.00","53.25","56.95","2,450"
12/02/2020,"55.00","60.00","55.00","58.00","3,210"
12/01/2020,"55.00","55.00","52.50","55.00","240"
11/27/2020,"55.20","55.20","55.20","55.20","20"
11/26/2020,"55.00","55.30","52.00","55.30","2,050"
11/25/2020,"53.00","55.10","53.00","55.10","110"
11/23/2020,"52.05","55.10","52.05","55.10","650"
11/20/2020,"55.10","55.10","52.00","54.00","100"
11/19/2020,"52.05","55.20","51.80","55.20","1,260"
11/18/2020,"55.30","55.30","55.30","55.30","50"
11/17/2020,"52.50","56.05","51.90","55.50","480"
11/16/2020,"52.05","55.70","52.05","55.50","320"
11/13/2020,"54.00","55.90","51.65","55.80","540"
11/11/2020,"55.50","55.50","55.50","55.50","490"
11/06/2020,"56.50","56.50","51.20","55.90","910"
11/05/2020,"54.50","58.40","54.50","57.00","110"
11/04/2020,"55.85","55.85","51.15","54.75","460"
11/03/2020,"52.05","56.00","51.15","56.00","200"
10/30/2020,"55.50","56.00","55.50","56.00","160"
10/29/2020,"55.40","55.60","53.00","55.50","630"
10/28/2020,"51.40","56.00","51.40","56.00","40"
10/27/2020,"58.00","58.00","55.90","56.00","930"
10/26/2020,"51.20","53.00","51.20","53.00","40"
10/23/2020,"53.90","53.90","53.90","53.90","60"
10/22/2020,"53.95","53.95","53.95","53.95","270"
10/21/2020,"53.95","53.95","53.95","53.95","40"
10/19/2020,"52.00","53.95","52.00","53.95","160"
10/16/2020,"51.30","53.95","51.30","53.95","200"
10/15/2020,"51.10","53.90","51.10","53.90","810"
10/14/2020,"51.10","53.95","51.05","53.95","1,460"
10/13/2020,"51.55","53.95","51.50","53.95","540"
10/12/2020,"53.00","54.00","53.00","53.95","120"
10/09/2020,"51.85","54.30","51.50","54.00","970"
10/08/2020,"54.50","54.50","54.00","54.00","150"
10/07/2020,"51.90","54.60","51.90","54.00","2,520"
10/06/2020,"51.60","54.50","51.60","54.50","1,010"
10/05/2020,"51.65","54.90","51.65","54.90","80"
10/02/2020,"51.60","54.50","51.60","54.00","7,180"
10/01/2020,"53.00","54.90","51.75","54.85","50"
09/29/2020,"56.00","56.00","52.05","55.95","320"
09/25/2020,"53.00","56.00","51.75","56.00","22,620"
09/22/2020,"52.00","56.90","51.10","56.00","1,920"
09/21/2020,"51.80","58.00","51.05","55.60","2,590"
09/18/2020,"51.50","59.00","51.50","53.00","640"
09/17/2020,"55.00","61.95","51.50","56.00","8,230"
09/16/2020,"52.00","54.85","52.00","54.85","20"
09/15/2020,"51.15","54.75","51.15","54.10","450"
09/10/2020,"55.00","55.00","55.00","55.00","10"
09/09/2020,"53.00","53.00","53.00","53.00","210"
09/08/2020,"52.00","55.00","52.00","55.00","410"
09/04/2020,"52.00","52.90","52.00","52.90","1,010"
09/03/2020,"53.90","53.90","53.90","53.90","30"
09/02/2020,"51.10","51.20","51.05","51.05","3,070"
08/28/2020,"52.25","52.25","52.25","52.25","300"
08/27/2020,"52.20","52.25","52.20","52.25","100"
08/26/2020,"52.25","54.75","52.25","54.75","70"
08/25/2020,"52.20","54.80","52.20","54.75","520"
08/24/2020,"54.95","54.95","54.95","54.95","10"
08/20/2020,"53.50","53.50","53.50","53.50","30"
08/19/2020,"53.00","53.50","52.30","53.50","580"
08/18/2020,"53.00","53.00","53.00","53.00","30"
08/17/2020,"53.00","53.00","53.00","53.00","20"
08/14/2020,"52.55","54.80","52.50","53.00","600"
08/13/2020,"54.95","54.95","52.05","54.80","1,250"
08/12/2020,"54.90","54.90","52.20","52.20","1,520"
08/11/2020,"52.05","56.75","52.05","54.95","1,650"
08/10/2020,"53.00","56.95","52.00","56.85","3,580"
08/07/2020,"58.10","58.10","53.00","57.00","800"
08/06/2020,"55.95","55.95","54.50","54.50","320"
08/05/2020,"52.20","56.00","51.30","53.00","2,010"
08/04/2020,"52.30","52.30","52.20","52.20","1,180"
08/03/2020,"58.30","58.30","51.30","52.05","17,250"
07/30/2020,"58.00","62.00","58.00","58.30","6,310"
07/29/2020,"62.95","62.95","58.05","62.45","57,500"
07/28/2020,"86.50","86.50","62.05","62.65","90,970"
07/27/2020,"58.00","87.15","58.00","87.10","186,390"
07/24/2020,"58.10","58.10","58.10","58.10","2,000"
07/22/2020,"58.00","58.10","58.00","58.10","300"
07/21/2020,"63.85","63.85","58.00","58.00","620"
07/20/2020,"64.35","64.35","64.35","64.35","10"
07/17/2020,"66.40","66.40","62.00","62.00","220"
07/16/2020,"58.00","58.00","58.00","58.00","1,100"
07/14/2020,"60.00","63.15","58.00","63.15","510"
07/10/2020,"66.00","66.00","65.00","65.00","590"
07/09/2020,"59.00","71.85","58.50","71.85","370"
07/07/2020,"58.10","65.00","58.10","65.00","30"
07/06/2020,"67.00","67.00","66.00","67.00","460"
07/03/2020,"72.75","72.75","56.00","64.00","2,860"
07/02/2020,"61.90","76.00","61.00","72.90","36,140"
07/01/2020,"51.50","52.90","51.15","52.90","23,000"
06/30/2020,"62.00","62.00","61.45","61.45","22,720"
06/29/2020,"50.75","62.45","50.75","62.45","22,630"
06/26/2020,"56.10","56.15","56.10","56.10","150"
06/25/2020,"56.15","56.15","56.15","56.15","70"
06/24/2020,"58.00","58.00","56.15","56.15","1,220"
06/23/2020,"59.95","60.00","59.50","60.00","1,130"
06/19/2020,"56.25","56.90","56.20","56.90","1,460"
06/18/2020,"64.40","64.40","64.40","64.40","20"
06/17/2020,"64.50","64.50","64.40","64.40","450"
06/16/2020,"56.50","59.00","56.45","59.00","140"
06/15/2020,"56.05","60.00","56.05","56.20","530"
06/10/2020,"63.00","63.00","62.00","62.00","140"
06/08/2020,"64.80","64.80","63.00","63.00","610"
06/05/2020,"51.55","64.00","51.55","64.00","370"
06/04/2020,"51.05","52.00","51.05","52.00","830"
06/03/2020,"50.05","50.05","50.05","50.05","10"
05/28/2020,"60.00","64.20","59.00","64.20","110"
05/18/2020,"64.80","64.80","64.80","64.80","10"
05/06/2020,"64.00","64.00","64.00","64.00","10"
05/04/2020,"64.50","64.50","64.00","64.00","240"
04/30/2020,"62.95","68.65","62.95","68.65","190"
04/29/2020,"51.00","63.00","50.55","62.95","11,580"
04/24/2020,"69.80","69.80","69.80","69.80","110"
04/23/2020,"60.00","69.80","60.00","69.80","420"
04/22/2020,"47.00","59.90","47.00","59.90","20"
04/20/2020,"41.15","56.00","41.15","56.00","100"
04/17/2020,"57.00","58.00","57.00","58.00","600"
04/07/2020,"48.00","48.00","48.00","48.00","200"
04/03/2020,"50.00","50.10","48.00","48.00","800"
03/30/2020,"45.50","45.50","45.50","45.50","10"
03/27/2020,"59.85","59.85","59.85","59.85","10"
03/26/2020,"59.90","59.90","59.90","59.90","10"
03/25/2020,"60.00","60.00","60.00","60.00","100"
03/24/2020,"61.50","61.50","45.00","50.00","120"
03/20/2020,"56.00","61.60","56.00","61.60","30"
03/19/2020,"43.00","56.00","27.50","56.00","70"
03/13/2020,"50.00","55.00","50.00","55.00","240"
03/12/2020,"55.00","55.00","50.10","55.00","1,040"
03/11/2020,"56.00","56.00","56.00","56.00","600"
03/10/2020,"55.00","56.00","55.00","56.00","590"
03/09/2020,"59.40","59.40","56.00","56.00","1,330"
03/03/2020,"59.50","62.00","59.50","62.00","280"
02/28/2020,"59.55","69.95","59.55","69.00","710"
02/27/2020,"59.55","62.00","59.55","62.00","450"
02/26/2020,"62.05","62.05","62.00","62.00","700"
02/24/2020,"62.05","62.10","62.05","62.05","160"
02/21/2020,"67.00","67.00","67.00","67.00","10"
02/20/2020,"66.50","73.10","66.50","73.10","650"
02/19/2020,"73.85","73.85","73.85","73.85","10"
02/18/2020,"63.00","63.00","63.00","63.00","20"
02/17/2020,"62.05","62.05","62.05","62.05","290"
02/14/2020,"64.00","80.00","62.25","62.25","1,230"
02/13/2020,"69.95","69.95","64.00","64.00","170"
02/12/2020,"61.00","61.00","61.00","61.00","10"
02/11/2020,"62.00","62.00","59.00","61.00","1,610"
02/10/2020,"62.90","62.90","62.90","62.90","30"
02/04/2020,"64.00","64.00","64.00","64.00","770"
01/31/2020,"65.00","65.00","64.00","64.00","830"
01/28/2020,"65.00","65.00","65.00","65.00","1,070"
01/27/2020,"67.10","67.10","66.00","66.00","4,660"
01/24/2020,"67.00","67.00","67.00","67.00","190"
01/23/2020,"68.00","68.00","68.00","68.00","150"
01/22/2020,"68.00","68.00","68.00","68.00","50"
01/21/2020,"68.00","68.00","66.95","67.05","1,000"
01/20/2020,"70.95","70.95","68.00","68.00","460"
01/17/2020,"67.80","70.75","67.75","70.75","500"
01/16/2020,"70.95","70.95","67.15","67.30","1,960"
01/15/2020,"68.00","71.00","67.00","71.00","470"
01/14/2020,"69.95","70.00","68.00","68.00","850"
01/10/2020,"72.85","72.85","71.00","71.00","290"
01/09/2020,"72.80","72.80","66.80","66.80","860"
01/08/2020,"73.95","73.95","73.95","73.95","10"
01/07/2020,"67.00","67.00","67.00","67.00","490"
01/06/2020,"70.00","70.00","66.55","67.00","680"
01/03/2020,"66.55","72.45","66.55","72.45","210"
