Date,Open,High,Low,Close,Volume
12/22/2022,"9.93","9.93","9.77","9.77","200"
12/20/2022,"8.92","8.92","8.92","8.92","3,400"
12/15/2022,"9.90","9.90","9.90","9.90","100"
12/13/2022,"10.46","10.46","9.58","9.58","200"
12/12/2022,"9.46","10.60","9.36","9.96","9,200"
12/09/2022,"8.92","8.92","8.92","8.92","1,000"
12/07/2022,"8.89","8.89","8.89","8.89","1,000"
12/05/2022,"8.72","8.72","8.72","8.72","200"
12/01/2022,"9.02","9.02","9.02","9.02","100"
11/29/2022,"8.65","9.01","8.65","9.01","200"
11/23/2022,"10.60","10.60","10.60","10.60","400"
11/22/2022,"10.62","10.62","10.62","10.62","600"
11/17/2022,"10.60","10.60","10.60","10.60","300"
11/16/2022,"10.62","10.62","10.00","10.00","10,700"
11/15/2022,"8.51","8.51","8.50","8.50","3,000"
11/14/2022,"9.50","9.50","9.50","9.50","7,200"
11/11/2022,"9.75","10.62","9.50","9.50","4,100"
11/10/2022,"8.79","9.43","8.79","9.38","2,100"
11/09/2022,"10.40","10.64","9.90","10.64","1,000"
11/08/2022,"8.03","10.66","8.00","10.66","7,000"
10/27/2022,"9.60","9.60","9.60","9.60","2,500"
10/26/2022,"9.60","9.60","9.60","9.60","500"
10/18/2022,"10.00","10.00","10.00","10.00","1,800"
09/30/2022,"10.00","10.00","10.00","10.00","1,900"
09/29/2022,"9.83","9.83","9.80","9.80","4,100"
09/21/2022,"10.00","11.38","10.00","11.38","6,600"
09/13/2022,"10.00","10.00","10.00","10.00","100"
09/07/2022,"10.00","10.00","10.00","10.00","1,100"
09/06/2022,"10.14","10.14","10.00","10.00","4,300"
09/05/2022,"10.18","10.18","10.16","10.16","2,200"
09/02/2022,"10.16","10.16","10.16","10.16","700"
08/25/2022,"11.48","11.48","11.48","11.48","1,000"
08/24/2022,"11.46","11.46","11.46","11.46","500"
08/18/2022,"10.98","11.48","10.98","11.48","2,000"
08/17/2022,"9.52","10.94","9.52","10.94","3,400"
08/16/2022,"10.98","10.98","10.96","10.98","2,600"
08/15/2022,"10.96","10.96","10.96","10.96","900"
08/12/2022,"10.32","10.36","10.32","10.36","2,400"
08/11/2022,"10.32","10.32","10.32","10.32","100"
08/10/2022,"10.30","10.30","10.20","10.20","1,600"
08/09/2022,"10.32","10.32","10.22","10.22","1,000"
08/05/2022,"10.12","10.20","10.04","10.04","2,600"
07/25/2022,"10.00","10.00","9.13","9.13","3,100"
07/22/2022,"10.02","10.02","9.95","9.98","2,500"
07/21/2022,"9.20","9.20","9.16","9.20","4,700"
07/15/2022,"9.18","9.18","9.15","9.15","9,900"
07/14/2022,"9.20","9.20","9.20","9.20","6,700"
07/12/2022,"9.22","9.50","9.18","9.50","9,700"
07/11/2022,"9.32","9.32","9.32","9.32","1,000"
07/08/2022,"9.20","9.20","9.20","9.20","2,200"
07/04/2022,"9.75","9.75","9.75","9.75","4,500"
07/01/2022,"9.75","9.75","9.75","9.75","1,000"
06/28/2022,"10.00","10.00","10.00","10.00","6,300"
06/27/2022,"10.12","10.12","10.00","10.08","13,100"
06/23/2022,"10.10","10.10","10.08","10.08","2,600"
06/22/2022,"11.08","11.10","11.08","11.10","500"
06/21/2022,"11.10","11.10","11.10","11.10","300"
06/16/2022,"10.10","10.10","10.10","10.10","300"
06/09/2022,"10.08","10.08","10.08","10.08","900"
06/08/2022,"10.08","10.08","10.08","10.08","4,000"
06/06/2022,"10.02","10.16","10.02","10.16","5,400"
05/26/2022,"11.00","11.00","11.00","11.00","1,600"
05/23/2022,"11.02","11.02","11.00","11.00","1,700"
05/19/2022,"11.44","11.44","11.40","11.40","1,000"
05/18/2022,"11.52","11.52","11.40","11.44","17,800"
05/06/2022,"12.00","12.00","12.00","12.00","400"
