Date,Open,High,Low,Close,Volume
12/29/2020,"46.12","46.44","45.29","46.21","925,737"
12/28/2020,"45.75","46.67","44.84","46.39","1,663,089"
12/23/2020,"46.67","48.50","44.84","48.31","1,268,223"
12/22/2020,"49.78","49.78","46.07","47.35","2,080,031"
12/21/2020,"52.89","53.16","48.73","50.14","1,279,381"
12/18/2020,"49.60","53.35","49.60","52.43","2,617,852"
12/17/2020,"46.21","50.05","46.03","49.41","2,038,656"
12/16/2020,"45.75","46.62","45.75","45.94","369,796"
12/15/2020,"46.26","46.67","45.61","45.75","871,969"
12/14/2020,"45.75","46.67","45.39","46.21","957,440"
12/11/2020,"46.48","46.48","45.57","45.75","1,567,498"
12/10/2020,"46.94","46.94","46.35","46.48","532,870"
12/09/2020,"47.12","47.12","46.21","46.99","1,094,089"
12/07/2020,"46.94","47.35","46.21","46.94","730,074"
12/04/2020,"47.03","47.54","46.53","46.94","602,528"
12/03/2020,"45.75","46.67","45.75","46.39","1,116,449"
12/02/2020,"46.03","46.07","44.79","45.48","640,942"
12/01/2020,"43.01","46.07","43.01","45.98","1,153,168"
11/27/2020,"44.15","44.38","41.18","43.01","1,361,246"
11/26/2020,"45.75","45.75","44.15","44.15","1,576,700"
11/25/2020,"47.12","47.58","46.21","46.21","848,014"
11/24/2020,"47.12","47.77","45.02","46.67","2,014,449"
11/23/2020,"45.75","47.31","45.61","46.90","2,158,584"
11/20/2020,"45.75","47.45","44.06","45.48","2,896,035"
11/19/2020,"44.43","45.66","44.43","45.34","2,386,770"
11/18/2020,"41.82","44.29","41.82","43.56","2,429,719"
11/17/2020,"40.54","41.41","40.17","41.36","1,787,673"
11/16/2020,"39.12","40.08","39.07","39.62","1,066,069"
11/13/2020,"40.08","40.08","38.94","39.12","1,075,030"
11/11/2020,"41.18","41.63","39.76","40.26","2,126,782"
11/10/2020,"40.72","41.63","39.07","40.95","4,474,210"
11/09/2020,"37.15","37.15","35.27","35.87","1,573,039"
11/06/2020,"36.33","37.11","36.28","36.69","1,190,871"
11/05/2020,"35.78","36.60","35.55","36.28","792,749"
11/04/2020,"34.86","36.10","34.86","35.69","369,600"
11/03/2020,"35.50","35.92","34.68","34.86","943,452"
10/30/2020,"36.14","36.42","35.37","35.50","416,920"
10/29/2020,"36.24","36.24","35.27","35.60","387,085"
10/28/2020,"35.69","36.51","35.69","36.24","329,602"
10/27/2020,"37.20","37.20","35.41","35.73","1,106,613"
10/26/2020,"38.11","38.52","36.83","37.24","603,577"
10/23/2020,"37.56","38.52","37.24","37.65","931,321"
10/22/2020,"37.52","38.39","36.78","37.24","879,302"
10/21/2020,"38.98","39.26","36.78","37.24","1,428,237"
10/20/2020,"35.78","39.35","35.78","38.16","2,618,562"
10/19/2020,"36.24","36.51","35.69","35.73","791,437"
10/16/2020,"34.41","34.77","33.81","34.77","708,381"
10/15/2020,"33.86","34.50","33.86","34.41","86,444"
10/14/2020,"33.63","34.63","33.63","33.86","336,377"
10/13/2020,"34.82","34.82","33.86","33.86","300,969"
10/12/2020,"34.77","35.09","34.31","34.86","191,248"
10/09/2020,"34.22","35.50","33.86","34.31","370,146"
10/08/2020,"33.95","34.73","33.40","33.54","191,466"
10/07/2020,"33.44","34.68","33.44","33.95","123,273"
10/06/2020,"34.41","34.41","33.31","33.44","340,311"
10/05/2020,"35.69","35.69","34.31","34.45","399,871"
10/02/2020,"36.51","36.60","35.23","35.69","448,721"
10/01/2020,"34.54","36.46","34.54","36.33","752,860"
09/30/2020,"33.40","34.73","33.35","34.54","230,590"
09/29/2020,"33.86","34.22","33.22","33.31","274,959"
09/28/2020,"33.99","34.36","33.81","33.86","406,319"
09/25/2020,"33.44","34.22","33.44","33.81","301,188"
09/24/2020,"33.03","34.22","33.03","33.44","87,974"
09/23/2020,"33.12","33.17","32.94","32.99","289,276"
09/22/2020,"33.49","33.81","32.94","33.12","266,107"
09/21/2020,"33.86","33.86","33.17","33.40","174,527"
09/18/2020,"34.68","34.68","33.86","33.86","365,447"
09/17/2020,"34.86","34.95","34.50","34.68","139,010"
09/16/2020,"34.86","35.00","34.54","34.77","194,089"
09/15/2020,"34.31","35.23","34.31","34.77","239,442"
09/14/2020,"34.31","34.59","33.99","34.36","221,738"
09/11/2020,"33.54","34.50","33.54","34.31","160,757"
09/10/2020,"34.77","34.77","33.17","33.54","464,896"
09/09/2020,"35.27","35.64","33.90","34.59","162,834"
09/08/2020,"33.86","35.32","33.44","35.27","1,102,351"
09/07/2020,"32.85","33.77","32.85","33.77","102,181"
09/04/2020,"32.94","32.99","32.58","32.62","90,706"
09/03/2020,"33.35","33.40","32.71","32.71","117,481"
09/02/2020,"33.72","33.72","32.48","32.94","284,139"
09/01/2020,"32.76","33.77","32.67","32.94","374,080"
08/28/2020,"32.80","32.99","32.53","32.62","705,540"
08/27/2020,"33.40","33.81","32.48","32.94","357,797"
08/26/2020,"33.77","33.81","33.31","33.35","298,018"
08/25/2020,"34.77","34.77","33.54","33.77","289,057"
08/24/2020,"35.69","35.69","33.99","34.13","265,998"
08/20/2020,"35.37","35.69","35.14","35.14","133,983"
08/19/2020,"36.14","36.42","35.46","35.55","187,969"
08/18/2020,"36.10","36.14","35.46","35.69","167,970"
08/17/2020,"36.69","36.69","34.68","36.10","149,610"
08/14/2020,"36.69","37.24","36.60","36.69","254,851"
08/13/2020,"37.33","37.33","36.24","36.60","207,094"
08/12/2020,"36.24","37.52","36.19","37.52","261,517"
08/11/2020,"34.41","36.19","34.41","35.55","198,242"
08/10/2020,"34.41","34.77","33.63","34.31","78,029"
08/07/2020,"34.68","34.68","33.63","34.41","98,902"
08/06/2020,"36.14","36.14","34.45","34.68","125,131"
08/05/2020,"32.30","36.33","32.30","36.28","639,423"
08/04/2020,"32.12","32.48","32.12","32.30","137,917"
08/03/2020,"33.77","33.77","32.12","32.12","311,788"
07/30/2020,"33.99","34.41","33.86","34.41","132,562"
07/29/2020,"34.04","34.31","33.99","34.18","197,149"
07/28/2020,"33.90","33.99","33.67","33.99","164,801"
07/27/2020,"34.86","34.86","33.86","33.90","210,809"
07/24/2020,"35.32","35.32","34.95","35.14","262,173"
07/23/2020,"37.01","37.01","34.77","35.32","166,768"
07/22/2020,"36.51","37.01","36.14","36.60","63,166"
07/21/2020,"35.92","36.51","35.73","36.51","76,499"
07/20/2020,"35.37","35.78","35.23","35.41","118,464"
07/17/2020,"37.11","37.11","34.95","35.18","254,523"
07/16/2020,"35.82","37.24","35.82","36.42","86,881"
07/15/2020,"36.74","36.74","35.69","35.78","193,652"
07/14/2020,"36.83","37.52","36.60","36.74","129,283"
07/13/2020,"36.33","37.47","36.24","36.83","221,738"
07/10/2020,"38.61","38.80","36.60","37.65","157,807"
07/09/2020,"38.02","38.80","37.97","38.61","128,518"
07/08/2020,"40.40","40.40","36.69","37.88","377,031"
07/07/2020,"40.26","40.99","39.90","40.08","378,779"
07/06/2020,"39.39","41.04","39.35","39.80","484,239"
07/03/2020,"39.80","41.36","38.07","39.26","499,976"
07/02/2020,"36.88","39.35","36.19","39.35","565,984"
07/01/2020,"36.97","37.01","36.19","36.60","155,839"
06/30/2020,"37.52","37.52","36.24","36.24","614,724"
06/29/2020,"38.39","38.39","35.69","36.37","353,644"
06/26/2020,"36.14","38.43","36.14","38.43","502,599"
06/25/2020,"37.06","37.47","36.14","36.14","579,098"
06/24/2020,"37.97","38.34","37.52","37.97","852,746"
06/23/2020,"38.43","38.71","37.75","38.25","380,747"
06/22/2020,"38.43","39.07","37.79","38.43","439,760"
06/19/2020,"39.07","39.35","37.52","38.34","1,486,595"
06/18/2020,"40.81","41.09","38.48","39.35","779,853"
06/17/2020,"42.55","42.96","39.85","40.67","1,184,314"
06/16/2020,"40.81","42.09","40.26","41.13","860,396"
06/15/2020,"42.96","43.01","40.26","40.26","1,108,690"
06/11/2020,"44.38","45.11","42.09","44.84","856,461"
06/10/2020,"46.03","47.12","44.93","44.93","1,009,929"
06/09/2020,"49.23","50.33","44.70","47.67","1,468,902"
06/08/2020,"42.37","47.58","42.37","47.35","1,226,607"
06/05/2020,"40.99","42.37","39.07","41.82","793,732"
06/04/2020,"40.35","40.81","38.11","40.81","745,210"
06/03/2020,"41.18","42.18","36.74","40.03","1,251,306"
06/02/2020,"36.60","40.99","36.60","39.35","1,076,669"
06/01/2020,"34.59","36.05","34.31","35.92","906,186"
05/29/2020,"32.03","37.43","32.03","32.99","2,435,401"
05/28/2020,"31.02","31.02","29.97","30.38","1,555,772"
05/27/2020,"29.28","29.92","28.82","29.10","599,752"
05/26/2020,"32.35","32.48","28.41","28.55","941,703"
05/22/2020,"34.22","34.31","32.26","32.35","520,521"
05/21/2020,"36.19","36.60","34.31","34.31","346,868"
05/20/2020,"37.43","38.20","36.10","36.10","111,798"
05/19/2020,"36.74","39.35","36.33","36.60","130,813"
05/18/2020,"38.39","39.80","35.50","36.24","220,973"
05/15/2020,"39.26","40.08","38.34","38.39","132,999"
05/14/2020,"40.22","40.22","39.16","39.16","127,972"
05/13/2020,"39.99","39.99","39.53","39.67","101,088"
05/12/2020,"41.18","41.27","39.35","39.58","248,403"
05/11/2020,"40.86","41.68","40.86","41.13","142,616"
05/08/2020,"42.82","43.01","40.72","40.72","442,383"
05/07/2020,"43.01","43.78","42.05","42.82","291,571"
05/06/2020,"43.01","43.46","42.50","42.60","167,533"
05/05/2020,"42.87","43.92","42.82","43.92","169,500"
05/04/2020,"43.92","43.92","41.18","42.87","299,548"
04/30/2020,"45.75","45.80","43.33","44.24","444,241"
04/29/2020,"45.52","45.75","44.93","45.20","83,603"
04/28/2020,"44.24","44.84","43.78","44.84","129,502"
04/27/2020,"43.51","44.20","43.28","44.20","153,326"
04/24/2020,"43.05","43.92","43.01","43.51","150,594"
04/23/2020,"43.78","45.11","43.05","43.05","335,175"
04/22/2020,"45.43","45.48","43.01","43.69","388,834"
04/21/2020,"48.36","48.36","45.29","45.43","226,645"
04/20/2020,"47.40","48.95","47.40","48.36","105,317"
04/17/2020,"48.54","49.41","47.08","47.35","274,347"
04/16/2020,"49.41","49.50","45.39","46.12","298,007"
04/15/2020,"46.85","49.87","46.85","49.23","505,877"
04/14/2020,"45.75","47.12","45.75","46.30","506,751"
04/13/2020,"43.97","45.75","43.92","45.39","198,460"
04/08/2020,"46.62","47.54","43.92","43.97","550,126"
04/07/2020,"44.61","47.58","44.38","46.62","377,687"
04/06/2020,"42.64","44.29","42.14","44.01","153,544"
04/03/2020,"42.09","42.87","41.50","42.64","166,768"
04/02/2020,"42.09","42.55","41.09","41.63","142,725"
04/01/2020,"42.55","42.92","40.26","41.68","284,576"
03/31/2020,"43.01","43.46","41.18","41.45","308,291"
03/30/2020,"39.76","42.55","37.52","42.55","334,410"
03/27/2020,"38.34","40.72","37.97","39.76","654,176"
03/26/2020,"35.50","38.25","35.50","37.52","846,735"
03/25/2020,"33.86","38.89","33.86","35.23","720,621"
03/24/2020,"34.77","35.64","32.94","33.03","291,898"
03/23/2020,"36.56","36.60","32.03","33.58","295,068"
03/20/2020,"36.60","37.97","35.82","36.51","378,998"
03/19/2020,"42.09","42.09","35.32","35.41","1,028,584"
03/16/2020,"43.92","44.61","42.09","43.56","238,786"
03/13/2020,"41.18","48.36","41.18","43.92","626,866"
03/12/2020,"60.39","60.39","51.29","53.07","176,461"
03/11/2020,"58.79","59.20","58.70","58.93","350,267"
03/10/2020,"60.76","60.76","58.56","58.79","161,850"
03/09/2020,"65.24","65.24","60.67","60.76","307,712"
03/06/2020,"68.58","68.58","65.20","65.24","196,023"
03/05/2020,"68.40","69.22","68.40","68.58","19,300"
03/04/2020,"70.55","70.64","67.26","68.40","142,201"
03/03/2020,"67.03","71.37","67.03","70.55","160,845"
03/02/2020,"66.80","69.96","66.48","66.98","150,769"
02/28/2020,"70.37","71.42","66.80","67.30","198,897"
02/27/2020,"70.28","70.37","69.73","70.37","322,629"
02/26/2020,"69.73","70.41","67.71","70.28","125,426"
02/24/2020,"72.84","72.97","69.77","69.77","151,534"
02/21/2020,"74.12","75.03","72.88","73.02","118,978"
02/20/2020,"73.20","74.12","72.88","73.89","77,614"
02/19/2020,"73.48","73.75","72.75","73.20","410,417"
02/18/2020,"73.66","73.75","72.75","73.48","106,836"
02/17/2020,"72.38","74.12","72.33","73.48","37,200"
02/14/2020,"72.29","73.20","71.37","71.83","61,079"
