Date,Open,High,Low,Close,Volume
12/29/2022,"0.075","0.079","0.075","0.079","150,000"
12/22/2022,"0.080","0.080","0.080","0.080","60,000"
12/21/2022,"0.078","0.080","0.075","0.075","1,430,000"
12/20/2022,"0.075","0.079","0.073","0.079","6,250,000"
12/19/2022,"0.076","0.079","0.075","0.079","2,590,000"
12/16/2022,"0.076","0.079","0.076","0.079","3,110,000"
12/15/2022,"0.076","0.079","0.076","0.079","40,000"
12/14/2022,"0.076","0.079","0.076","0.079","30,000"
12/13/2022,"0.079","0.079","0.076","0.076","450,000"
12/12/2022,"0.076","0.079","0.076","0.079","720,000"
12/09/2022,"0.079","0.079","0.079","0.079","10,000"
12/07/2022,"0.076","0.081","0.076","0.080","50,000"
12/06/2022,"0.076","0.076","0.076","0.076","1,000,000"
12/05/2022,"0.080","0.080","0.076","0.080","1,190,000"
12/02/2022,"0.080","0.080","0.080","0.080","10,000"
12/01/2022,"0.077","0.080","0.077","0.080","670,000"
11/29/2022,"0.080","0.080","0.080","0.080","80,000"
11/28/2022,"0.076","0.080","0.076","0.076","3,080,000"
11/25/2022,"0.077","0.077","0.076","0.077","1,450,000"
11/24/2022,"0.080","0.080","0.079","0.079","20,000"
11/23/2022,"0.076","0.080","0.076","0.080","60,000"
11/22/2022,"0.076","0.080","0.076","0.080","1,110,000"
11/21/2022,"0.077","0.077","0.076","0.077","2,040,000"
11/18/2022,"0.077","0.080","0.077","0.078","680,000"
11/17/2022,"0.077","0.080","0.077","0.077","1,640,000"
11/15/2022,"0.079","0.081","0.079","0.081","300,000"
11/11/2022,"0.081","0.081","0.077","0.081","130,000"
11/10/2022,"0.081","0.081","0.081","0.081","10,000"
11/09/2022,"0.077","0.081","0.077","0.081","90,000"
11/08/2022,"0.077","0.081","0.077","0.081","310,000"
11/07/2022,"0.077","0.077","0.077","0.077","830,000"
11/04/2022,"0.078","0.080","0.078","0.080","20,000"
11/03/2022,"0.078","0.078","0.078","0.078","51,480,000"
11/02/2022,"0.081","0.081","0.080","0.080","20,000"
10/28/2022,"0.079","0.079","0.079","0.079","10,000"
10/27/2022,"0.078","0.078","0.077","0.077","1,680,000"
10/26/2022,"0.078","0.081","0.078","0.081","90,000"
10/24/2022,"0.080","0.080","0.080","0.080","210,000"
10/18/2022,"0.079","0.082","0.078","0.082","650,000"
10/17/2022,"0.081","0.081","0.081","0.081","110,000"
10/14/2022,"0.078","0.081","0.078","0.081","87,550,000"
10/13/2022,"0.078","0.080","0.078","0.080","650,000"
10/12/2022,"0.080","0.080","0.080","0.080","10,000"
10/11/2022,"0.080","0.080","0.078","0.078","160,000"
10/10/2022,"0.078","0.078","0.078","0.078","170,000"
10/07/2022,"0.079","0.081","0.078","0.081","260,000"
10/05/2022,"0.079","0.082","0.079","0.082","150,000"
10/04/2022,"0.079","0.082","0.079","0.082","170,000"
10/03/2022,"0.079","0.082","0.079","0.082","30,000"
09/30/2022,"0.079","0.079","0.079","0.079","950,000"
09/29/2022,"0.079","0.080","0.079","0.080","560,000"
09/28/2022,"0.079","0.083","0.079","0.080","2,070,000"
09/27/2022,"0.080","0.080","0.079","0.079","460,000"
09/23/2022,"0.080","0.083","0.080","0.083","40,000"
09/22/2022,"0.082","0.082","0.079","0.079","350,000"
09/21/2022,"0.080","0.082","0.079","0.082","1,290,000"
09/19/2022,"0.080","0.082","0.079","0.082","1,180,000"
09/16/2022,"0.079","0.082","0.079","0.082","30,000"
