Date,Open,High,Low,Close,Volume
12/29/2021,"5.82","5.82","5.82","5.82","2,640"
12/28/2021,"5.41","5.41","5.41","5.41","120"
12/22/2021,"5.42","5.42","5.41","5.41","59,640"
12/21/2021,"5.45","5.45","5.41","5.41","22,560"
12/17/2021,"5.64","5.64","5.64","5.64","1,200"
12/13/2021,"5.43","5.43","5.43","5.43","960"
12/09/2021,"5.74","5.74","5.74","5.74","600"
11/29/2021,"5.80","5.80","5.80","5.80","480"
11/26/2021,"5.82","5.82","5.42","5.42","2,280"
11/15/2021,"5.41","5.41","5.41","5.41","1,440"
11/09/2021,"5.41","5.41","5.41","5.41","1,088,880"
11/02/2021,"5.41","5.41","5.41","5.41","480"
10/29/2021,"5.42","5.42","5.42","5.42","3,960"
10/28/2021,"5.42","5.42","5.42","5.42","12,600"
10/27/2021,"5.42","5.42","5.41","5.42","43,440"
10/25/2021,"5.55","5.55","5.42","5.42","8,640"
10/19/2021,"5.57","5.57","5.54","5.55","2,640"
10/06/2021,"5.81","5.88","5.52","5.52","5,520"
10/04/2021,"5.57","5.57","5.57","5.57","2,160"
09/23/2021,"5.67","5.83","5.67","5.83","2,280"
09/22/2021,"5.52","5.52","5.52","5.52","2,040"
09/17/2021,"5.66","5.66","5.66","5.66","1,800"
09/16/2021,"5.62","5.62","5.62","5.62","1,800"
09/15/2021,"5.60","5.60","5.60","5.60","1,800"
09/14/2021,"5.47","5.47","5.47","5.47","840"
09/13/2021,"5.82","5.82","5.82","5.82","120"
09/10/2021,"5.53","5.53","5.53","5.53","240"
09/09/2021,"5.42","5.53","5.41","5.53","13,800"
09/08/2021,"5.43","5.87","5.43","5.87","2,400"
09/07/2021,"5.91","5.91","5.91","5.91","120"
09/06/2021,"5.42","5.75","5.42","5.75","1,920"
09/02/2021,"5.83","5.83","5.46","5.75","2,640"
08/31/2021,"5.98","5.98","5.98","5.98","2,400"
08/27/2021,"5.75","5.82","5.75","5.82","3,840"
08/23/2021,"6.21","6.22","6.21","6.22","3,600"
08/20/2021,"5.92","6.22","5.92","6.22","8,760"
08/19/2021,"5.92","6.27","5.92","6.27","1,800"
08/17/2021,"5.89","6.32","5.89","5.89","2,040"
08/16/2021,"5.82","6.11","5.82","5.83","4,440"
08/13/2021,"5.82","5.82","5.81","5.82","8,280"
08/12/2021,"5.81","5.81","5.79","5.81","9,120"
08/11/2021,"5.81","5.81","5.81","5.81","2,400"
08/10/2021,"5.81","5.81","5.79","5.79","6,480"
08/09/2021,"5.82","5.82","5.79","5.79","9,360"
08/06/2021,"5.82","5.82","5.78","5.82","8,760"
08/05/2021,"5.67","5.83","5.67","5.83","18,360"
08/03/2021,"5.73","5.73","5.42","5.73","35,280"
08/02/2021,"5.77","5.78","5.75","5.75","3,960"
07/19/2021,"5.41","5.41","5.41","5.41","2,400"
07/09/2021,"5.42","5.42","5.41","5.41","28,800"
07/08/2021,"5.42","5.42","5.42","5.42","102,120"
07/07/2021,"5.43","5.43","5.42","5.42","12,000"
07/06/2021,"5.50","5.50","5.50","5.50","3,600"
07/05/2021,"5.50","5.50","5.42","5.42","2,400"
07/02/2021,"5.50","5.50","5.50","5.50","1,800"
06/22/2021,"5.42","5.50","5.42","5.50","6,120"
06/17/2021,"5.61","5.61","5.61","5.61","360"
06/16/2021,"5.62","5.62","5.62","5.62","840"
06/15/2021,"5.45","5.50","5.45","5.50","19,440"
06/14/2021,"5.49","5.49","5.49","5.49","15,600"
06/11/2021,"5.49","5.49","5.49","5.49","1,680"
06/09/2021,"5.50","5.50","5.50","5.50","2,400"
06/08/2021,"5.45","5.50","5.45","5.50","24,120"
06/07/2021,"5.43","5.43","5.43","5.43","5,160"
06/03/2021,"5.42","5.67","5.42","5.42","70,080"
05/31/2021,"5.80","5.80","5.80","5.80","120"
05/28/2021,"5.82","5.82","5.75","5.75","600"
05/27/2021,"5.42","5.42","5.42","5.42","4,800"
05/26/2021,"5.44","5.44","5.44","5.44","240"
05/24/2021,"5.42","5.42","5.42","5.42","120"
05/19/2021,"5.42","5.42","5.41","5.41","142,200"
05/18/2021,"5.42","5.42","5.42","5.42","840"
05/14/2021,"6.04","6.04","5.50","5.66","1,560"
05/12/2021,"5.58","5.58","5.58","5.58","120"
05/11/2021,"5.43","5.47","5.43","5.47","3,000"
05/10/2021,"6.08","6.08","6.08","6.08","1,440"
05/07/2021,"5.42","5.42","5.42","5.42","120"
04/08/2021,"6.10","6.10","5.51","6.10","1,080"
04/06/2021,"6.11","6.11","6.11","6.11","240"
03/31/2021,"5.51","5.51","5.51","5.51","240"
03/30/2021,"6.00","6.00","6.00","6.00","5,400"
03/29/2021,"6.00","6.00","6.00","6.00","120"
03/25/2021,"5.42","5.42","5.42","5.42","120"
03/24/2021,"5.42","5.42","5.42","5.42","2,400"
03/19/2021,"5.81","5.81","5.43","5.43","1,560"
03/17/2021,"5.45","5.45","5.42","5.42","6,600"
03/11/2021,"5.68","6.14","5.44","6.14","2,760"
03/10/2021,"5.68","5.68","5.68","5.68","1,920"
03/01/2021,"5.57","5.57","5.57","5.57","360"
02/26/2021,"5.58","5.58","5.58","5.58","1,200"
02/24/2021,"5.58","5.58","5.58","5.58","120"
02/22/2021,"5.83","5.87","5.82","5.87","11,040"
02/18/2021,"5.83","5.83","5.83","5.83","30,000"
02/17/2021,"5.84","5.84","5.84","5.84","240"
02/16/2021,"5.85","5.85","5.85","5.85","2,040"
02/15/2021,"5.43","5.43","5.43","5.43","11,025,600"
02/11/2021,"5.53","5.53","5.53","5.53","120"
02/09/2021,"5.86","5.86","5.86","5.86","1,200"
02/08/2021,"5.87","5.87","5.83","5.83","5,520"
02/04/2021,"5.87","5.87","5.87","5.87","4,200"
02/03/2021,"5.89","5.89","5.89","5.89","1,560"
02/02/2021,"5.90","5.90","5.90","5.90","3,480"
01/29/2021,"5.92","5.92","5.42","5.44","4,080"
01/27/2021,"5.42","5.42","5.42","5.42","3,000"
01/26/2021,"5.42","5.42","5.42","5.42","2,400"
01/25/2021,"6.25","6.25","5.42","5.42","3,840"
01/21/2021,"6.49","6.49","5.44","5.52","5,160"
01/20/2021,"5.44","5.44","5.44","5.44","2,400"
01/18/2021,"5.44","5.44","5.42","5.42","48,360"
01/15/2021,"6.63","6.63","6.63","6.63","1,920"
01/12/2021,"6.24","6.25","6.24","6.25","3,600"
01/06/2021,"6.25","6.25","6.25","6.25","2,040"
01/05/2021,"5.83","6.25","5.62","6.25","169,920"
01/04/2021,"5.83","5.83","5.54","5.82","44,880"
