Date,Open,High,Low,Close,Volume
12/29/2022,"0.630","0.630","0.610","0.610","277,000"
12/28/2022,"0.620","0.640","0.620","0.630","41,000"
12/27/2022,"0.620","0.630","0.610","0.620","253,000"
12/23/2022,"0.620","0.630","0.620","0.620","163,000"
12/22/2022,"0.620","0.630","0.610","0.620","845,000"
12/21/2022,"0.610","0.620","0.600","0.620","327,000"
12/20/2022,"0.600","0.620","0.600","0.610","534,000"
12/19/2022,"0.620","0.640","0.600","0.620","1,323,000"
12/16/2022,"0.630","0.640","0.620","0.620","1,008,000"
12/15/2022,"0.620","0.650","0.620","0.640","314,000"
12/14/2022,"0.640","0.640","0.620","0.640","208,000"
12/13/2022,"0.640","0.640","0.610","0.640","791,000"
12/12/2022,"0.630","0.650","0.630","0.630","700,000"
12/09/2022,"0.620","0.630","0.620","0.630","117,000"
12/07/2022,"0.630","0.640","0.630","0.630","610,000"
12/06/2022,"0.620","0.630","0.610","0.630","1,178,000"
12/05/2022,"0.600","0.620","0.600","0.610","671,000"
12/02/2022,"0.620","0.620","0.600","0.600","1,079,000"
12/01/2022,"0.610","0.630","0.610","0.610","283,000"
11/29/2022,"0.610","0.620","0.600","0.610","879,000"
11/28/2022,"0.610","0.630","0.610","0.620","724,000"
11/25/2022,"0.600","0.630","0.600","0.620","493,000"
11/24/2022,"0.620","0.620","0.600","0.600","1,684,000"
11/23/2022,"0.600","0.620","0.600","0.600","136,000"
11/22/2022,"0.620","0.620","0.590","0.610","3,264,000"
11/21/2022,"0.630","0.630","0.610","0.610","1,575,000"
11/18/2022,"0.630","0.640","0.620","0.640","342,000"
11/17/2022,"0.650","0.650","0.630","0.630","250,000"
11/16/2022,"0.640","0.650","0.620","0.650","1,766,000"
11/15/2022,"0.630","0.640","0.620","0.640","335,000"
11/14/2022,"0.650","0.650","0.620","0.630","429,000"
11/11/2022,"0.620","0.660","0.590","0.630","5,487,000"
11/10/2022,"0.630","0.640","0.590","0.600","2,629,000"
11/09/2022,"0.650","0.660","0.610","0.630","3,355,000"
11/08/2022,"0.660","0.660","0.650","0.650","206,000"
11/07/2022,"0.670","0.670","0.650","0.660","301,000"
11/04/2022,"0.660","0.670","0.660","0.670","287,000"
11/03/2022,"0.670","0.670","0.650","0.660","1,825,000"
11/02/2022,"0.670","0.690","0.670","0.670","222,000"
10/28/2022,"0.670","0.690","0.670","0.670","149,000"
10/27/2022,"0.670","0.690","0.670","0.670","235,000"
10/26/2022,"0.690","0.690","0.670","0.680","32,000"
10/25/2022,"0.690","0.690","0.670","0.670","417,000"
10/24/2022,"0.680","0.690","0.670","0.670","172,000"
10/21/2022,"0.680","0.680","0.670","0.680","181,000"
10/20/2022,"0.700","0.700","0.680","0.680","563,000"
10/19/2022,"0.670","0.690","0.660","0.690","698,000"
10/18/2022,"0.670","0.670","0.660","0.660","801,000"
10/17/2022,"0.690","0.690","0.660","0.670","185,000"
