Date,Open,High,Low,Close,Volume
12/31/2021,"27.90","29.25","27.90","29.25","1,072,500"
12/29/2021,"27.75","28.45","27.75","27.90","501,000"
12/28/2021,"27.70","29.00","27.70","28.00","1,007,500"
12/27/2021,"27.00","27.55","27.00","27.55","9,926,400"
12/24/2021,"27.40","27.60","26.70","26.90","3,290,900"
12/23/2021,"26.40","26.85","26.40","26.40","2,611,700"
12/22/2021,"26.55","26.90","26.40","26.40","1,011,600"
12/21/2021,"26.85","27.20","26.60","26.60","1,122,100"
12/20/2021,"27.45","27.45","26.75","26.85","629,800"
12/17/2021,"27.35","27.50","26.70","27.50","694,700"
12/16/2021,"27.00","27.40","26.55","27.35","735,300"
12/15/2021,"27.50","27.55","27.05","27.40","2,806,900"
12/14/2021,"27.50","27.65","27.25","27.50","951,900"
12/13/2021,"27.00","27.50","27.00","27.25","800,200"
12/10/2021,"27.40","27.40","26.85","27.00","1,965,900"
12/09/2021,"26.50","27.35","26.50","27.00","1,740,500"
12/07/2021,"26.05","26.80","26.05","26.50","1,307,400"
12/06/2021,"26.00","26.15","26.00","26.00","986,900"
12/03/2021,"26.90","26.90","26.00","26.00","1,018,100"
12/02/2021,"26.10","26.95","26.05","26.75","784,500"
12/01/2021,"26.05","26.95","26.00","26.10","766,700"
11/29/2021,"26.00","27.00","25.55","27.00","2,089,600"
11/26/2021,"26.45","26.45","26.00","26.40","724,200"
11/25/2021,"26.40","26.50","26.35","26.45","786,000"
11/24/2021,"26.55","26.60","26.30","26.45","2,446,500"
11/23/2021,"26.00","27.00","26.00","27.00","3,546,700"
11/22/2021,"25.05","26.00","24.70","25.95","961,800"
11/19/2021,"25.50","25.90","24.70","25.10","777,100"
11/18/2021,"24.95","25.55","24.95","25.10","2,002,100"
11/17/2021,"25.50","25.60","24.90","24.95","3,138,900"
11/16/2021,"25.95","26.00","25.50","25.65","1,964,100"
11/15/2021,"26.35","26.35","25.95","25.95","1,268,000"
11/12/2021,"26.70","26.95","26.10","26.35","1,515,900"
11/11/2021,"27.60","27.60","26.85","26.90","595,400"
11/10/2021,"26.70","27.50","26.70","27.50","1,609,200"
11/09/2021,"27.75","27.90","26.65","26.65","1,435,100"
11/08/2021,"27.75","27.80","27.50","27.75","1,748,900"
11/05/2021,"28.00","28.00","27.50","27.75","2,798,500"
11/04/2021,"27.50","28.00","27.25","28.00","1,414,600"
11/03/2021,"27.65","27.85","27.25","27.50","711,900"
11/02/2021,"28.35","28.80","27.25","27.25","817,700"
10/29/2021,"27.55","28.30","27.05","28.30","2,964,400"
10/28/2021,"26.90","27.00","26.40","27.00","714,600"
10/27/2021,"26.30","26.85","26.00","26.85","1,191,000"
10/26/2021,"27.30","27.80","26.25","26.30","758,200"
10/25/2021,"26.80","27.20","26.10","27.20","1,785,700"
10/22/2021,"26.30","26.80","25.65","26.80","1,045,200"
10/21/2021,"25.70","26.20","25.50","26.20","1,828,000"
10/20/2021,"24.95","25.50","24.95","25.50","2,255,700"
10/19/2021,"25.50","26.15","24.85","24.95","4,651,600"
10/18/2021,"26.00","26.00","25.00","26.00","5,111,800"
10/15/2021,"24.85","26.00","24.00","26.00","2,195,100"
10/14/2021,"25.15","25.90","24.80","24.80","956,500"
10/13/2021,"25.65","26.00","25.10","25.10","1,263,600"
10/12/2021,"26.35","26.90","25.50","25.65","1,582,100"
10/11/2021,"27.10","27.45","26.25","26.30","1,666,600"
10/08/2021,"28.05","28.05","26.95","27.50","775,200"
10/07/2021,"28.00","28.30","27.75","27.95","1,748,300"
10/06/2021,"28.10","28.60","27.75","28.00","775,400"
10/05/2021,"27.10","28.00","26.85","28.00","1,241,800"
10/04/2021,"27.70","27.70","26.85","27.05","734,300"
10/01/2021,"27.45","27.75","27.00","27.60","516,400"
09/30/2021,"26.95","27.50","26.75","26.80","1,542,200"
09/29/2021,"27.50","27.50","26.50","27.00","1,331,500"
09/28/2021,"29.20","29.20","27.00","28.00","1,839,500"
09/27/2021,"29.25","29.35","28.70","28.70","602,800"
09/24/2021,"29.00","29.60","28.70","29.25","3,144,100"
09/23/2021,"28.85","29.00","28.10","29.00","1,396,700"
09/22/2021,"27.50","29.00","27.30","29.00","977,300"
09/21/2021,"27.25","27.80","27.20","27.25","755,600"
09/20/2021,"28.50","29.00","27.25","28.05","1,109,800"
09/17/2021,"28.20","29.00","28.20","28.50","1,947,500"
09/16/2021,"28.00","28.70","27.60","28.50","2,408,800"
09/15/2021,"27.20","28.15","27.10","28.00","1,593,700"
09/14/2021,"26.95","27.20","26.30","27.20","1,451,300"
09/13/2021,"27.10","27.10","26.25","26.25","1,395,200"
09/10/2021,"27.00","27.15","26.20","27.15","1,063,400"
09/09/2021,"26.55","26.90","26.05","26.90","977,500"
09/08/2021,"26.20","26.45","25.80","26.45","981,200"
09/07/2021,"26.50","26.95","26.05","26.20","6,719,500"
09/06/2021,"25.95","26.60","25.95","26.50","2,197,100"
09/03/2021,"26.00","27.05","25.95","25.95","2,026,600"
09/02/2021,"25.30","25.50","25.00","25.50","1,591,700"
09/01/2021,"25.30","25.50","24.85","25.50","2,005,700"
08/31/2021,"25.20","25.50","24.70","25.50","2,675,500"
08/27/2021,"25.00","25.20","24.75","25.20","1,781,800"
08/26/2021,"25.30","25.30","25.00","25.05","159,800"
08/25/2021,"25.35","25.35","25.00","25.15","411,700"
08/24/2021,"24.80","25.15","24.70","25.00","932,300"
08/23/2021,"25.00","25.10","24.50","24.80","760,800"
08/20/2021,"24.80","25.10","24.35","25.00","835,200"
08/19/2021,"24.80","25.30","24.25","24.35","702,600"
08/18/2021,"24.75","25.45","24.70","24.75","708,200"
08/17/2021,"25.50","25.50","24.75","24.85","873,100"
08/16/2021,"24.75","25.50","24.60","25.50","1,761,000"
08/13/2021,"25.50","25.50","24.00","24.00","954,400"
08/12/2021,"25.45","25.50","25.00","25.50","802,400"
08/11/2021,"25.45","25.60","24.70","25.50","2,517,100"
08/10/2021,"24.70","25.45","24.50","25.45","224,800"
08/09/2021,"25.00","25.45","24.75","24.95","766,100"
08/06/2021,"24.00","25.15","23.80","25.00","909,600"
08/05/2021,"25.00","25.00","24.10","24.10","1,209,200"
08/04/2021,"25.80","25.80","25.00","25.00","2,073,900"
08/03/2021,"25.95","25.95","25.65","25.70","1,035,100"
08/02/2021,"25.00","25.85","25.00","25.40","919,100"
07/30/2021,"24.95","25.00","24.65","25.00","1,362,600"
07/29/2021,"24.90","26.50","24.40","24.90","4,717,100"
07/28/2021,"25.00","25.00","24.40","24.90","3,886,500"
07/27/2021,"24.80","25.15","24.05","25.00","1,192,600"
07/26/2021,"24.60","24.80","23.25","24.80","1,215,500"
07/23/2021,"24.25","24.65","24.10","24.50","1,138,500"
07/22/2021,"24.40","24.45","23.85","24.25","892,300"
07/21/2021,"24.00","24.40","23.20","24.30","1,366,200"
07/19/2021,"24.00","24.05","22.80","24.05","1,923,000"
07/16/2021,"24.75","24.80","24.10","24.40","792,100"
07/15/2021,"24.90","24.90","24.05","24.80","1,339,800"
07/14/2021,"24.50","25.15","24.40","24.95","2,219,900"
07/13/2021,"23.90","25.05","23.85","24.50","2,534,200"
07/12/2021,"23.50","23.90","23.30","23.90","1,044,100"
07/09/2021,"23.00","23.55","22.85","23.15","3,274,300"
07/08/2021,"22.80","23.60","22.80","23.60","1,249,600"
07/07/2021,"23.45","23.85","22.60","22.95","785,900"
07/06/2021,"23.60","23.95","23.40","23.45","16,636,100"
07/05/2021,"23.45","23.95","23.10","23.60","1,041,500"
07/02/2021,"23.95","23.95","23.40","23.40","1,568,200"
07/01/2021,"23.40","23.95","23.25","23.95","1,129,800"
06/30/2021,"23.05","23.55","23.00","23.40","1,847,200"
06/29/2021,"23.45","23.45","23.00","23.15","965,300"
06/28/2021,"23.30","23.50","22.30","23.50","1,559,200"
06/25/2021,"23.50","23.50","22.75","23.00","831,200"
06/24/2021,"22.50","23.40","22.50","23.40","2,551,500"
06/23/2021,"22.75","23.00","22.50","22.55","1,968,300"
06/22/2021,"22.40","22.90","22.40","22.90","1,001,600"
06/21/2021,"22.50","22.70","22.35","22.50","1,008,000"
06/18/2021,"22.95","23.00","22.50","23.00","2,458,400"
06/17/2021,"22.20","23.25","22.20","23.00","2,710,600"
06/16/2021,"22.55","22.90","22.05","22.20","1,724,200"
06/15/2021,"23.00","23.00","20.05","23.00","2,280,700"
06/14/2021,"23.50","23.50","23.00","23.05","1,689,000"
06/11/2021,"23.10","23.70","23.10","23.50","1,310,600"
06/10/2021,"23.40","23.40","23.05","23.15","9,599,600"
06/09/2021,"23.60","24.10","23.35","23.45","4,057,600"
06/08/2021,"23.90","24.05","23.60","23.75","2,603,700"
06/07/2021,"24.30","24.30","23.80","24.00","994,700"
06/04/2021,"24.30","24.30","23.50","24.30","1,577,000"
06/03/2021,"23.65","24.40","23.50","24.30","1,120,600"
06/02/2021,"23.45","23.90","23.30","23.65","1,006,100"
06/01/2021,"23.50","24.20","23.30","23.45","6,700,600"
05/31/2021,"23.50","23.50","23.05","23.40","2,510,400"
05/28/2021,"23.10","24.20","23.05","23.50","3,515,100"
05/27/2021,"23.90","23.90","22.85","23.10","19,263,400"
05/26/2021,"23.90","24.05","23.55","23.90","3,056,600"
05/25/2021,"24.00","24.40","23.30","23.90","6,285,500"
05/24/2021,"24.50","24.50","24.00","24.00","4,979,200"
05/21/2021,"23.50","24.00","23.05","23.95","10,004,500"
05/20/2021,"22.00","23.50","21.95","23.00","3,830,200"
05/19/2021,"22.00","22.40","21.75","22.00","1,093,100"
05/18/2021,"22.50","22.50","21.50","22.00","3,113,900"
05/17/2021,"22.20","22.50","21.90","22.00","2,072,300"
05/14/2021,"22.50","22.50","21.50","22.20","3,771,700"
05/12/2021,"21.90","22.80","21.70","22.50","5,020,500"
05/11/2021,"21.95","21.95","21.10","21.80","1,095,400"
05/10/2021,"21.00","21.90","20.60","21.85","1,351,700"
05/07/2021,"21.35","21.40","20.55","21.00","4,193,300"
05/06/2021,"20.00","21.00","19.90","21.00","3,075,000"
05/05/2021,"19.62","20.00","19.62","19.90","1,669,300"
05/04/2021,"20.20","20.20","19.60","19.60","1,396,900"
05/03/2021,"20.00","20.00","19.70","20.00","917,300"
04/30/2021,"20.15","20.30","19.70","20.00","2,825,900"
04/29/2021,"20.10","20.70","19.66","20.15","2,048,900"
