Date,Open,High,Low,Close,Volume
12/29/2020,"0.290","0.290","0.275","0.290","1,220,000"
12/28/2020,"0.280","0.300","0.280","0.280","4,930,000"
12/23/2020,"0.275","0.280","0.265","0.280","2,830,000"
12/22/2020,"0.300","0.300","0.270","0.275","4,170,000"
12/21/2020,"0.310","0.310","0.290","0.300","6,940,000"
12/18/2020,"0.315","0.315","0.300","0.310","4,180,000"
12/17/2020,"0.310","0.320","0.310","0.315","1,080,000"
12/16/2020,"0.320","0.325","0.320","0.320","1,430,000"
12/15/2020,"0.315","0.330","0.315","0.325","2,210,000"
12/14/2020,"0.330","0.330","0.305","0.310","3,530,000"
12/11/2020,"0.300","0.320","0.295","0.320","3,930,000"
12/10/2020,"0.300","0.300","0.295","0.300","2,040,000"
12/09/2020,"0.305","0.305","0.295","0.305","1,220,000"
12/07/2020,"0.295","0.305","0.295","0.300","1,930,000"
12/04/2020,"0.300","0.315","0.295","0.305","2,810,000"
12/03/2020,"0.295","0.310","0.295","0.300","2,160,000"
12/02/2020,"0.305","0.305","0.290","0.295","3,640,000"
12/01/2020,"0.310","0.310","0.290","0.310","5,250,000"
11/27/2020,"0.340","0.350","0.305","0.310","17,650,000"
11/26/2020,"0.280","0.360","0.280","0.330","50,230,000"
11/25/2020,"0.255","0.290","0.255","0.275","4,060,000"
11/24/2020,"0.260","0.260","0.255","0.260","80,000"
11/23/2020,"0.260","0.265","0.260","0.260","450,000"
11/20/2020,"0.260","0.265","0.260","0.265","320,000"
11/19/2020,"0.260","0.265","0.255","0.265","1,390,000"
11/18/2020,"0.265","0.265","0.265","0.265","50,000"
11/17/2020,"0.260","0.265","0.255","0.265","320,000"
11/16/2020,"0.255","0.265","0.255","0.265","20,000"
11/13/2020,"0.270","0.270","0.260","0.260","660,000"
11/11/2020,"0.260","0.265","0.260","0.265","990,000"
11/10/2020,"0.255","0.265","0.255","0.265","240,000"
11/09/2020,"0.255","0.270","0.242","0.260","800,000"
11/06/2020,"0.255","0.275","0.255","0.275","620,000"
11/05/2020,"0.250","0.280","0.250","0.265","2,250,000"
11/04/2020,"0.260","0.260","0.250","0.260","670,000"
11/03/2020,"0.265","0.265","0.260","0.265","590,000"
10/30/2020,"0.265","0.275","0.255","0.265","1,310,000"
10/29/2020,"0.255","0.265","0.255","0.265","190,000"
10/28/2020,"0.265","0.265","0.250","0.250","590,000"
10/26/2020,"0.265","0.265","0.265","0.265","600,000"
