Date,Open,High,Low,Close,Volume
12/27/2022,"2.576","2.576","2.496","2.568","15,000"
12/22/2022,"2.584","2.584","2.504","2.576","41,250"
12/21/2022,"2.584","2.584","2.584","2.584","1,250"
12/20/2022,"2.544","2.584","2.544","2.584","66,250"
12/16/2022,"2.528","2.600","2.512","2.600","472,500"
12/15/2022,"2.600","2.600","2.600","2.600","13,750"
12/13/2022,"2.544","2.600","2.536","2.600","137,500"
12/12/2022,"2.560","2.600","2.536","2.600","275,000"
12/07/2022,"2.720","2.720","2.560","2.640","78,750"
12/06/2022,"2.720","2.728","2.584","2.728","50,000"
12/05/2022,"2.720","2.720","2.720","2.720","1,250"
12/02/2022,"2.600","2.760","2.544","2.720","426,250"
12/01/2022,"2.552","2.600","2.432","2.592","366,250"
11/29/2022,"2.400","2.400","2.360","2.360","13,750"
11/28/2022,"2.544","2.544","2.400","2.544","270,000"
11/25/2022,"2.544","2.544","2.544","2.544","20,000"
11/23/2022,"2.560","2.560","2.560","2.560","2,500"
11/22/2022,"2.544","2.544","2.544","2.544","5,000"
11/21/2022,"2.552","2.552","2.552","2.552","92,500"
11/18/2022,"2.552","2.552","2.544","2.544","3,750"
11/17/2022,"2.544","2.544","2.544","2.544","5,000"
11/16/2022,"2.544","2.552","2.544","2.544","15,000"
11/15/2022,"2.536","2.536","2.528","2.536","51,250"
11/14/2022,"2.536","2.536","2.536","2.536","2,500"
11/11/2022,"2.520","2.536","2.488","2.536","68,750"
11/10/2022,"2.496","2.520","2.488","2.520","55,000"
11/09/2022,"2.488","2.520","2.488","2.520","15,000"
11/08/2022,"2.488","2.488","2.488","2.488","2,500"
11/07/2022,"2.496","2.496","2.488","2.488","116,250"
11/04/2022,"2.520","2.520","2.504","2.504","32,500"
11/02/2022,"2.520","2.520","2.520","2.520","2,500"
10/28/2022,"2.504","2.504","2.504","2.504","1,250"
10/27/2022,"2.560","2.560","2.512","2.560","50,000"
10/26/2022,"2.528","2.552","2.520","2.552","33,750"
10/25/2022,"2.528","2.560","2.528","2.560","3,750"
10/24/2022,"2.520","2.592","2.520","2.552","52,500"
10/21/2022,"2.600","2.600","2.528","2.528","20,000"
10/20/2022,"2.624","2.624","2.624","2.624","2,500"
10/18/2022,"2.592","2.592","2.592","2.592","1,250"
10/17/2022,"2.536","2.536","2.536","2.536","12,500"
10/14/2022,"2.536","2.536","2.536","2.536","12,500"
10/13/2022,"2.552","2.592","2.544","2.592","100,000"
10/12/2022,"2.584","2.584","2.560","2.560","87,500"
10/11/2022,"2.576","2.576","2.576","2.576","13,750"
10/10/2022,"2.592","2.600","2.592","2.592","22,500"
10/07/2022,"2.600","2.600","2.600","2.600","12,500"
10/06/2022,"2.624","2.624","2.624","2.624","15,000"
10/05/2022,"2.624","2.624","2.624","2.624","48,750"
10/04/2022,"2.544","2.608","2.544","2.608","35,000"
10/03/2022,"2.608","2.608","2.552","2.552","41,250"
09/30/2022,"2.576","2.624","2.576","2.576","82,500"
09/29/2022,"2.560","2.560","2.560","2.560","6,250"
09/28/2022,"2.584","2.584","2.560","2.560","13,750"
09/27/2022,"2.632","2.632","2.584","2.584","212,500"
09/23/2022,"2.640","2.640","2.632","2.632","40,000"
09/22/2022,"2.704","2.704","2.664","2.664","221,250"
09/21/2022,"2.752","2.752","2.712","2.712","40,000"
09/20/2022,"2.760","2.760","2.752","2.752","2,500"
09/19/2022,"2.760","2.760","2.720","2.720","67,500"
09/16/2022,"2.736","2.776","2.728","2.776","21,250"
09/15/2022,"2.744","2.768","2.744","2.768","52,500"
09/14/2022,"2.720","2.720","2.720","2.720","3,750"
09/13/2022,"2.712","2.760","2.704","2.744","287,500"
09/12/2022,"2.720","2.720","2.712","2.712","72,500"
09/09/2022,"2.720","2.720","2.720","2.720","2,500"
09/08/2022,"2.720","2.760","2.720","2.760","91,250"
09/07/2022,"2.736","2.760","2.736","2.736","110,000"
09/06/2022,"2.736","2.736","2.736","2.736","11,250"
09/05/2022,"2.736","2.736","2.720","2.736","138,750"
09/02/2022,"2.744","2.744","2.744","2.744","7,500"
09/01/2022,"2.744","2.760","2.744","2.760","13,750"
08/31/2022,"2.744","2.744","2.704","2.704","141,250"
08/30/2022,"2.744","2.776","2.744","2.776","11,250"
08/26/2022,"2.736","2.768","2.736","2.768","11,250"
08/24/2022,"2.784","2.784","2.712","2.776","346,250"
08/23/2022,"2.752","2.752","2.736","2.736","86,250"
08/22/2022,"2.744","2.776","2.720","2.760","263,750"
08/19/2022,"2.744","2.800","2.744","2.792","100,000"
08/18/2022,"2.728","2.800","2.728","2.800","3,750"
08/17/2022,"2.728","2.808","2.728","2.760","26,250"
08/16/2022,"2.816","2.816","2.808","2.808","23,750"
08/15/2022,"2.808","2.808","2.808","2.808","388,750"
08/12/2022,"2.720","2.808","2.720","2.808","18,750"
08/11/2022,"2.760","2.800","2.720","2.800","77,500"
08/09/2022,"2.728","2.800","2.728","2.800","5,000"
08/08/2022,"2.792","2.800","2.728","2.800","86,250"
08/03/2022,"2.752","2.792","2.736","2.792","138,750"
08/02/2022,"2.752","2.784","2.752","2.784","2,500"
08/01/2022,"2.800","2.800","2.800","2.800","15,000"
07/29/2022,"2.760","2.800","2.760","2.760","97,500"
07/28/2022,"2.760","2.760","2.720","2.760","1,222,500"
07/27/2022,"2.800","2.800","2.760","2.760","3,750"
07/26/2022,"2.800","2.800","2.760","2.760","38,750"
07/22/2022,"2.760","2.800","2.720","2.800","271,250"
07/21/2022,"2.800","2.800","2.800","2.800","27,500"
07/20/2022,"2.800","2.800","2.760","2.760","3,750"
07/18/2022,"2.800","2.800","2.720","2.800","180,000"
07/15/2022,"2.752","2.760","2.752","2.752","37,500"
07/14/2022,"2.728","2.760","2.728","2.760","220,000"
07/13/2022,"2.768","2.768","2.760","2.760","31,250"
07/11/2022,"2.768","2.824","2.768","2.824","5,000"
07/08/2022,"2.792","2.800","2.792","2.800","66,250"
07/07/2022,"2.752","2.792","2.720","2.792","17,500"
07/06/2022,"2.728","2.776","2.728","2.776","96,250"
07/05/2022,"2.800","2.800","2.800","2.800","3,750"
