Date,Open,High,Low,Close,Volume
12/27/2024,"5.37","5.38","5.35","5.38","77,600"
12/26/2024,"5.28","5.37","5.28","5.35","48,100"
12/23/2024,"5.30","5.30","5.26","5.28","444,500"
12/20/2024,"5.33","5.33","5.28","5.28","371,200"
12/19/2024,"5.38","5.38","5.32","5.33","291,500"
12/18/2024,"5.39","5.39","5.34","5.38","127,200"
12/17/2024,"5.40","5.40","5.35","5.39","213,300"
12/16/2024,"5.40","5.42","5.35","5.37","202,000"
12/13/2024,"5.32","5.40","5.30","5.39","307,500"
12/12/2024,"5.35","5.40","5.30","5.31","253,200"
12/11/2024,"5.40","5.40","5.35","5.35","1,012,300"
12/10/2024,"5.40","5.44","5.39","5.40","312,200"
12/09/2024,"5.42","5.43","5.38","5.40","351,900"
12/06/2024,"5.39","5.43","5.35","5.39","299,700"
12/05/2024,"5.40","5.42","5.38","5.39","411,400"
12/04/2024,"5.40","5.42","5.38","5.39","161,000"
12/03/2024,"5.40","5.42","5.37","5.40","497,500"
12/02/2024,"5.35","5.41","5.30","5.32","182,000"
11/29/2024,"5.30","5.35","5.30","5.30","753,100"
11/28/2024,"5.36","5.39","5.30","5.30","247,100"
11/27/2024,"5.35","5.35","5.30","5.35","141,500"
11/26/2024,"5.29","5.39","5.29","5.35","466,700"
11/25/2024,"5.23","5.30","5.22","5.29","545,800"
11/22/2024,"5.29","5.29","5.21","5.21","109,000"
11/21/2024,"5.30","5.30","5.27","5.29","116,100"
11/20/2024,"5.21","5.34","5.21","5.29","191,700"
11/19/2024,"5.25","5.33","5.18","5.21","790,700"
11/18/2024,"5.43","5.43","5.20","5.22","535,700"
11/15/2024,"5.25","5.42","5.25","5.40","480,700"
11/14/2024,"5.40","5.43","5.20","5.20","406,000"
11/13/2024,"5.37","5.43","5.37","5.42","332,200"
11/12/2024,"5.44","5.44","5.25","5.37","238,200"
11/11/2024,"5.47","5.47","5.40","5.44","417,800"
11/08/2024,"5.45","5.45","5.40","5.43","35,700"
11/07/2024,"5.50","5.50","5.33","5.45","542,300"
11/06/2024,"5.48","5.52","5.48","5.50","1,052,800"
11/05/2024,"5.48","5.51","5.48","5.50","427,700"
11/04/2024,"5.49","5.49","5.45","5.48","418,000"
10/31/2024,"5.51","5.52","5.43","5.43","172,000"
10/30/2024,"5.50","5.55","5.49","5.50","494,800"
10/29/2024,"5.58","5.59","5.46","5.50","210,400"
10/28/2024,"5.50","5.60","5.47","5.58","715,300"
10/25/2024,"5.45","5.50","5.45","5.49","105,900"
10/24/2024,"5.54","5.55","5.42","5.45","367,100"
10/23/2024,"5.56","5.59","5.52","5.55","1,301,400"
10/22/2024,"5.50","5.60","5.50","5.55","388,900"
10/21/2024,"5.50","5.50","5.40","5.45","505,800"
10/18/2024,"5.38","5.49","5.38","5.48","356,600"
10/17/2024,"5.50","5.50","5.33","5.36","952,300"
10/16/2024,"5.51","5.55","5.43","5.50","1,380,800"
10/15/2024,"5.51","5.51","5.39","5.50","687,100"
10/14/2024,"5.50","5.52","5.41","5.51","767,500"
10/11/2024,"5.50","5.50","5.31","5.38","557,800"
10/10/2024,"5.50","5.52","5.40","5.50","1,624,400"
10/09/2024,"5.62","5.66","5.48","5.52","783,100"
10/08/2024,"5.58","5.63","5.58","5.62","765,600"
10/07/2024,"5.52","5.65","5.52","5.58","1,225,100"
10/04/2024,"5.53","5.55","5.48","5.52","574,800"
10/03/2024,"5.50","5.52","5.49","5.51","1,067,600"
10/02/2024,"5.49","5.53","5.48","5.51","687,600"
10/01/2024,"5.48","5.52","5.48","5.49","458,800"
09/30/2024,"5.51","5.52","5.41","5.48","426,700"
09/27/2024,"5.50","5.52","5.45","5.50","860,500"
09/26/2024,"5.46","5.56","5.40","5.40","1,974,600"
09/25/2024,"5.45","5.48","5.38","5.46","745,200"
09/24/2024,"5.45","5.48","5.44","5.46","1,303,600"
09/23/2024,"5.42","5.46","5.40","5.45","907,700"
09/20/2024,"5.40","5.44","5.36","5.42","899,200"
09/19/2024,"5.37","5.40","5.37","5.39","971,600"
09/18/2024,"5.36","5.37","5.32","5.37","465,300"
09/17/2024,"5.36","5.36","5.20","5.32","488,200"
09/16/2024,"5.29","5.35","5.29","5.35","568,000"
09/13/2024,"5.27","5.30","5.27","5.29","592,200"
09/12/2024,"5.18","5.27","5.18","5.27","422,400"
09/11/2024,"5.42","5.43","5.27","5.35","7,169,200"
09/10/2024,"5.39","5.45","5.39","5.43","1,184,700"
