Date,Open,High,Low,Close,Volume
04/30/2025,"101.00","101.00","101.00","101.00","160"
04/28/2025,"95.10","101.00","95.10","101.00","1,010"
04/24/2025,"101.40","101.90","101.00","101.00","1,330"
04/23/2025,"101.40","102.40","101.40","102.40","980"
04/22/2025,"100.00","100.00","100.00","100.00","20"
04/21/2025,"101.40","101.40","101.40","101.40","60"
04/16/2025,"101.40","101.40","101.40","101.40","60"
04/15/2025,"100.00","100.00","100.00","100.00","21,390"
04/14/2025,"100.00","100.00","100.00","100.00","60"
04/11/2025,"100.00","100.00","100.00","100.00","20"
04/08/2025,"100.00","100.00","100.00","100.00","2,010"
04/07/2025,"100.00","100.00","100.00","100.00","500"
04/04/2025,"100.00","100.00","100.00","100.00","1,020"
04/03/2025,"101.50","101.50","100.20","100.20","660"
04/02/2025,"100.10","100.10","100.10","100.10","440"
03/31/2025,"100.00","100.00","100.00","100.00","1,000"
03/28/2025,"99.50","99.50","99.50","99.50","500"
03/27/2025,"101.50","101.50","99.50","99.50","3,000"
03/26/2025,"101.60","101.60","100.00","100.00","7,880"
03/25/2025,"101.60","101.60","101.60","101.60","10"
03/21/2025,"99.00","99.00","99.00","99.00","1,800"
03/19/2025,"100.50","100.50","98.50","98.50","40"
03/17/2025,"98.50","100.50","98.50","100.50","2,060"
03/14/2025,"100.00","100.00","95.00","98.50","25,500"
03/12/2025,"99.50","99.50","99.50","99.50","500"
03/10/2025,"98.50","98.50","98.00","98.00","110"
03/04/2025,"100.30","100.30","100.00","100.00","270"
03/03/2025,"100.20","100.30","100.20","100.30","110"
02/25/2025,"102.00","102.00","102.00","102.00","20"
02/24/2025,"102.50","102.50","102.50","102.50","100"
02/19/2025,"100.50","100.50","97.50","99.00","2,600"
02/17/2025,"101.20","101.20","101.00","101.00","450"
02/14/2025,"102.50","102.50","102.50","102.50","10"
02/12/2025,"102.50","102.50","101.20","101.20","680"
02/11/2025,"102.50","102.50","102.50","102.50","30"
02/06/2025,"101.00","102.50","101.00","102.50","920"
02/04/2025,"102.50","102.50","102.50","102.50","50"
02/03/2025,"102.00","102.50","102.00","102.50","2,990"
01/31/2025,"102.00","102.00","102.00","102.00","10"
01/30/2025,"100.60","102.00","100.60","102.00","2,040"
01/28/2025,"102.00","102.00","102.00","102.00","4,200"
01/27/2025,"102.00","102.00","100.10","102.00","3,750"
01/24/2025,"102.00","102.00","101.50","101.50","190"
01/22/2025,"102.00","102.00","100.50","100.50","80"
01/21/2025,"100.20","100.20","100.20","100.20","10"
01/13/2025,"101.90","101.90","101.90","101.90","100"
01/08/2025,"99.40","99.40","99.30","99.30","1,000"
01/07/2025,"101.00","101.00","100.00","100.00","730"
01/06/2025,"101.80","101.80","101.00","101.00","1,450"
01/03/2025,"101.80","102.00","101.80","102.00","750"
