Date,Open,High,Low,Close,Volume
04/28/2025,"2.470","2.510","2.470","2.510","195,000"
04/24/2025,"2.420","2.420","2.270","2.370","633,000"
04/15/2025,"2.520","2.520","2.520","2.520","30,000"
04/14/2025,"2.420","2.520","2.420","2.520","15,000"
04/10/2025,"2.420","2.520","2.420","2.520","17,000"
04/08/2025,"2.450","2.590","2.450","2.550","305,000"
04/07/2025,"2.430","2.450","2.400","2.450","230,000"
04/03/2025,"2.590","2.590","2.590","2.590","10,000"
03/31/2025,"2.500","2.500","2.500","2.500","20,000"
03/28/2025,"2.450","2.500","2.440","2.500","106,000"
03/27/2025,"2.510","2.510","2.450","2.450","744,000"
03/26/2025,"2.510","2.580","2.510","2.520","76,000"
03/25/2025,"2.590","2.590","2.590","2.590","10,000"
03/18/2025,"2.580","2.590","2.580","2.590","15,000"
03/17/2025,"2.590","2.590","2.590","2.590","10,000"
03/11/2025,"2.520","2.590","2.480","2.590","349,000"
03/06/2025,"2.590","2.590","2.520","2.590","15,000"
03/05/2025,"2.590","2.590","2.590","2.590","11,000"
03/03/2025,"2.590","2.590","2.590","2.590","10,000"
02/27/2025,"2.590","2.590","2.590","2.590","10,000"
02/26/2025,"2.590","2.590","2.590","2.590","10,000"
02/25/2025,"2.580","2.590","2.580","2.590","18,000"
02/21/2025,"2.570","2.580","2.570","2.580","24,000"
02/20/2025,"2.530","2.570","2.530","2.570","80,000"
02/19/2025,"2.570","2.570","2.570","2.570","10,000"
02/18/2025,"2.520","2.520","2.500","2.520","405,000"
02/14/2025,"2.580","2.580","2.580","2.580","25,000"
02/13/2025,"2.530","2.580","2.530","2.560","213,000"
02/11/2025,"2.530","2.600","2.530","2.600","255,000"
02/07/2025,"2.600","2.600","2.600","2.600","10,000"
02/06/2025,"2.550","2.550","2.550","2.550","73,000"
02/05/2025,"2.520","2.590","2.520","2.590","101,000"
01/31/2025,"2.520","2.640","2.520","2.640","3,000"
01/30/2025,"2.520","2.620","2.520","2.620","13,000"
01/27/2025,"2.530","2.600","2.520","2.600","50,000"
01/24/2025,"2.560","2.600","2.500","2.600","260,000"
01/22/2025,"2.600","2.650","2.600","2.650","36,000"
01/20/2025,"2.740","2.740","2.560","2.650","85,000"
01/13/2025,"2.600","2.660","2.600","2.660","12,000"
01/10/2025,"2.610","2.660","2.610","2.660","256,000"
01/08/2025,"2.580","2.630","2.580","2.630","32,000"
01/07/2025,"2.550","2.580","2.540","2.580","53,000"
01/06/2025,"2.630","2.630","2.630","2.630","12,000"
01/03/2025,"2.550","2.550","2.550","2.550","1,000"
01/02/2025,"2.670","2.670","2.600","2.650","20,000"
