Date,Open,High,Low,Close,Volume
04/30/2025,"3.730","3.760","3.710","3.760","128,000"
04/29/2025,"3.790","3.790","3.720","3.750","17,000"
04/28/2025,"3.660","3.750","3.660","3.700","434,000"
04/25/2025,"3.680","3.690","3.620","3.660","139,000"
04/24/2025,"3.710","3.710","3.660","3.690","14,000"
04/23/2025,"3.800","3.800","3.620","3.710","193,000"
04/22/2025,"3.760","3.800","3.720","3.790","29,000"
04/21/2025,"3.840","3.840","3.800","3.800","55,000"
04/16/2025,"3.800","3.840","3.780","3.800","97,000"
04/15/2025,"3.810","3.820","3.750","3.780","305,000"
04/14/2025,"3.850","3.850","3.780","3.800","123,000"
04/11/2025,"3.850","3.850","3.800","3.820","187,000"
04/10/2025,"3.820","3.850","3.700","3.850","274,000"
04/08/2025,"3.720","3.850","3.720","3.820","203,000"
04/07/2025,"3.830","3.830","3.580","3.750","448,000"
04/04/2025,"3.840","3.840","3.740","3.830","84,000"
04/03/2025,"3.800","3.840","3.780","3.780","81,000"
04/02/2025,"3.700","3.800","3.690","3.800","681,000"
03/31/2025,"3.700","3.700","3.690","3.700","63,000"
03/28/2025,"3.680","3.700","3.610","3.700","208,000"
03/27/2025,"3.650","3.680","3.610","3.680","268,000"
03/26/2025,"3.610","3.650","3.580","3.650","519,000"
03/25/2025,"3.590","3.600","3.520","3.600","442,000"
03/24/2025,"3.550","3.600","3.520","3.590","18,000"
03/21/2025,"3.580","3.580","3.550","3.560","23,000"
03/20/2025,"3.610","3.610","3.540","3.580","37,000"
03/19/2025,"3.600","3.610","3.510","3.610","513,000"
03/18/2025,"3.560","3.600","3.510","3.600","520,000"
03/17/2025,"3.600","3.600","3.520","3.550","55,000"
03/14/2025,"3.600","3.600","3.510","3.580","110,000"
03/13/2025,"3.520","3.610","3.510","3.550","154,000"
03/12/2025,"3.600","3.600","3.520","3.550","140,000"
03/11/2025,"3.530","3.560","3.500","3.560","225,000"
03/10/2025,"3.600","3.600","3.550","3.590","371,000"
03/07/2025,"3.600","3.600","3.540","3.590","114,000"
03/06/2025,"3.600","3.600","3.530","3.600","534,000"
03/05/2025,"3.510","3.600","3.500","3.600","333,000"
03/04/2025,"3.600","3.600","3.500","3.510","107,000"
03/03/2025,"3.600","3.600","3.520","3.520","360,000"
02/28/2025,"3.600","3.600","3.520","3.590","267,000"
02/27/2025,"3.580","3.600","3.580","3.590","1,282,000"
02/26/2025,"3.590","3.600","3.550","3.600","172,000"
02/25/2025,"3.600","3.600","3.520","3.600","17,000"
02/24/2025,"3.500","3.630","3.490","3.600","1,072,000"
02/21/2025,"3.490","3.500","3.400","3.500","385,000"
02/20/2025,"3.490","3.490","3.420","3.430","77,000"
02/19/2025,"3.490","3.490","3.450","3.490","102,000"
02/18/2025,"3.400","3.490","3.400","3.470","273,000"
02/17/2025,"3.480","3.480","3.380","3.400","4,022,000"
02/14/2025,"3.480","3.480","3.450","3.480","43,000"
02/13/2025,"3.450","3.490","3.420","3.480","416,000"
02/12/2025,"3.450","3.480","3.420","3.450","122,000"
02/11/2025,"3.400","3.480","3.400","3.450","88,000"
02/10/2025,"3.500","3.500","3.400","3.480","48,000"
02/07/2025,"3.430","3.500","3.420","3.500","2,137,000"
02/06/2025,"3.500","3.500","3.430","3.430","312,000"
02/05/2025,"3.530","3.530","3.450","3.500","467,000"
02/04/2025,"3.540","3.540","3.500","3.540","136,000"
02/03/2025,"3.460","3.540","3.460","3.540","199,000"
01/31/2025,"3.550","3.550","3.460","3.520","144,000"
01/30/2025,"3.500","3.550","3.500","3.550","67,000"
01/28/2025,"3.570","3.570","3.520","3.550","116,000"
01/27/2025,"3.590","3.590","3.520","3.570","79,000"
01/24/2025,"3.610","3.610","3.500","3.590","400,000"
01/23/2025,"3.480","3.600","3.450","3.600","404,000"
01/22/2025,"3.470","3.480","3.450","3.470","267,000"
01/21/2025,"3.440","3.490","3.440","3.470","68,000"
01/20/2025,"3.500","3.500","3.430","3.430","161,000"
01/17/2025,"3.500","3.500","3.410","3.500","134,000"
01/16/2025,"3.500","3.500","3.380","3.500","13,650,000"
01/15/2025,"3.380","3.500","3.350","3.370","1,702,000"
01/14/2025,"3.400","3.450","3.320","3.380","90,000"
01/13/2025,"3.480","3.480","3.340","3.450","314,000"
01/10/2025,"3.250","3.500","3.250","3.490","1,021,000"
01/09/2025,"3.300","3.320","3.250","3.300","8,145,000"
01/08/2025,"3.280","3.380","3.280","3.300","73,000"
01/07/2025,"3.300","3.390","3.280","3.280","410,000"
01/06/2025,"3.270","3.400","3.270","3.400","487,000"
01/03/2025,"3.200","3.270","3.200","3.260","278,000"
01/02/2025,"3.210","3.260","3.210","3.240","407,000"
