Date,Open,High,Low,Close,Volume
12/29/2022,"2.230","2.300","2.220","2.290","2,000,000"
12/28/2022,"2.200","2.230","2.200","2.220","2,029,000"
12/27/2022,"2.200","2.220","2.170","2.200","1,416,000"
12/23/2022,"2.210","2.210","2.180","2.180","4,018,000"
12/22/2022,"2.200","2.220","2.180","2.200","1,658,000"
12/21/2022,"2.200","2.220","2.190","2.200","842,000"
12/20/2022,"2.180","2.190","2.160","2.190","888,000"
12/19/2022,"2.200","2.230","2.180","2.190","1,411,000"
12/16/2022,"2.250","2.250","2.190","2.200","3,147,000"
12/15/2022,"2.230","2.260","2.200","2.200","3,822,000"
12/14/2022,"2.230","2.260","2.210","2.220","1,586,000"
12/13/2022,"2.230","2.260","2.220","2.230","779,000"
12/12/2022,"2.250","2.300","2.220","2.220","839,000"
12/09/2022,"2.280","2.300","2.230","2.230","1,438,000"
12/07/2022,"2.290","2.290","2.270","2.270","1,119,000"
12/06/2022,"2.280","2.300","2.260","2.270","804,000"
12/05/2022,"2.250","2.280","2.230","2.280","1,859,000"
12/02/2022,"2.310","2.340","2.310","2.310","3,121,000"
12/01/2022,"2.260","2.310","2.260","2.300","2,911,000"
11/29/2022,"2.230","2.260","2.220","2.260","3,052,000"
11/28/2022,"2.220","2.260","2.200","2.240","2,051,000"
11/25/2022,"2.210","2.240","2.170","2.220","1,538,000"
11/24/2022,"2.200","2.210","2.140","2.210","12,694,000"
11/23/2022,"2.160","2.210","2.150","2.150","8,853,000"
11/22/2022,"2.150","2.200","2.150","2.150","3,193,000"
11/21/2022,"2.160","2.200","2.150","2.150","4,624,000"
11/18/2022,"2.150","2.190","2.150","2.150","8,585,000"
11/17/2022,"2.170","2.180","2.140","2.140","3,764,000"
11/16/2022,"2.140","2.160","2.130","2.130","4,377,000"
11/15/2022,"2.160","2.160","2.110","2.110","7,740,000"
11/14/2022,"2.140","2.170","2.120","2.120","5,493,000"
11/11/2022,"2.110","2.150","2.100","2.120","3,099,000"
11/10/2022,"2.100","2.110","2.090","2.100","2,339,000"
11/09/2022,"2.130","2.130","2.090","2.090","2,613,000"
11/08/2022,"2.100","2.130","2.090","2.110","2,009,000"
11/07/2022,"2.050","2.100","2.050","2.100","1,297,000"
11/04/2022,"2.030","2.050","2.010","2.040","1,923,000"
11/03/2022,"2.040","2.060","2.000","2.000","3,145,000"
11/02/2022,"2.020","2.060","2.020","2.060","1,288,000"
10/28/2022,"1.990","2.030","1.980","1.990","19,429,000"
10/27/2022,"2.020","2.020","1.980","1.990","18,097,000"
10/26/2022,"2.120","2.120","1.970","1.970","21,516,000"
10/25/2022,"2.200","2.220","2.100","2.100","14,165,000"
10/24/2022,"2.200","2.230","2.190","2.200","525,000"
10/21/2022,"2.200","2.220","2.190","2.190","1,401,000"
10/20/2022,"2.230","2.230","2.190","2.200","1,944,000"
10/19/2022,"2.220","2.230","2.220","2.220","749,000"
10/18/2022,"2.200","2.230","2.200","2.230","1,113,000"
10/17/2022,"2.200","2.230","2.190","2.200","3,592,000"
10/14/2022,"2.230","2.230","2.200","2.200","1,351,000"
10/13/2022,"2.230","2.230","2.200","2.210","985,000"
10/12/2022,"2.210","2.240","2.200","2.240","876,000"
10/11/2022,"2.200","2.240","2.190","2.210","303,000"
10/10/2022,"2.250","2.250","2.190","2.200","1,437,000"
10/07/2022,"2.270","2.270","2.220","2.250","629,000"
10/06/2022,"2.290","2.290","2.270","2.270","544,000"
10/05/2022,"2.250","2.320","2.250","2.290","2,088,000"
10/04/2022,"2.180","2.240","2.180","2.230","1,260,000"
10/03/2022,"2.220","2.230","2.160","2.200","1,242,000"
09/30/2022,"2.220","2.300","2.160","2.240","3,067,000"
09/29/2022,"2.150","2.230","2.150","2.230","2,227,000"
09/28/2022,"2.180","2.190","2.150","2.170","3,721,000"
09/27/2022,"2.260","2.260","2.200","2.200","5,473,000"
09/23/2022,"2.260","2.300","2.260","2.260","2,487,000"
09/22/2022,"2.300","2.300","2.260","2.260","3,328,000"
09/21/2022,"2.300","2.320","2.290","2.300","1,959,000"
09/20/2022,"2.300","2.340","2.290","2.300","4,550,000"
09/19/2022,"2.380","2.380","2.280","2.300","9,148,000"
09/16/2022,"2.350","2.400","2.310","2.310","15,074,000"
09/15/2022,"2.340","2.360","2.320","2.330","4,696,000"
09/14/2022,"2.320","2.340","2.310","2.330","2,963,000"
09/13/2022,"2.360","2.360","2.330","2.330","4,191,000"
09/12/2022,"2.330","2.350","2.310","2.320","13,253,000"
09/09/2022,"2.340","2.350","2.320","2.320","1,886,000"
09/08/2022,"2.370","2.370","2.330","2.330","9,604,000"
09/07/2022,"2.370","2.370","2.340","2.340","3,608,000"
09/06/2022,"2.370","2.380","2.360","2.360","690,000"
09/05/2022,"2.390","2.390","2.360","2.370","959,000"
09/02/2022,"2.370","2.370","2.350","2.370","2,105,000"
09/01/2022,"2.380","2.390","2.360","2.360","3,486,000"
08/31/2022,"2.390","2.390","2.370","2.380","2,421,000"
08/30/2022,"2.370","2.400","2.360","2.370","2,579,000"
08/26/2022,"2.370","2.390","2.370","2.390","1,356,000"
08/25/2022,"2.380","2.400","2.360","2.370","1,594,000"
08/24/2022,"2.370","2.380","2.360","2.370","2,040,000"
08/23/2022,"2.400","2.400","2.320","2.370","14,065,000"
08/22/2022,"2.400","2.420","2.390","2.390","4,080,000"
08/19/2022,"2.410","2.410","2.380","2.390","38,734,000"
08/18/2022,"2.420","2.420","2.390","2.410","16,661,000"
08/17/2022,"2.450","2.450","2.410","2.420","15,571,000"
08/16/2022,"2.460","2.470","2.420","2.450","4,291,000"
08/15/2022,"2.460","2.500","2.460","2.490","2,526,000"
08/12/2022,"2.490","2.510","2.450","2.450","8,757,000"
08/11/2022,"2.450","2.520","2.450","2.470","11,061,000"
08/10/2022,"2.420","2.450","2.420","2.440","4,797,000"
08/09/2022,"2.450","2.450","2.400","2.410","6,170,000"
08/08/2022,"2.450","2.450","2.390","2.450","1,135,000"
08/05/2022,"2.400","2.410","2.390","2.390","8,108,000"
08/04/2022,"2.400","2.410","2.390","2.400","7,944,000"
08/03/2022,"2.410","2.410","2.390","2.400","15,162,000"
08/02/2022,"2.430","2.440","2.410","2.410","11,367,000"
08/01/2022,"2.470","2.470","2.420","2.430","6,271,000"
07/29/2022,"2.430","2.460","2.430","2.430","21,086,000"
07/28/2022,"2.440","2.450","2.420","2.430","17,851,000"
07/27/2022,"2.460","2.470","2.430","2.440","2,082,000"
07/26/2022,"2.480","2.490","2.460","2.460","2,443,000"
07/25/2022,"2.490","2.490","2.470","2.480","2,068,000"
07/22/2022,"2.420","2.480","2.420","2.480","1,868,000"
07/21/2022,"2.410","2.440","2.390","2.400","4,737,000"
07/20/2022,"2.360","2.420","2.360","2.380","8,473,000"
07/19/2022,"2.400","2.400","2.370","2.370","2,556,000"
07/18/2022,"2.400","2.400","2.380","2.380","2,803,000"
07/15/2022,"2.400","2.420","2.380","2.390","2,494,000"
07/14/2022,"2.410","2.420","2.390","2.400","1,951,000"
07/13/2022,"2.400","2.430","2.400","2.400","1,819,000"
07/12/2022,"2.430","2.430","2.390","2.400","5,780,000"
07/11/2022,"2.430","2.450","2.390","2.400","4,954,000"
07/08/2022,"2.440","2.460","2.430","2.430","3,508,000"
07/07/2022,"2.450","2.460","2.430","2.440","2,211,000"
07/06/2022,"2.460","2.470","2.430","2.430","2,740,000"
07/05/2022,"2.460","2.480","2.430","2.440","3,277,000"
07/04/2022,"2.460","2.490","2.440","2.440","716,000"
07/01/2022,"2.450","2.460","2.430","2.440","788,000"
06/30/2022,"2.440","2.440","2.410","2.410","959,000"
06/29/2022,"2.440","2.460","2.420","2.440","2,096,000"
06/28/2022,"2.420","2.450","2.400","2.420","839,000"
06/27/2022,"2.420","2.460","2.400","2.410","6,735,000"
06/24/2022,"2.400","2.500","2.400","2.420","2,192,000"
06/23/2022,"2.450","2.460","2.400","2.400","1,686,000"
06/22/2022,"2.450","2.470","2.440","2.450","1,986,000"
06/21/2022,"2.400","2.460","2.350","2.450","11,402,000"
06/20/2022,"2.400","2.440","2.350","2.400","5,655,000"
06/17/2022,"2.380","2.450","2.380","2.400","6,713,000"
06/16/2022,"2.360","2.420","2.350","2.420","6,171,000"
06/15/2022,"2.430","2.440","2.310","2.340","5,293,000"
06/14/2022,"2.420","2.450","2.400","2.420","12,246,000"
06/13/2022,"2.460","2.480","2.450","2.460","2,179,000"
06/10/2022,"2.470","2.480","2.450","2.460","1,644,000"
06/09/2022,"2.500","2.500","2.460","2.470","2,812,000"
06/08/2022,"2.510","2.530","2.500","2.500","1,446,000"
06/07/2022,"2.540","2.540","2.500","2.510","1,276,000"
06/06/2022,"2.550","2.550","2.500","2.510","1,402,000"
06/03/2022,"2.530","2.550","2.510","2.550","1,670,000"
06/02/2022,"2.560","2.570","2.550","2.550","2,429,000"
06/01/2022,"2.550","2.580","2.550","2.550","5,220,000"
05/31/2022,"2.550","2.560","2.540","2.550","2,619,000"
05/30/2022,"2.550","2.550","2.530","2.550","904,000"
05/27/2022,"2.550","2.580","2.510","2.550","2,445,000"
05/26/2022,"2.590","2.590","2.550","2.550","4,066,000"
05/25/2022,"2.530","2.580","2.500","2.580","5,276,000"
05/24/2022,"2.450","2.530","2.450","2.500","8,240,000"
05/23/2022,"2.460","2.470","2.450","2.460","8,541,000"
05/20/2022,"2.460","2.470","2.460","2.460","7,805,000"
05/19/2022,"2.450","2.470","2.440","2.460","8,413,000"
05/18/2022,"2.470","2.470","2.430","2.450","8,046,000"
05/17/2022,"2.450","2.470","2.400","2.450","5,756,000"
05/16/2022,"2.480","2.490","2.400","2.450","16,458,000"
05/13/2022,"2.510","2.510","2.480","2.490","4,797,000"
05/12/2022,"2.490","2.520","2.470","2.480","5,119,000"
05/11/2022,"2.500","2.540","2.460","2.460","4,434,000"
05/10/2022,"2.510","2.510","2.470","2.490","17,549,000"
05/06/2022,"2.540","2.560","2.520","2.540","2,234,000"
05/05/2022,"2.510","2.560","2.500","2.560","3,132,000"
05/04/2022,"2.570","2.570","2.520","2.530","14,004,000"
05/02/2022,"2.570","2.590","2.550","2.560","3,558,000"
04/29/2022,"2.590","2.600","2.560","2.560","8,616,000"
04/28/2022,"2.580","2.600","2.570","2.590","2,609,000"
04/27/2022,"2.580","2.590","2.570","2.580","2,762,000"
04/26/2022,"2.600","2.600","2.590","2.590","2,497,000"
04/25/2022,"2.600","2.600","2.580","2.600","4,015,000"
04/22/2022,"2.620","2.620","2.600","2.600","882,000"
04/21/2022,"2.600","2.630","2.600","2.610","2,134,000"
04/20/2022,"2.600","2.620","2.590","2.600","8,074,000"
04/19/2022,"2.590","2.600","2.580","2.600","2,579,000"
04/18/2022,"2.580","2.600","2.570","2.570","1,640,000"
04/13/2022,"2.580","2.600","2.570","2.570","7,348,000"
04/12/2022,"2.590","2.600","2.580","2.580","1,721,000"
04/11/2022,"2.600","2.610","2.580","2.580","2,088,000"
04/08/2022,"2.580","2.610","2.580","2.580","3,560,000"
04/07/2022,"2.600","2.620","2.570","2.580","3,711,000"
04/06/2022,"2.680","2.680","2.600","2.610","1,721,000"
04/05/2022,"2.640","2.670","2.600","2.670","10,089,000"
04/04/2022,"2.590","2.600","2.560","2.600","9,876,000"
