Date,Open,High,Low,Close,Volume
12/28/2022,"8.00","8.49","8.00","8.49","200"
10/14/2022,"8.00","8.00","8.00","8.00","1,000"
10/12/2022,"7.50","8.41","7.50","8.41","400"
10/11/2022,"8.00","8.00","8.00","8.00","1,600"
10/06/2022,"6.72","8.41","6.72","8.41","400"
10/05/2022,"8.00","8.00","8.00","8.00","1,000"
09/30/2022,"8.42","8.42","8.42","8.42","200"
09/12/2022,"8.00","8.00","8.00","8.00","100"
08/31/2022,"8.43","8.43","8.43","8.43","100"
08/24/2022,"6.72","8.00","6.72","8.00","300"
08/01/2022,"8.00","8.00","8.00","8.00","1,500"
07/19/2022,"8.39","8.39","8.39","8.39","100"
07/11/2022,"8.00","8.00","8.00","8.00","300"
06/28/2022,"6.72","8.39","6.72","8.39","800"
06/08/2022,"8.14","8.14","8.14","8.14","100"
06/07/2022,"8.14","8.14","8.14","8.14","100"
06/06/2022,"8.14","8.14","8.14","8.14","200"
05/31/2022,"7.97","8.40","7.97","8.40","4,800"
05/18/2022,"7.99","7.99","7.99","7.99","100"
04/29/2022,"8.40","8.40","8.00","8.00","1,000"
04/26/2022,"6.78","6.78","6.78","6.78","1,000"
04/25/2022,"6.94","6.95","6.94","6.95","3,000"
04/20/2022,"6.95","6.98","6.95","6.98","1,100"
04/18/2022,"8.39","8.39","8.19","8.19","1,300"
04/11/2022,"6.76","6.76","6.76","6.76","5,000"
03/31/2022,"8.49","8.50","8.35","8.35","5,900"
03/08/2022,"6.93","6.93","6.93","6.93","100"
03/03/2022,"8.34","8.35","8.34","8.35","4,100"
02/28/2022,"8.49","8.49","8.49","8.49","200"
02/14/2022,"6.84","6.84","6.84","6.84","300"
02/07/2022,"8.40","8.40","6.83","8.40","800"
02/04/2022,"8.49","8.50","8.49","8.49","1,000"
02/03/2022,"6.81","6.81","6.81","6.81","400"
01/26/2022,"6.78","8.35","6.78","8.35","600"
01/19/2022,"6.76","8.40","6.76","8.40","1,200"
01/18/2022,"8.40","8.40","8.40","8.40","100"
01/13/2022,"8.40","8.40","8.40","8.40","100"
01/11/2022,"8.44","8.44","8.44","8.44","100"
01/03/2022,"6.72","8.49","6.72","8.49","600"
