Date,Open,High,Low,Close,Volume
12/22/2020,"8.48","8.48","8.48","8.48","200"
12/21/2020,"8.50","8.50","8.50","8.50","100"
12/02/2020,"6.14","8.09","6.14","8.09","300"
11/26/2020,"8.09","8.09","8.09","8.09","1,400"
11/24/2020,"8.09","8.09","8.09","8.09","100"
11/03/2020,"8.19","8.19","8.19","8.19","400"
10/27/2020,"8.19","8.20","5.80","8.20","3,604,500"
10/22/2020,"8.19","8.19","6.80","8.19","800"
10/20/2020,"8.19","8.19","8.19","8.19","100"
09/03/2020,"8.25","8.25","8.25","8.25","300"
08/27/2020,"8.00","8.00","8.00","8.00","200"
08/04/2020,"8.49","8.49","8.49","8.49","100"
07/30/2020,"6.62","8.49","6.62","8.49","1,100"
07/29/2020,"7.80","7.80","7.80","7.80","1,000"
07/27/2020,"8.00","8.00","8.00","8.00","2,500"
07/22/2020,"8.49","8.49","8.44","8.44","10,400"
07/20/2020,"6.50","8.44","6.50","8.44","200"
06/03/2020,"8.44","8.44","8.44","8.44","300"
05/21/2020,"8.44","8.44","8.44","8.44","200"
05/07/2020,"6.27","8.43","6.27","8.43","200"
03/04/2020,"8.46","8.46","8.46","8.46","100"
02/10/2020,"7.02","8.47","6.21","8.47","500"
02/06/2020,"7.02","8.47","7.02","8.47","200"
01/28/2020,"8.48","8.48","8.48","8.48","100"
01/20/2020,"7.03","8.49","7.03","8.49","700"
01/10/2020,"6.22","8.48","6.22","8.48","400"
01/06/2020,"8.49","8.49","8.49","8.49","600"
01/03/2020,"8.49","8.49","8.49","8.49","700"
01/02/2020,"8.49","8.49","8.49","8.49","100"
