Date,Open,High,Low,Close,Volume
12/29/2023,"6.520","6.520","6.490","6.490","1,200"
12/28/2023,"6.460","6.540","6.400","6.490","27,000"
12/27/2023,"6.500","6.500","6.460","6.460","11,200"
12/22/2023,"6.590","6.590","6.500","6.500","39,700"
12/21/2023,"6.350","6.750","6.350","6.500","118,900"
12/20/2023,"6.570","6.570","6.400","6.400","201,700"
12/19/2023,"7.190","7.190","6.500","6.550","74,100"
12/18/2023,"6.540","6.740","6.500","6.630","13,200"
12/15/2023,"7.000","7.000","6.500","6.500","157,500"
12/14/2023,"7.000","7.000","6.500","6.700","234,000"
12/12/2023,"7.450","7.450","7.400","7.400","1,600"
12/11/2023,"6.910","7.450","6.880","7.450","28,000"
12/07/2023,"7.380","7.380","6.880","7.140","67,400"
12/06/2023,"7.380","7.450","7.300","7.350","6,800"
12/05/2023,"7.110","7.250","7.050","7.050","3,800"
12/04/2023,"7.480","7.480","7.200","7.400","1,600"
12/01/2023,"7.200","7.540","7.200","7.540","4,200"
11/30/2023,"7.550","7.550","7.200","7.200","14,800"
11/29/2023,"7.490","7.490","7.490","7.490","100"
11/28/2023,"7.200","7.540","7.100","7.540","5,100"
11/24/2023,"7.200","7.510","7.020","7.100","15,000"
11/23/2023,"7.690","7.690","7.120","7.210","18,500"
11/22/2023,"7.690","7.690","7.120","7.120","8,300"
11/21/2023,"7.190","7.750","7.190","7.200","1,600"
11/20/2023,"7.320","7.320","7.200","7.200","7,300"
11/17/2023,"7.520","7.520","7.400","7.400","15,100"
11/16/2023,"7.350","7.520","7.350","7.520","2,900"
11/14/2023,"7.300","7.300","7.300","7.300","900"
11/13/2023,"7.400","7.410","7.400","7.410","1,300"
11/10/2023,"7.510","7.510","7.450","7.450","800"
11/09/2023,"7.350","7.350","7.200","7.200","25,200"
11/08/2023,"7.700","7.700","7.700","7.700","4,500"
11/07/2023,"7.250","7.700","7.250","7.700","2,700"
11/06/2023,"7.700","7.700","7.700","7.700","1,200"
11/03/2023,"7.700","7.700","7.700","7.700","300"
10/31/2023,"7.690","7.750","7.690","7.700","70,900"
10/27/2023,"7.200","7.700","7.200","7.700","11,200"
10/26/2023,"7.700","7.700","7.250","7.700","30,500"
10/25/2023,"7.300","7.490","7.200","7.400","14,400"
10/24/2023,"7.400","7.400","7.300","7.300","1,300"
10/23/2023,"7.330","7.540","7.300","7.300","8,600"
10/20/2023,"7.740","7.740","7.400","7.400","24,300"
10/19/2023,"7.520","7.800","7.500","7.700","12,900"
10/18/2023,"7.700","7.800","7.540","7.540","28,600"
10/17/2023,"7.700","7.700","7.700","7.700","29,000"
10/16/2023,"7.330","7.350","7.320","7.320","800"
10/13/2023,"7.310","7.330","7.310","7.330","200"
10/12/2023,"7.310","7.600","7.310","7.320","9,200"
10/11/2023,"7.500","7.700","7.310","7.310","7,700"
10/10/2023,"7.620","7.700","7.500","7.500","118,800"
10/09/2023,"7.650","7.650","7.620","7.620","9,900"
10/06/2023,"7.420","7.500","7.420","7.500","1,300"
10/05/2023,"7.650","7.650","7.500","7.500","87,800"
10/04/2023,"7.650","7.650","7.650","7.650","4,900"
10/03/2023,"7.650","7.700","7.420","7.420","123,300"
10/02/2023,"7.700","7.790","7.500","7.500","24,600"
09/29/2023,"7.700","7.700","7.500","7.500","4,000"
09/28/2023,"7.500","7.700","7.400","7.400","30,100"
09/27/2023,"7.300","7.300","7.300","7.300","10,100"
09/26/2023,"7.300","7.400","7.300","7.300","7,400"
09/25/2023,"7.790","7.790","7.300","7.300","12,400"
09/21/2023,"7.300","7.300","7.300","7.300","12,300"
09/20/2023,"7.350","7.350","7.300","7.300","17,000"
09/19/2023,"7.400","7.400","7.350","7.400","20,600"
09/18/2023,"7.500","7.500","7.400","7.400","500"
09/15/2023,"7.350","7.880","7.310","7.880","8,100"
09/14/2023,"7.600","7.600","7.400","7.400","1,000"
09/13/2023,"7.450","7.470","7.350","7.400","21,300"
09/12/2023,"7.450","7.800","7.450","7.500","35,100"
09/11/2023,"7.550","7.790","7.500","7.550","44,500"
