Date,Open,High,Low,Close,Volume
04/30/2025,"1.300","1.300","1.300","1.300","50,000"
04/28/2025,"1.280","1.320","1.250","1.300","130,000"
04/25/2025,"1.330","1.350","1.280","1.300","42,000"
04/24/2025,"1.330","1.330","1.330","1.330","4,000"
04/23/2025,"1.310","1.310","1.310","1.310","1,000"
04/21/2025,"1.310","1.310","1.310","1.310","1,000"
04/16/2025,"1.360","1.360","1.320","1.320","9,000"
04/15/2025,"1.310","1.310","1.310","1.310","30,000"
04/14/2025,"1.370","1.370","1.310","1.310","6,000"
04/11/2025,"1.350","1.360","1.350","1.360","9,000"
04/10/2025,"1.320","1.320","1.310","1.310","5,000"
04/08/2025,"1.300","1.300","1.300","1.300","2,000"
04/07/2025,"1.300","1.300","1.300","1.300","12,000"
04/04/2025,"1.410","1.410","1.350","1.350","165,000"
03/31/2025,"1.420","1.420","1.400","1.410","358,000"
03/28/2025,"1.430","1.430","1.430","1.430","1,000"
03/27/2025,"1.450","1.450","1.420","1.420","11,000"
03/26/2025,"1.450","1.450","1.420","1.420","18,000"
03/25/2025,"1.440","1.450","1.430","1.450","186,000"
03/21/2025,"1.440","1.440","1.440","1.440","4,000"
03/20/2025,"1.450","1.450","1.440","1.440","12,000"
03/18/2025,"1.470","1.470","1.470","1.470","4,000"
03/17/2025,"1.480","1.480","1.480","1.480","2,000"
03/13/2025,"1.460","1.460","1.440","1.440","36,000"
03/12/2025,"1.480","1.480","1.480","1.480","3,000"
03/11/2025,"1.530","1.530","1.490","1.490","9,000"
03/10/2025,"1.460","1.460","1.460","1.460","8,000"
03/07/2025,"1.520","1.520","1.520","1.520","2,000"
03/04/2025,"1.460","1.460","1.460","1.460","80,000"
03/03/2025,"1.460","1.460","1.460","1.460","1,000"
02/28/2025,"1.460","1.460","1.460","1.460","3,000"
02/27/2025,"1.470","1.470","1.460","1.460","22,000"
02/26/2025,"1.510","1.510","1.460","1.500","89,000"
02/25/2025,"1.530","1.530","1.530","1.530","35,000"
02/24/2025,"1.480","1.540","1.480","1.540","75,000"
02/21/2025,"1.480","1.480","1.460","1.460","127,000"
02/18/2025,"1.470","1.490","1.470","1.490","235,000"
02/14/2025,"1.470","1.480","1.470","1.480","13,000"
02/13/2025,"1.490","1.490","1.480","1.480","182,000"
02/12/2025,"1.480","1.480","1.480","1.480","143,000"
02/11/2025,"1.480","1.520","1.480","1.480","91,000"
02/10/2025,"1.540","1.540","1.490","1.520","87,000"
02/07/2025,"1.560","1.560","1.540","1.540","134,000"
02/06/2025,"1.480","1.570","1.470","1.570","39,000"
02/05/2025,"1.540","1.590","1.540","1.580","99,000"
02/04/2025,"1.440","1.500","1.440","1.500","70,000"
02/03/2025,"1.470","1.470","1.470","1.470","4,000"
01/31/2025,"1.480","1.500","1.470","1.500","37,000"
01/30/2025,"1.540","1.540","1.500","1.500","35,000"
01/28/2025,"1.530","1.530","1.530","1.530","3,000"
01/27/2025,"1.500","1.530","1.500","1.530","80,000"
01/24/2025,"1.500","1.500","1.500","1.500","2,000"
01/23/2025,"1.480","1.500","1.480","1.500","24,000"
01/22/2025,"1.510","1.510","1.470","1.470","43,000"
01/20/2025,"1.540","1.540","1.470","1.470","26,000"
01/17/2025,"1.470","1.470","1.470","1.470","9,000"
01/16/2025,"1.540","1.540","1.480","1.480","47,000"
01/15/2025,"1.530","1.540","1.530","1.540","7,000"
01/14/2025,"1.530","1.530","1.530","1.530","5,000"
01/13/2025,"1.470","1.530","1.470","1.530","30,000"
01/10/2025,"1.500","1.500","1.470","1.470","15,000"
01/09/2025,"1.520","1.540","1.520","1.540","14,000"
01/08/2025,"1.510","1.530","1.470","1.470","267,000"
01/07/2025,"1.520","1.610","1.500","1.520","514,000"
01/06/2025,"1.620","1.660","1.540","1.540","35,000"
01/03/2025,"1.600","1.630","1.600","1.610","24,000"
