Date,Open,High,Low,Close,Volume
12/29/2021,"5.020","5.020","5.020","5.020","9,900"
12/28/2021,"5.010","5.010","5.010","5.010","2,000"
12/23/2021,"4.910","4.910","4.910","4.910","400"
12/22/2021,"5.000","5.000","5.000","5.000","500"
12/21/2021,"5.000","5.450","5.000","5.000","40,100"
12/17/2021,"5.020","5.660","5.000","5.660","31,100"
12/16/2021,"5.100","5.100","5.100","5.100","100"
12/15/2021,"5.010","5.010","5.010","5.010","5,000"
12/14/2021,"5.500","5.680","4.760","5.670","6,200"
12/13/2021,"6.450","6.450","5.500","5.500","2,700"
12/10/2021,"7.350","7.350","5.940","5.950","1,557,000"
12/09/2021,"5.150","5.150","4.920","4.920","43,100"
12/07/2021,"5.440","5.440","5.440","5.440","100"
12/03/2021,"5.150","5.460","5.150","5.460","1,300"
12/01/2021,"5.110","5.460","5.110","5.460","1,900"
11/29/2021,"5.110","5.490","5.110","5.490","200"
11/26/2021,"5.120","5.490","5.120","5.490","4,800"
11/22/2021,"5.120","5.120","5.120","5.120","100,000"
11/19/2021,"5.130","5.130","5.120","5.120","20,500"
11/18/2021,"5.200","5.200","5.200","5.200","100"
11/17/2021,"5.120","5.490","5.120","5.470","2,700"
11/16/2021,"5.250","5.250","5.120","5.120","10,700"
11/15/2021,"5.160","5.250","5.160","5.250","10,400"
11/08/2021,"5.130","5.570","5.120","5.500","30,600"
11/05/2021,"5.120","5.590","5.120","5.590","3,800"
11/04/2021,"5.250","5.300","5.110","5.110","45,000"
11/03/2021,"5.250","5.250","5.230","5.230","3,100"
11/02/2021,"5.230","5.230","5.230","5.230","8,000"
10/25/2021,"5.500","5.500","5.500","5.500","1,000"
10/22/2021,"5.500","5.510","5.500","5.500","11,900"
10/21/2021,"5.500","5.500","5.500","5.500","100"
10/20/2021,"5.500","5.500","5.500","5.500","1,000"
10/18/2021,"5.510","5.530","5.250","5.250","75,200"
10/15/2021,"5.510","5.510","5.510","5.510","45,500"
10/14/2021,"5.530","5.530","5.510","5.510","27,700"
10/13/2021,"5.750","5.750","5.710","5.710","10,700"
10/12/2021,"5.750","5.760","5.740","5.750","14,400"
10/11/2021,"5.960","5.960","5.740","5.740","5,700"
10/07/2021,"6.000","6.000","5.900","5.960","56,500"
10/06/2021,"6.230","6.230","6.000","6.000","3,100"
10/05/2021,"6.000","6.230","6.000","6.230","5,000"
10/04/2021,"6.000","6.190","6.000","6.000","7,500"
09/30/2021,"6.000","6.000","6.000","6.000","21,800"
09/29/2021,"6.000","6.000","6.000","6.000","13,000"
09/28/2021,"6.010","6.010","6.010","6.010","11,500"
09/27/2021,"6.010","6.010","6.010","6.010","18,700"
09/24/2021,"6.010","6.010","6.010","6.010","15,000"
09/22/2021,"6.210","6.210","6.010","6.010","200"
09/21/2021,"6.010","6.210","6.010","6.210","4,600"
09/20/2021,"6.240","6.250","6.020","6.020","2,800"
09/17/2021,"6.020","6.020","6.020","6.020","2,700"
09/16/2021,"6.290","6.300","6.020","6.020","6,300"
09/15/2021,"6.010","6.370","6.000","6.300","5,700"
09/14/2021,"6.010","6.010","6.010","6.010","2,500"
09/13/2021,"6.020","6.020","6.020","6.020","9,300"
09/08/2021,"6.020","6.020","6.020","6.020","5,100"
09/07/2021,"6.050","6.050","6.020","6.020","2,600"
09/06/2021,"6.320","6.320","6.010","6.010","1,700"
09/02/2021,"6.010","6.340","6.010","6.340","3,100"
09/01/2021,"6.010","6.010","6.000","6.000","22,000"
08/31/2021,"6.010","6.010","6.010","6.010","800"
08/27/2021,"6.390","6.390","6.380","6.380","1,400"
08/26/2021,"6.030","6.030","6.000","6.010","18,000"
08/25/2021,"6.190","6.190","6.190","6.190","100"
08/24/2021,"6.100","6.100","6.040","6.040","3,900"
08/23/2021,"6.200","6.200","6.080","6.080","7,100"
08/20/2021,"6.400","6.400","6.100","6.100","42,200"
08/19/2021,"6.400","6.400","6.210","6.210","1,400"
08/18/2021,"6.400","6.400","6.390","6.390","1,100"
08/17/2021,"6.400","6.400","6.400","6.400","1,100"
08/16/2021,"6.380","6.380","6.380","6.380","100"
08/13/2021,"6.400","6.400","6.200","6.200","200"
08/12/2021,"6.390","6.400","6.190","6.400","8,700"
08/10/2021,"6.440","6.440","6.160","6.160","28,000"
08/09/2021,"6.160","6.400","6.150","6.160","10,000"
08/06/2021,"6.420","6.420","6.420","6.420","1,100"
08/05/2021,"6.420","6.420","6.410","6.410","2,000"
08/04/2021,"6.420","6.420","6.300","6.390","10,200"
08/03/2021,"6.400","6.400","6.400","6.400","100"
08/02/2021,"6.450","6.450","6.400","6.400","5,100"
07/30/2021,"6.450","6.450","6.110","6.420","5,200"
07/29/2021,"6.400","6.400","6.390","6.400","1,600"
07/28/2021,"6.450","6.450","6.350","6.350","4,700"
07/27/2021,"6.440","6.440","6.440","6.440","100"
07/26/2021,"6.450","6.450","6.110","6.390","15,000"
07/23/2021,"6.450","6.450","6.250","6.250","4,600"
07/22/2021,"6.300","6.450","6.300","6.450","1,300"
07/21/2021,"6.450","6.450","6.320","6.320","2,900"
07/19/2021,"6.450","6.450","6.320","6.320","24,100"
07/16/2021,"6.450","6.450","6.320","6.320","28,000"
07/15/2021,"6.440","6.440","6.320","6.320","1,600"
07/14/2021,"6.450","6.450","6.450","6.450","1,600"
07/13/2021,"6.470","6.470","6.350","6.350","5,400"
07/12/2021,"6.500","6.500","6.320","6.320","24,000"
07/09/2021,"6.410","6.550","6.410","6.410","10,100"
07/08/2021,"6.650","6.650","6.450","6.590","5,100"
07/07/2021,"6.450","6.690","6.350","6.410","112,000"
07/06/2021,"6.860","6.860","6.410","6.600","323,700"
07/05/2021,"6.860","6.860","6.770","6.770","9,500"
07/02/2021,"6.820","6.820","6.600","6.770","52,900"
07/01/2021,"6.680","6.840","6.610","6.840","80,300"
06/30/2021,"6.680","6.860","6.680","6.860","28,100"
06/29/2021,"6.890","6.890","6.880","6.880","200"
06/28/2021,"6.670","6.900","6.670","6.890","13,300"
06/25/2021,"6.900","6.900","6.880","6.900","13,200"
06/24/2021,"6.670","6.900","6.670","6.890","1,900"
06/23/2021,"6.900","6.900","6.700","6.900","300"
06/22/2021,"6.880","6.900","6.850","6.900","14,500"
06/21/2021,"6.900","6.900","6.900","6.900","100"
06/18/2021,"6.910","6.910","6.700","6.900","42,400"
06/17/2021,"7.070","7.070","6.650","6.890","157,200"
06/16/2021,"7.190","7.190","7.060","7.180","2,600"
06/15/2021,"7.200","7.220","7.040","7.180","28,200"
06/14/2021,"7.050","7.200","6.870","7.040","18,200"
06/11/2021,"6.700","7.220","6.650","7.050","81,500"
06/10/2021,"6.720","6.720","6.600","6.650","29,300"
06/09/2021,"6.720","6.740","6.650","6.670","40,200"
06/08/2021,"6.740","6.740","6.700","6.700","8,300"
06/07/2021,"6.650","6.720","6.520","6.710","44,000"
06/04/2021,"6.700","6.800","6.590","6.760","10,300"
