Date,Open,High,Low,Close,Volume
12/29/2023,"9.65","9.84","9.65","9.77","2,841,600"
12/28/2023,"9.40","9.64","9.38","9.60","2,692,300"
12/27/2023,"9.40","9.42","9.39","9.40","488,900"
12/22/2023,"9.37","9.42","9.37","9.40","806,700"
12/21/2023,"9.28","9.40","9.28","9.37","351,200"
12/20/2023,"9.35","9.40","9.28","9.28","868,800"
12/19/2023,"9.24","9.35","9.24","9.35","2,289,700"
12/18/2023,"9.21","9.37","9.21","9.22","2,107,300"
12/15/2023,"9.57","9.57","9.20","9.20","4,413,600"
12/14/2023,"9.34","9.56","9.30","9.30","2,597,700"
12/13/2023,"9.34","9.34","9.26","9.33","1,460,200"
12/12/2023,"9.32","9.33","9.30","9.30","1,082,000"
12/11/2023,"9.30","9.32","9.26","9.30","1,006,400"
12/07/2023,"9.32","9.32","9.25","9.31","2,979,400"
12/06/2023,"9.29","9.31","9.27","9.30","1,403,300"
12/05/2023,"9.35","9.38","9.21","9.29","1,431,300"
12/04/2023,"9.28","9.34","9.27","9.30","1,195,900"
12/01/2023,"9.38","9.38","9.27","9.28","643,700"
11/30/2023,"9.29","9.42","9.20","9.20","5,443,800"
11/29/2023,"9.37","9.37","9.21","9.21","1,273,500"
11/28/2023,"9.34","9.41","9.20","9.20","1,979,800"
11/24/2023,"9.26","9.32","9.25","9.30","697,100"
11/23/2023,"9.22","9.35","9.22","9.25","901,900"
11/22/2023,"9.35","9.35","9.21","9.22","1,107,800"
11/21/2023,"9.30","9.38","9.20","9.30","2,079,500"
11/20/2023,"9.36","9.39","9.17","9.20","2,465,500"
11/17/2023,"9.31","9.35","9.25","9.25","1,012,800"
11/16/2023,"9.20","9.29","9.20","9.27","477,400"
11/15/2023,"9.25","9.26","9.20","9.20","2,071,400"
11/14/2023,"9.27","9.27","9.16","9.16","1,040,600"
11/13/2023,"9.20","9.28","9.12","9.12","1,366,200"
11/10/2023,"9.18","9.21","9.13","9.16","4,158,400"
11/09/2023,"9.25","9.25","9.10","9.10","3,715,300"
11/08/2023,"9.25","9.25","9.12","9.17","2,900,400"
11/07/2023,"9.23","9.23","9.16","9.16","3,782,300"
11/06/2023,"9.18","9.30","9.16","9.22","2,066,200"
11/03/2023,"9.27","9.29","9.15","9.18","2,605,600"
10/31/2023,"9.49","9.49","9.01","9.17","4,655,900"
10/27/2023,"9.50","9.50","9.43","9.45","1,013,800"
10/26/2023,"9.51","9.54","9.47","9.50","1,443,200"
10/25/2023,"9.52","9.60","9.50","9.57","1,099,400"
10/24/2023,"9.60","9.65","9.52","9.52","3,500,200"
10/23/2023,"9.34","9.70","9.34","9.60","7,019,800"
10/20/2023,"10.30","10.32","10.16","10.26","8,091,600"
10/19/2023,"10.34","10.38","10.26","10.28","3,989,500"
10/18/2023,"10.54","10.58","10.30","10.30","40,385,301"
10/17/2023,"10.48","10.56","10.48","10.54","4,567,500"
10/16/2023,"10.50","10.54","10.42","10.44","2,176,500"
10/13/2023,"10.52","10.58","10.44","10.48","2,835,000"
10/12/2023,"10.60","10.70","10.38","10.42","4,247,200"
10/11/2023,"10.88","10.90","10.50","10.50","5,097,500"
10/10/2023,"10.52","10.86","10.52","10.80","4,667,700"
10/09/2023,"10.48","10.48","10.30","10.36","861,700"
10/06/2023,"10.22","10.52","10.18","10.52","2,420,300"
10/05/2023,"10.46","10.46","10.12","10.22","1,786,900"
10/04/2023,"10.50","10.50","10.30","10.46","4,092,600"
10/03/2023,"10.64","10.64","10.44","10.50","1,757,600"
10/02/2023,"10.60","10.64","10.40","10.64","2,815,600"
09/29/2023,"10.62","10.68","10.42","10.42","4,381,400"
09/28/2023,"10.44","10.74","10.40","10.62","5,440,300"
09/27/2023,"10.36","10.42","10.30","10.40","1,533,100"
09/26/2023,"10.16","10.34","10.16","10.30","1,485,100"
09/25/2023,"10.38","10.38","10.18","10.18","1,546,800"
09/22/2023,"10.20","10.36","10.20","10.36","623,700"
09/21/2023,"10.44","10.50","10.20","10.20","1,714,200"
09/20/2023,"10.44","10.58","10.28","10.44","2,670,800"
09/19/2023,"10.46","10.54","10.38","10.44","2,123,700"
09/18/2023,"10.46","10.52","10.34","10.46","8,464,400"
09/15/2023,"10.38","10.54","10.34","10.42","3,608,900"
09/14/2023,"10.34","10.44","10.28","10.36","690,700"
09/13/2023,"10.44","10.44","10.14","10.30","2,214,100"
09/12/2023,"10.44","10.56","10.30","10.30","4,590,400"
09/11/2023,"10.16","10.42","10.14","10.40","2,818,300"
09/08/2023,"10.10","10.18","10.08","10.14","996,300"
09/07/2023,"10.34","10.34","10.08","10.10","1,421,600"
09/06/2023,"10.36","10.40","10.24","10.36","1,900,200"
09/05/2023,"10.22","10.34","10.16","10.34","2,618,000"
09/04/2023,"9.90","10.22","9.89","10.22","4,893,400"
09/01/2023,"9.71","9.94","9.71","9.88","1,007,800"
08/31/2023,"10.00","10.06","9.66","9.66","2,559,700"
08/30/2023,"9.63","10.00","9.63","9.99","4,493,000"
08/29/2023,"9.49","9.65","9.47","9.63","1,918,300"
08/25/2023,"9.50","9.58","9.45","9.48","1,738,400"
08/24/2023,"9.50","9.56","9.48","9.50","1,278,300"
08/23/2023,"9.71","9.71","9.45","9.46","1,331,500"
08/22/2023,"9.82","9.85","9.63","9.71","943,600"
08/18/2023,"9.62","9.87","9.62","9.87","4,621,000"
08/17/2023,"9.75","9.75","9.62","9.62","1,001,100"
08/16/2023,"9.39","9.78","9.37","9.78","2,900,500"
08/15/2023,"9.35","9.42","9.27","9.36","2,554,400"
08/14/2023,"9.50","9.50","9.21","9.32","6,572,800"
08/11/2023,"9.53","9.53","9.41","9.50","2,438,100"
08/10/2023,"9.60","9.61","9.49","9.53","3,227,800"
08/09/2023,"9.50","9.75","9.49","9.60","3,510,400"
08/08/2023,"9.40","9.54","9.40","9.50","1,214,800"
08/07/2023,"9.25","9.44","9.25","9.40","1,410,900"
08/04/2023,"9.50","9.58","9.12","9.12","3,802,300"
08/03/2023,"9.50","9.53","9.40","9.50","1,357,600"
08/02/2023,"9.54","9.59","9.41","9.50","1,369,000"
08/01/2023,"9.67","9.69","9.46","9.54","1,476,100"
07/31/2023,"9.57","9.72","9.57","9.60","2,652,200"
