Date,Open,High,Low,Close,Volume
12/31/2021,"6.76","6.78","6.76","6.78","84,600"
12/29/2021,"6.76","6.78","6.30","6.76","252,000"
12/28/2021,"6.78","6.78","6.78","6.78","23,500"
12/27/2021,"6.76","6.78","6.76","6.78","31,800"
12/24/2021,"6.76","6.78","6.76","6.78","36,700"
12/23/2021,"6.78","6.78","6.76","6.76","38,700"
12/22/2021,"6.78","6.78","6.76","6.78","27,400"
12/21/2021,"6.78","6.78","6.76","6.78","31,700"
12/20/2021,"6.78","6.78","6.78","6.78","31,200"
12/17/2021,"6.75","6.78","6.72","6.78","25,000"
12/16/2021,"6.78","6.78","6.78","6.78","127,000"
12/15/2021,"6.78","6.78","6.75","6.75","32,000"
12/14/2021,"6.70","6.75","6.65","6.75","40,500"
12/13/2021,"6.84","6.90","6.70","6.70","2,977,800"
12/10/2021,"6.92","6.92","6.85","6.85","45,500"
12/09/2021,"6.78","6.92","6.78","6.90","34,600"
12/07/2021,"6.91","6.92","6.80","6.92","262,000"
12/06/2021,"6.85","6.92","6.85","6.92","43,600"
12/03/2021,"6.85","6.85","6.82","6.85","47,700"
12/02/2021,"6.80","6.92","6.80","6.85","91,000"
12/01/2021,"6.92","6.92","6.80","6.80","77,400"
11/29/2021,"6.85","6.85","6.80","6.80","48,400"
11/26/2021,"6.90","6.92","6.85","6.90","82,600"
11/25/2021,"6.72","6.92","6.70","6.90","324,000"
11/24/2021,"6.75","6.82","6.75","6.82","29,000"
11/23/2021,"6.91","6.92","6.80","6.80","66,800"
11/22/2021,"6.78","6.91","6.78","6.89","31,100"
11/19/2021,"6.88","6.88","6.72","6.78","39,200"
11/18/2021,"6.88","6.88","6.80","6.88","246,000"
11/17/2021,"6.97","6.97","6.78","6.89","94,500"
11/16/2021,"6.98","6.98","6.90","6.98","166,100"
11/15/2021,"6.95","6.98","6.90","6.98","105,800"
11/12/2021,"6.97","6.98","6.92","6.98","36,600"
11/11/2021,"6.99","6.99","6.96","6.97","70,700"
11/10/2021,"6.95","6.98","6.95","6.96","53,900"
11/09/2021,"6.98","6.99","6.93","6.95","67,000"
11/08/2021,"6.99","6.99","6.96","6.98","163,700"
11/05/2021,"6.99","6.99","6.95","6.95","55,500"
11/04/2021,"6.95","6.98","6.95","6.98","38,800"
11/03/2021,"6.88","6.96","6.88","6.95","24,800"
11/02/2021,"6.87","6.88","6.87","6.88","15,800"
10/29/2021,"6.88","6.88","6.87","6.88","32,200"
10/28/2021,"6.85","6.87","6.72","6.87","64,400"
10/27/2021,"6.82","6.85","6.81","6.85","29,400"
10/26/2021,"6.80","6.82","6.80","6.82","23,900"
10/25/2021,"6.80","6.88","6.80","6.86","18,700"
10/22/2021,"6.75","6.75","6.72","6.75","22,600"
10/21/2021,"6.84","6.88","6.82","6.88","19,700"
10/20/2021,"6.70","6.84","6.70","6.84","23,000"
10/19/2021,"6.80","6.82","6.80","6.80","34,500"
10/18/2021,"6.58","6.78","6.30","6.75","205,800"
10/15/2021,"6.88","6.88","6.35","6.35","73,400"
10/14/2021,"6.80","6.85","6.80","6.82","24,300"
10/13/2021,"6.90","6.90","6.85","6.85","21,800"
10/12/2021,"6.90","6.90","6.85","6.85","87,900"
10/11/2021,"6.97","6.99","6.97","6.99","36,000"
10/08/2021,"6.98","6.98","6.97","6.97","34,300"
10/07/2021,"6.82","6.99","6.30","6.98","109,600"
10/06/2021,"6.90","6.90","6.85","6.85","20,100"
10/05/2021,"7.00","7.00","6.90","6.90","53,500"
10/04/2021,"6.90","7.00","6.90","7.00","49,100"
10/01/2021,"6.76","6.92","6.70","6.80","46,400"
09/30/2021,"6.77","6.92","6.70","6.90","69,400"
09/29/2021,"6.94","6.94","6.90","6.90","30,500"
09/28/2021,"6.80","6.95","6.79","6.94","171,400"
09/27/2021,"6.80","6.80","6.78","6.80","38,000"
09/24/2021,"6.75","6.78","6.75","6.75","32,700"
09/23/2021,"6.72","6.74","6.72","6.72","36,700"
09/22/2021,"6.70","6.74","6.70","6.74","23,000"
09/21/2021,"6.77","6.77","6.50","6.68","63,500"
09/20/2021,"6.69","6.69","6.64","6.68","36,600"
09/17/2021,"6.70","6.70","6.68","6.69","46,800"
09/16/2021,"6.70","6.70","6.69","6.69","69,600"
09/15/2021,"6.64","6.65","6.64","6.64","27,600"
09/14/2021,"6.62","6.65","6.62","6.64","25,000"
