Date,Open,High,Low,Close,Volume
12/27/2024,"6.02","6.09","6.02","6.09","247,800"
12/26/2024,"6.04","6.06","6.01","6.05","1,069,600"
12/23/2024,"6.00","6.03","5.99","6.02","1,745,000"
12/20/2024,"6.02","6.03","5.99","6.01","1,346,800"
12/19/2024,"6.05","6.06","6.00","6.01","819,800"
12/18/2024,"6.05","6.05","5.99","6.00","1,469,800"
12/17/2024,"6.00","6.05","6.00","6.05","737,500"
12/16/2024,"6.00","6.05","5.98","6.00","489,600"
12/13/2024,"6.05","6.05","5.98","6.00","917,000"
12/12/2024,"6.05","6.05","5.97","6.00","691,300"
12/11/2024,"6.03","6.05","5.98","5.99","1,351,100"
12/10/2024,"5.99","6.06","5.99","6.03","2,196,200"
12/09/2024,"6.00","6.07","5.99","5.99","1,134,400"
12/06/2024,"6.06","6.08","6.00","6.00","1,705,600"
12/05/2024,"6.00","6.07","5.96","6.00","10,384,900"
12/04/2024,"6.05","6.08","6.00","6.00","2,104,200"
12/03/2024,"6.04","6.09","6.03","6.04","656,600"
12/02/2024,"6.08","6.09","6.02","6.04","388,000"
11/29/2024,"6.18","6.18","6.05","6.05","611,300"
11/28/2024,"6.12","6.12","6.00","6.01","1,727,300"
11/27/2024,"6.08","6.15","6.08","6.14","378,400"
11/26/2024,"6.02","6.14","6.02","6.09","277,100"
11/25/2024,"6.09","6.14","6.00","6.00","1,047,200"
11/22/2024,"6.10","6.14","6.07","6.09","502,200"
11/21/2024,"6.20","6.20","6.07","6.10","218,600"
11/20/2024,"6.18","6.25","6.17","6.17","213,800"
11/19/2024,"6.13","6.18","6.13","6.17","240,600"
11/18/2024,"6.10","6.13","6.10","6.13","224,600"
11/15/2024,"6.00","6.09","6.00","6.09","177,800"
11/14/2024,"6.07","6.07","5.98","6.00","3,100,000"
11/13/2024,"6.14","6.16","6.00","6.05","1,008,300"
11/12/2024,"6.13","6.19","6.13","6.14","157,100"
11/11/2024,"6.05","6.15","6.05","6.13","204,000"
11/08/2024,"6.09","6.11","6.03","6.05","3,073,000"
11/07/2024,"6.30","6.30","6.00","6.03","5,269,000"
11/06/2024,"6.35","6.46","6.28","6.30","333,900"
11/05/2024,"6.32","6.39","6.32","6.35","377,700"
11/04/2024,"6.27","6.37","6.22","6.32","1,942,200"
10/31/2024,"6.28","6.35","6.25","6.25","2,498,700"
10/30/2024,"6.30","6.42","6.30","6.33","2,648,800"
10/29/2024,"6.53","6.53","6.28","6.30","7,644,800"
10/28/2024,"6.60","6.60","6.50","6.52","1,169,600"
10/25/2024,"6.59","6.60","6.54","6.55","536,800"
10/24/2024,"6.70","6.71","6.52","6.59","6,264,000"
10/23/2024,"6.77","6.80","6.67","6.70","1,616,000"
10/22/2024,"6.80","6.82","6.72","6.77","1,287,800"
10/21/2024,"6.82","6.89","6.79","6.80","973,300"
10/18/2024,"6.75","6.86","6.67","6.82","1,499,100"
10/17/2024,"6.60","6.80","6.60","6.74","2,081,400"
10/16/2024,"6.51","6.62","6.48","6.57","904,500"
10/15/2024,"6.59","6.65","6.47","6.51","1,059,500"
10/14/2024,"6.48","6.60","6.45","6.59","556,600"
10/11/2024,"6.59","6.59","6.40","6.45","1,246,400"
10/10/2024,"6.69","6.69","6.51","6.59","942,800"
10/09/2024,"6.80","6.80","6.65","6.65","765,800"
10/08/2024,"6.68","6.83","6.60","6.80","3,467,500"
10/07/2024,"6.67","6.80","6.65","6.67","5,037,900"
10/04/2024,"6.65","6.75","6.63","6.67","676,900"
10/03/2024,"6.68","6.68","6.58","6.64","715,600"
10/02/2024,"6.58","6.70","6.51","6.70","7,416,500"
10/01/2024,"6.47","6.72","6.45","6.57","1,493,800"
09/30/2024,"6.70","6.70","6.42","6.47","3,012,900"
09/27/2024,"6.70","6.75","6.63","6.70","2,995,900"
09/26/2024,"6.75","6.80","6.68","6.70","1,649,500"
09/25/2024,"6.75","6.85","6.60","6.75","1,787,100"
09/24/2024,"6.58","6.76","6.58","6.74","1,668,300"
09/23/2024,"6.78","6.78","6.55","6.57","1,301,400"
09/20/2024,"6.73","6.85","6.72","6.78","6,058,100"
09/19/2024,"6.28","6.70","6.22","6.70","6,448,400"
09/18/2024,"6.28","6.38","6.25","6.28","778,600"
09/17/2024,"6.30","6.31","6.25","6.28","1,079,300"
09/16/2024,"6.35","6.38","6.19","6.38","1,488,900"
09/13/2024,"6.25","6.40","6.25","6.30","4,569,600"
09/12/2024,"6.15","6.33","6.15","6.20","3,049,100"
09/11/2024,"6.15","6.20","6.07","6.16","1,379,700"
09/10/2024,"6.07","6.18","6.06","6.14","869,000"
09/09/2024,"6.00","6.11","6.00","6.06","615,200"
09/06/2024,"6.10","6.10","6.00","6.01","1,025,000"
09/05/2024,"6.02","6.13","6.02","6.06","484,400"
09/04/2024,"6.10","6.10","6.01","6.01","346,200"
09/03/2024,"6.15","6.16","6.05","6.11","1,085,800"
09/02/2024,"6.19","6.19","6.07","6.09","392,600"
08/30/2024,"6.05","6.20","6.02","6.20","4,113,000"
