Date,Open,High,Low,Close,Volume
12/31/2021,"1.850","1.850","1.800","1.800","265,000"
12/29/2021,"1.810","1.890","1.800","1.850","108,000"
12/28/2021,"1.900","1.970","1.850","1.850","213,000"
12/27/2021,"1.880","1.970","1.850","1.920","204,000"
12/24/2021,"1.800","1.880","1.800","1.870","2,722,000"
12/23/2021,"1.710","1.880","1.710","1.800","145,000"
12/22/2021,"1.800","1.880","1.800","1.880","61,000"
12/21/2021,"1.930","1.930","1.710","1.830","442,000"
12/20/2021,"2.150","2.150","1.820","1.950","579,000"
12/17/2021,"1.800","2.200","1.800","2.150","1,571,000"
12/16/2021,"1.660","1.800","1.660","1.800","78,000"
12/15/2021,"1.810","1.810","1.660","1.700","356,000"
12/14/2021,"1.810","1.810","1.810","1.810","20,000"
12/13/2021,"1.760","1.900","1.760","1.900","148,000"
12/10/2021,"1.830","1.900","1.800","1.800","245,000"
12/09/2021,"1.920","1.920","1.860","1.860","228,000"
12/07/2021,"1.980","1.980","1.930","1.930","103,000"
12/06/2021,"1.960","2.000","1.950","1.980","94,000"
12/03/2021,"1.960","2.100","1.960","2.080","59,000"
12/02/2021,"2.000","2.000","2.000","2.000","6,000"
12/01/2021,"2.000","2.100","1.940","2.000","16,000"
11/29/2021,"2.050","2.130","2.000","2.130","212,000"
11/26/2021,"2.090","2.090","2.060","2.060","83,000"
11/25/2021,"2.080","2.160","2.080","2.160","10,000"
11/24/2021,"2.100","2.160","2.080","2.160","210,000"
11/23/2021,"2.110","2.160","2.110","2.150","31,000"
11/22/2021,"2.110","2.140","2.110","2.140","13,000"
11/19/2021,"2.130","2.180","2.120","2.140","146,000"
11/18/2021,"2.150","2.190","2.120","2.120","107,000"
11/17/2021,"2.130","2.170","2.130","2.170","36,000"
11/16/2021,"2.250","2.250","2.120","2.170","190,000"
11/15/2021,"2.270","2.270","2.200","2.200","31,000"
11/12/2021,"2.280","2.280","2.200","2.270","125,000"
11/11/2021,"2.260","2.370","2.100","2.200","1,821,000"
11/10/2021,"2.200","2.290","2.190","2.270","231,000"
11/09/2021,"2.280","2.280","2.200","2.260","245,000"
11/08/2021,"2.210","2.290","2.200","2.290","278,000"
11/05/2021,"2.210","2.210","2.140","2.140","228,000"
11/04/2021,"2.120","2.200","2.120","2.180","132,000"
11/03/2021,"2.130","2.160","2.130","2.140","152,000"
11/02/2021,"2.200","2.230","2.070","2.130","402,000"
10/29/2021,"2.280","2.280","2.130","2.200","2,286,000"
10/28/2021,"2.420","2.420","2.170","2.300","1,270,000"
10/27/2021,"2.230","2.420","2.220","2.420","1,813,000"
10/26/2021,"2.230","2.270","2.230","2.230","74,000"
10/25/2021,"2.290","2.290","2.200","2.250","440,000"
10/22/2021,"2.220","2.280","2.200","2.250","281,000"
10/21/2021,"2.220","2.320","2.200","2.270","1,218,000"
10/20/2021,"2.250","2.350","2.200","2.290","587,000"
10/19/2021,"2.260","2.350","2.240","2.350","121,000"
10/18/2021,"2.390","2.390","2.250","2.320","159,000"
10/15/2021,"2.250","2.370","2.250","2.320","216,000"
10/14/2021,"2.390","2.390","2.250","2.290","682,000"
10/13/2021,"2.330","2.430","2.200","2.390","1,823,000"
10/12/2021,"2.360","2.430","2.310","2.330","422,000"
10/11/2021,"2.590","2.590","2.380","2.500","783,000"
10/08/2021,"2.500","2.640","2.320","2.450","5,350,000"
10/07/2021,"2.240","2.580","2.140","2.440","12,329,000"
10/06/2021,"2.110","2.250","2.090","2.250","156,000"
10/05/2021,"2.200","2.200","2.200","2.200","1,000"
10/04/2021,"2.130","2.200","2.100","2.200","520,000"
10/01/2021,"2.200","2.220","2.130","2.220","55,000"
09/30/2021,"2.180","2.230","2.180","2.230","51,000"
09/29/2021,"2.110","2.230","2.110","2.230","47,000"
09/28/2021,"2.120","2.230","2.120","2.230","16,000"
09/27/2021,"2.150","2.240","2.100","2.240","50,000"
09/23/2021,"2.110","2.260","2.110","2.260","9,000"
09/21/2021,"2.160","2.260","2.120","2.260","89,000"
09/20/2021,"2.200","2.200","2.180","2.180","38,000"
09/17/2021,"2.200","2.320","2.160","2.190","197,000"
09/16/2021,"2.250","2.250","2.180","2.180","140,000"
09/15/2021,"2.250","2.250","2.250","2.250","9,000"
09/14/2021,"2.260","2.260","2.230","2.230","65,000"
09/13/2021,"2.350","2.370","2.250","2.370","112,000"
09/10/2021,"2.230","2.370","2.230","2.370","72,000"
09/09/2021,"2.260","2.260","2.260","2.260","1,000"
09/08/2021,"2.220","2.250","2.220","2.250","24,000"
09/07/2021,"2.210","2.250","2.210","2.250","21,000"
09/06/2021,"2.200","2.200","2.200","2.200","37,000"
09/03/2021,"2.200","2.280","2.190","2.200","271,000"
09/02/2021,"2.220","2.230","2.200","2.210","165,000"
09/01/2021,"2.270","2.270","2.220","2.220","11,000"
08/31/2021,"2.280","2.280","2.210","2.270","120,000"
08/27/2021,"2.300","2.330","2.260","2.270","128,000"
08/26/2021,"2.460","2.460","2.230","2.330","454,000"
08/25/2021,"2.380","2.540","2.180","2.460","2,540,000"
08/24/2021,"2.530","2.590","2.340","2.590","326,000"
08/23/2021,"2.530","2.530","2.530","2.530","11,000"
08/19/2021,"2.380","2.610","2.380","2.570","28,000"
08/18/2021,"2.570","2.570","2.570","2.570","1,000"
08/17/2021,"2.390","2.660","2.360","2.610","62,000"
08/16/2021,"2.450","2.590","2.380","2.580","55,000"
08/13/2021,"2.400","2.590","2.400","2.590","3,000"
08/12/2021,"2.460","2.600","2.350","2.600","132,000"
08/11/2021,"2.500","2.550","2.500","2.500","69,000"
08/10/2021,"2.680","2.680","2.470","2.500","62,000"
08/09/2021,"2.500","2.600","2.500","2.600","70,000"
08/04/2021,"2.680","2.700","2.680","2.700","35,000"
08/03/2021,"2.680","2.700","2.680","2.700","17,000"
08/02/2021,"2.750","2.750","2.720","2.720","2,000"
07/30/2021,"2.460","2.530","2.420","2.530","32,000"
07/29/2021,"2.600","2.600","2.500","2.600","21,000"
07/28/2021,"2.420","2.600","2.420","2.600","9,000"
07/27/2021,"2.600","2.600","2.600","2.600","15,000"
07/26/2021,"2.600","2.600","2.540","2.540","55,000"
07/23/2021,"2.630","2.850","2.590","2.600","117,000"
07/22/2021,"2.600","2.870","2.560","2.800","64,000"
07/21/2021,"2.720","2.720","2.560","2.600","25,000"
07/19/2021,"2.780","3.000","2.700","2.720","563,000"
07/16/2021,"2.880","2.900","2.780","2.780","137,000"
07/15/2021,"2.950","2.950","2.900","2.900","151,000"
07/14/2021,"3.100","3.150","2.960","3.000","56,000"
07/13/2021,"3.000","3.080","2.960","3.080","43,000"
07/12/2021,"3.000","3.000","3.000","3.000","34,000"
07/09/2021,"3.020","3.160","3.000","3.160","99,000"
07/08/2021,"3.080","3.130","3.020","3.130","37,000"
07/07/2021,"3.170","3.170","3.030","3.130","27,000"
07/06/2021,"3.100","3.100","3.100","3.100","26,000"
07/05/2021,"3.130","3.150","3.130","3.130","64,000"
07/02/2021,"3.110","3.180","3.110","3.150","44,000"
07/01/2021,"3.270","3.270","3.200","3.200","169,000"
06/30/2021,"3.050","3.300","3.000","3.260","239,000"
06/29/2021,"3.120","3.120","3.090","3.090","45,000"
06/28/2021,"3.080","3.120","3.080","3.120","84,000"
06/25/2021,"3.110","3.240","3.100","3.100","195,000"
06/24/2021,"3.160","3.170","3.160","3.160","66,000"
06/23/2021,"3.010","3.250","3.000","3.160","323,000"
06/22/2021,"3.100","3.100","3.100","3.100","102,000"
06/21/2021,"3.200","3.200","3.000","3.190","1,329,000"
06/18/2021,"3.120","3.240","2.950","3.190","162,000"
06/17/2021,"3.110","3.110","2.980","3.100","250,000"
06/16/2021,"3.120","3.250","3.100","3.110","207,000"
06/15/2021,"3.280","3.280","3.100","3.190","173,000"
06/14/2021,"3.380","3.380","3.280","3.300","114,000"
06/11/2021,"3.240","3.300","3.240","3.300","154,000"
06/10/2021,"3.500","3.500","3.300","3.300","300,000"
06/09/2021,"3.480","3.500","3.350","3.470","392,000"
06/08/2021,"3.310","3.480","3.310","3.480","108,000"
06/07/2021,"3.300","3.480","3.300","3.470","63,000"
06/04/2021,"3.400","3.500","3.250","3.500","239,000"
06/03/2021,"3.560","3.560","3.250","3.380","250,000"
06/02/2021,"3.440","3.590","3.210","3.560","222,000"
06/01/2021,"3.690","3.690","3.440","3.440","317,000"
05/31/2021,"3.560","3.670","3.510","3.630","141,000"
05/28/2021,"3.500","3.840","3.500","3.540","347,000"
05/27/2021,"3.880","3.880","3.500","3.530","418,000"
05/26/2021,"3.200","3.700","3.200","3.630","1,482,000"
05/25/2021,"2.790","3.300","2.790","3.140","254,000"
05/24/2021,"2.780","2.790","2.640","2.790","166,000"
05/21/2021,"2.550","2.800","2.550","2.710","247,000"
05/20/2021,"2.750","2.750","2.650","2.700","20,000"
05/19/2021,"2.840","2.840","2.800","2.800","8,000"
05/18/2021,"2.750","2.850","2.300","2.850","390,000"
05/17/2021,"2.900","2.900","2.850","2.850","4,000"
05/14/2021,"2.900","3.150","2.900","2.900","20,000"
05/12/2021,"3.050","3.050","2.710","2.900","119,000"
05/11/2021,"2.830","3.070","2.830","3.040","73,000"
05/10/2021,"2.810","2.980","2.800","2.890","177,000"
05/07/2021,"2.900","2.920","2.810","2.840","373,000"
05/06/2021,"3.080","3.150","2.880","2.900","367,000"
05/05/2021,"3.200","3.280","3.000","3.100","356,000"
05/04/2021,"3.160","3.300","3.100","3.250","160,000"
05/03/2021,"3.220","3.220","3.160","3.220","455,000"
04/30/2021,"3.340","3.350","3.240","3.260","57,000"
04/29/2021,"3.340","3.340","3.190","3.240","460,000"
04/28/2021,"3.300","3.410","3.300","3.390","96,000"
04/27/2021,"3.300","3.420","3.240","3.290","558,000"
04/26/2021,"3.500","3.500","3.250","3.300","270,000"
04/23/2021,"3.500","3.510","3.500","3.500","37,000"
04/22/2021,"3.600","3.650","3.470","3.550","606,000"
04/21/2021,"3.680","3.680","3.500","3.600","546,000"
04/20/2021,"3.700","3.730","3.700","3.700","386,000"
04/19/2021,"3.760","3.760","3.640","3.700","293,000"
04/16/2021,"3.730","3.840","3.730","3.780","184,000"
04/15/2021,"3.900","3.900","3.730","3.730","383,000"
04/14/2021,"3.920","3.970","3.890","3.930","174,000"
04/13/2021,"3.900","4.000","3.760","3.780","550,000"
04/12/2021,"3.950","4.030","3.880","3.900","643,000"
04/08/2021,"3.990","4.100","3.900","3.950","268,000"
04/07/2021,"4.000","4.040","3.920","3.990","126,000"
04/06/2021,"3.980","4.000","3.880","4.000","411,000"
04/05/2021,"3.950","4.090","3.900","3.960","893,000"
03/31/2021,"4.160","4.160","3.900","3.950","582,000"
03/30/2021,"4.050","4.270","3.900","4.170","938,000"
03/29/2021,"4.000","4.380","4.000","4.330","165,000"
03/26/2021,"4.280","4.470","4.250","4.430","138,000"
03/25/2021,"4.180","4.440","4.180","4.430","28,000"
03/24/2021,"4.410","4.430","4.100","4.350","331,000"
03/23/2021,"4.500","4.500","4.400","4.410","42,000"
03/22/2021,"4.300","4.700","4.100","4.400","314,000"
03/19/2021,"4.920","5.200","4.510","4.510","425,000"
03/18/2021,"4.950","5.150","4.950","4.980","283,800"
03/17/2021,"5.060","5.220","5.010","5.030","152,800"
03/16/2021,"4.850","5.460","4.850","5.050","423,900"
03/15/2021,"5.520","5.870","4.810","5.370","3,378,700"
03/12/2021,"5.100","5.300","5.080","5.100","226,800"
03/11/2021,"5.080","5.250","5.060","5.250","291,000"
03/10/2021,"5.280","5.510","5.190","5.190","881,300"
03/09/2021,"5.000","5.330","4.710","5.230","1,099,000"
03/08/2021,"5.600","5.790","4.250","5.100","1,855,100"
03/05/2021,"5.540","5.750","5.520","5.600","999,800"
03/04/2021,"5.580","5.580","5.410","5.540","707,600"
03/03/2021,"5.400","5.620","5.400","5.520","1,804,300"
03/02/2021,"5.710","5.980","5.400","5.400","3,536,800"
03/01/2021,"5.360","5.640","5.360","5.640","5,060,300"
02/26/2021,"5.480","5.480","5.200","5.350","1,370,400"
02/24/2021,"5.810","5.820","5.050","5.430","5,126,400"
02/23/2021,"4.900","5.200","4.600","5.200","2,944,000"
02/22/2021,"4.650","5.170","4.650","4.900","3,205,000"
02/19/2021,"5.290","5.300","4.600","4.640","5,287,500"
02/18/2021,"5.370","5.650","5.210","5.210","5,166,900"
02/17/2021,"5.030","5.600","5.000","5.350","6,414,600"
02/16/2021,"5.800","5.960","5.000","5.200","3,535,800"
02/15/2021,"6.880","6.880","5.510","5.700","6,892,900"
02/11/2021,"6.200","7.200","6.200","6.810","12,139,500"
02/10/2021,"5.600","6.200","5.600","5.900","5,874,400"
02/09/2021,"4.910","5.940","4.900","5.300","8,952,000"
02/08/2021,"4.820","5.200","4.820","4.900","4,999,000"
02/05/2021,"4.180","4.900","4.000","4.500","3,889,000"
02/04/2021,"3.910","4.200","3.910","4.000","734,000"
02/03/2021,"4.100","4.100","3.800","3.850","682,000"
02/02/2021,"3.900","4.120","3.900","4.100","1,070,000"
02/01/2021,"3.750","3.980","3.700","3.900","173,000"
01/29/2021,"4.000","4.000","3.750","3.750","1,278,000"
01/28/2021,"3.400","4.300","3.300","3.990","1,278,000"
01/27/2021,"3.300","3.400","3.300","3.400","111,000"
01/26/2021,"3.480","3.500","3.270","3.410","367,000"
01/25/2021,"3.500","3.700","3.290","3.480","1,253,000"
01/22/2021,"3.820","3.820","3.200","3.440","490,000"
01/21/2021,"3.500","4.290","3.400","3.800","3,751,000"
01/20/2021,"3.000","3.000","3.000","3.000","146,000"
01/19/2021,"2.850","2.990","2.810","2.990","61,000"
01/18/2021,"3.200","3.200","2.740","2.820","196,000"
01/15/2021,"2.700","3.200","2.700","3.200","428,000"
01/14/2021,"2.480","3.300","2.480","2.600","789,000"
01/13/2021,"2.200","2.300","2.200","2.300","18,000"
01/12/2021,"2.210","2.490","2.200","2.490","158,000"
01/11/2021,"2.250","2.480","2.200","2.260","188,000"
01/08/2021,"2.480","2.480","2.060","2.390","102,000"
01/04/2021,"2.590","2.590","2.590","2.590","1,000"
