Date,Open,High,Low,Close,Volume
12/29/2023,"20.80","20.90","20.70","20.85","767,700"
12/28/2023,"20.75","21.00","20.75","20.80","558,700"
12/27/2023,"20.75","20.95","20.70","20.70","757,100"
12/22/2023,"20.65","20.80","20.65","20.75","458,100"
12/21/2023,"20.70","20.75","20.60","20.70","431,200"
12/20/2023,"20.65","20.95","20.65","20.70","454,400"
12/19/2023,"20.90","20.90","20.60","20.65","811,800"
12/18/2023,"20.90","20.95","20.65","20.70","4,852,200"
12/15/2023,"20.70","20.90","20.65","20.90","3,898,200"
12/14/2023,"20.75","20.80","20.60","20.70","2,661,000"
12/13/2023,"20.75","20.85","20.65","20.75","810,600"
12/12/2023,"20.65","20.80","20.60","20.75","72,100"
12/11/2023,"20.85","20.85","20.65","20.65","5,329,000"
12/07/2023,"20.80","20.85","20.70","20.80","1,362,600"
12/06/2023,"20.75","20.95","20.75","20.85","1,027,300"
12/05/2023,"20.90","20.90","20.65","20.80","777,000"
12/04/2023,"20.90","20.95","20.70","20.90","135,700"
12/01/2023,"20.95","20.95","20.75","20.90","163,100"
11/30/2023,"20.85","21.00","20.80","20.95","789,600"
11/29/2023,"20.75","20.95","20.75","20.85","113,200"
11/28/2023,"20.85","20.95","20.75","20.80","258,600"
11/24/2023,"20.75","21.00","20.75","20.85","161,700"
11/23/2023,"20.80","20.90","20.70","20.90","175,100"
11/22/2023,"20.75","20.80","20.65","20.80","134,600"
11/21/2023,"20.80","21.00","20.70","20.75","7,353,400"
11/20/2023,"20.70","20.95","20.70","20.80","2,419,500"
11/17/2023,"20.85","20.85","20.65","20.80","1,252,600"
11/16/2023,"20.90","20.90","20.65","20.80","6,038,200"
11/15/2023,"20.70","20.85","20.70","20.75","1,192,800"
11/14/2023,"20.85","20.85","20.75","20.80","2,729,800"
11/13/2023,"20.85","20.95","20.80","20.95","134,600"
11/10/2023,"20.80","20.85","20.75","20.80","1,674,200"
11/09/2023,"20.85","21.00","20.80","20.85","1,088,000"
11/08/2023,"20.75","20.80","20.65","20.80","2,241,300"
11/07/2023,"20.75","20.85","20.70","20.80","411,800"
11/06/2023,"20.75","20.90","20.75","20.75","1,608,500"
11/03/2023,"20.70","20.85","20.70","20.80","45,200"
10/31/2023,"20.70","20.85","20.70","20.80","582,200"
10/27/2023,"20.75","20.85","20.75","20.80","306,600"
10/26/2023,"20.75","20.80","20.70","20.75","6,460,500"
10/25/2023,"20.85","20.85","20.75","20.75","973,300"
